NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047170947	na	355	0.9478724002838135	0.06515296	Yes	
row_1	XM_047168798	na	772	0.7591034173965454	0.10894493	Yes	
row_2	XM_047167980	na	896	0.7229536175727844	0.16804652	Yes	
row_3	XM_047183202	na	1401	0.6252806186676025	0.1938454	Yes	
row_4	XM_047164143	na	1418	0.6227770447731018	0.25048542	Yes	
row_5	XM_047185716	na	2005	0.5440741777420044	0.26354468	Yes	
row_6	XM_047164688	na	2012	0.5432447791099548	0.31345809	Yes	
row_7	XM_047180088	na	2196	0.5172913670539856	0.3496983	Yes	
row_8	XM_047174295	na	2367	0.4950375258922577	0.384706	Yes	
row_9	XM_047164183	na	3125	0.4182574152946472	0.37522846	Yes	
row_10	XM_047186503	na	4073	0.3403405249118805	0.34643906	Yes	
row_11	XM_047170700	na	4403	0.3162119388580322	0.35476628	Yes	
row_12	XM_047166744	na	4553	0.30347663164138794	0.37337574	Yes	
row_13	XM_047166745	na	4554	0.30347663164138794	0.40147263	Yes	
row_14	XM_047172571	na	4590	0.30347663164138794	0.42734092	Yes	
row_15	XM_047184519	na	5145	0.2537040412425995	0.4155543	Yes	
row_16	XM_047164142	na	5160	0.25182226300239563	0.43797743	Yes	
row_17	XM_047167004	na	5367	0.23323757946491241	0.44645452	Yes	
row_18	XM_047166252	na	5470	0.22132578492164612	0.46045086	Yes	
row_19	XM_047181601	na	5550	0.21437951922416687	0.4752686	Yes	
row_20	XM_047166742	na	5898	0.17746999859809875	0.4696045	No	
row_21	XM_047186073	na	6408	0.12579752504825592	0.44884118	No	
row_22	XM_047186449	na	7048	0.0677105039358139	0.4144224	No	
row_23	XM_047166719	na	7982	0.0	0.35501456	No	
row_24	XM_047171922	na	8354	0.0	0.3313915	No	
row_25	XM_047172570	na	8400	0.0	0.32852617	No	
row_26	XM_047172572	na	8401	0.0	0.32852617	No	
row_27	XM_047173529	na	8462	0.0	0.32470572	No	
row_28	XM_047184522	na	9218	0.0	0.27663186	No	
row_29	XM_047185970	na	10126	-0.038004469126462936	0.22239815	No	
row_30	XM_047167124	na	10794	-0.0896209105849266	0.188225	No	
row_31	XM_047184974	na	10972	-0.10485465824604034	0.18666251	No	
row_32	XM_047170419	na	11029	-0.1084621325135231	0.19313855	No	
row_33	XM_047179952	na	11110	-0.1157151535153389	0.19875793	No	
row_34	XM_047168855	na	11190	-0.12202417850494385	0.2050251	No	
row_35	XM_047163825	na	11321	-0.13172617554664612	0.20894314	No	
row_36	XM_047175073	na	11650	-0.16121627390384674	0.20298402	No	
row_37	XM_047185689	na	11934	-0.1894088089466095	0.20250039	No	
row_38	XM_047185987	na	14026	-0.43172064423561096	0.10932823	No	
