NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047186238	na	701	0.7826407551765442	0.059226483	No	
row_1	XM_047182055	na	5495	0.21931873261928558	-0.21650414	No	
row_2	XM_047181413	na	5693	0.19649069011211395	-0.20297061	No	
row_3	XM_047163066	na	9772	-0.008190784603357315	-0.46123296	No	
row_4	XM_047173471	na	10315	-0.055214062333106995	-0.4883791	No	
row_5	XM_047171805	na	10577	-0.07772667706012726	-0.4946684	No	
row_6	XM_047174317	na	11056	-0.10989265888929367	-0.5104918	No	
row_7	XM_047175662	na	11305	-0.13053683936595917	-0.5089497	No	
row_8	XM_047184536	na	11347	-0.1340499222278595	-0.49377707	No	
row_9	XM_047168925	na	11485	-0.14704342186450958	-0.4829863	No	
row_10	XM_047183623	na	12462	-0.253863662481308	-0.511385	Yes	
row_11	XM_047184772	na	12680	-0.28243288397789	-0.4877242	Yes	
row_12	XM_047181895	na	13006	-0.33320125937461853	-0.46419805	Yes	
row_13	XM_047179822	na	14185	-0.46227386593818665	-0.47780022	Yes	
row_14	XM_047186217	na	14471	-0.5388898253440857	-0.42444804	Yes	
row_15	XM_047179050	na	14560	-0.564128577709198	-0.3552196	Yes	
row_16	XM_047169646	na	14606	-0.5786714553833008	-0.28132758	Yes	
row_17	XM_047177404	na	15080	-0.7023087739944458	-0.21825604	Yes	
row_18	XM_047176755	na	15481	-0.9474972486495972	-0.11802059	Yes	
row_19	XM_047186293	na	15558	-1.0149363279342651	0.011765305	Yes	
