NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047182728	na	208	1.0651897192001343	0.0745157	No	
row_1	XM_047185748	na	479	0.8849638104438782	0.13023971	No	
row_2	XM_047179554	na	718	0.7775745987892151	0.17915307	No	
row_3	XM_047179555	na	1072	0.6805396676063538	0.21275583	No	
row_4	XM_047172647	na	1643	0.5880081057548523	0.22492917	No	
row_5	XM_047164969	na	2114	0.528213381767273	0.23853919	No	
row_6	XM_047179553	na	5065	0.26187509298324585	0.07241746	No	
row_7	XM_047177112	na	5477	0.2206002026796341	0.06444036	No	
row_8	XM_047177228	na	5547	0.21475651860237122	0.07774174	No	
row_9	XM_047184717	na	6756	0.09443157911300659	0.008661515	No	
row_10	XM_047170892	na	8264	0.0	-0.08722193	No	
row_11	XM_047185833	na	9308	0.0	-0.1535832	No	
row_12	XM_047168395	na	9874	-0.018537206575274467	-0.18800445	No	
row_13	XM_047176877	na	10550	-0.0758485272526741	-0.22470321	No	
row_14	XM_047172416	na	10923	-0.10062125325202942	-0.24008273	No	
row_15	XM_047170864	na	11318	-0.13156023621559143	-0.25431326	No	
row_16	XM_047178238	na	11471	-0.1454000324010849	-0.25200632	No	
row_17	XM_047176455	na	12038	-0.20261339843273163	-0.2713271	No	
row_18	XM_047177625	na	12395	-0.24381901323795319	-0.27389205	No	
row_19	XM_047170863	na	12985	-0.330069899559021	-0.2841764	No	
row_20	XM_047171236	na	13594	-0.365513414144516	-0.29274982	No	
row_21	XM_047172435	na	14260	-0.4803048074245453	-0.29549345	Yes	
row_22	XM_047170978	na	15146	-0.7277275323867798	-0.2918521	Yes	
row_23	XM_047172434	na	15429	-0.9038854241371155	-0.23533283	Yes	
row_24	XM_047170862	na	15500	-0.9602274298667908	-0.16068356	Yes	
row_25	XM_047171237	na	15580	-1.0330175161361694	-0.08061052	Yes	
row_26	XM_047177626	na	15633	-1.1036453247070312	0.0069986987	Yes	
