NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047163726	na	10	1.6789519786834717	0.008892851	Yes	
row_1	XM_047186377	na	21	1.5598828792572021	0.017108552	Yes	
row_2	XM_047163239	na	49	1.3621788024902344	0.023085736	Yes	
row_3	XM_047165489	na	66	1.3037437200546265	0.02945153	Yes	
row_4	XM_047175742	na	90	1.21969473361969	0.034880564	Yes	
row_5	XM_047167921	na	118	1.1765965223312378	0.039802335	Yes	
row_6	XM_047175714	na	157	1.1233896017074585	0.043700583	Yes	
row_7	XM_047167752	na	168	1.108910083770752	0.04935159	Yes	
row_8	XM_047174497	na	207	1.0675935745239258	0.052932527	Yes	
row_9	XM_047167933	na	213	1.0596489906311035	0.058631085	Yes	
row_10	XM_047185899	na	244	1.0274860858917236	0.06250824	Yes	
row_11	XM_047163933	na	247	1.025348424911499	0.06820835	Yes	
row_12	XM_047182040	na	272	1.0033354759216309	0.0723414	Yes	
row_13	XM_047174936	na	296	0.979498028755188	0.07640442	Yes	
row_14	XM_047175712	na	301	0.9748802185058594	0.08168644	Yes	
row_15	XM_047168452	na	367	0.9446473121643066	0.08279861	Yes	
row_16	XM_047163640	na	376	0.9387940168380737	0.08761324	Yes	
row_17	XM_047182798	na	385	0.92861008644104	0.09236996	Yes	
row_18	XM_047181871	na	390	0.9246959686279297	0.09736657	Yes	
row_19	XM_047179335	na	425	0.9128475189208984	0.10032962	Yes	
row_20	XM_047165012	na	429	0.9108632802963257	0.10531311	Yes	
row_21	XM_047171464	na	442	0.9048236608505249	0.10967239	Yes	
row_22	XM_047172861	na	452	0.8990533947944641	0.11419547	Yes	
row_23	XM_047176648	na	456	0.8966159224510193	0.11909793	Yes	
row_24	XM_047185748	na	479	0.8849638104438782	0.12268888	Yes	
row_25	XM_047166360	na	487	0.882708728313446	0.12725009	Yes	
row_26	XM_047169140	na	492	0.8781876564025879	0.1319822	Yes	
row_27	XM_047175622	na	508	0.8709427714347839	0.1359522	Yes	
row_28	XM_047184420	na	527	0.8582263588905334	0.13965325	Yes	
row_29	XM_047182699	na	533	0.8565032482147217	0.14419651	Yes	
row_30	XM_047175247	na	534	0.8561205863952637	0.14906529	Yes	
row_31	XM_047168795	na	538	0.854815661907196	0.15373002	Yes	
row_32	XM_047163238	na	551	0.8465004563331604	0.15775762	Yes	
row_33	XM_047175710	na	580	0.8351537585258484	0.16067207	Yes	
row_34	XM_047174045	na	583	0.8337200880050659	0.16528237	Yes	
row_35	XM_047169678	na	600	0.8262581825256348	0.16893269	Yes	
row_36	XM_047167920	na	675	0.7937669157981873	0.16859695	Yes	
row_37	XM_047169139	na	713	0.7794325947761536	0.17060465	Yes	
row_38	XM_047164731	na	746	0.7663134336471558	0.17286544	Yes	
row_39	XM_047178401	na	754	0.7633870840072632	0.17674807	Yes	
row_40	XM_047175081	na	765	0.7606374025344849	0.18041843	Yes	
row_41	XM_047167700	na	785	0.7524587512016296	0.18345244	Yes	
row_42	XM_047163008	na	803	0.7481107115745544	0.18659279	Yes	
row_43	XM_047167089	na	843	0.7386536002159119	0.1882375	Yes	
row_44	XM_047178272	na	844	0.7385589480400085	0.19243771	Yes	
row_45	XM_047169747	na	847	0.7375499606132507	0.19650109	Yes	
row_46	XM_047163057	na	908	0.72044837474823	0.19666594	Yes	
row_47	XM_047165131	na	946	0.7122074961662292	0.19829133	Yes	
row_48	XM_047186072	na	990	0.7011740803718567	0.19946073	Yes	
row_49	XM_047168881	na	1044	0.6878073215484619	0.19989872	Yes	
row_50	XM_047163194	na	1054	0.6854740381240845	0.20320718	Yes	
row_51	XM_047166250	na	1062	0.6821137070655823	0.20662759	Yes	
row_52	XM_047163240	na	1099	0.6763391494750977	0.20811453	Yes	
row_53	XM_047176389	na	1119	0.6720790863037109	0.21069142	Yes	
row_54	XM_047182814	na	1192	0.6647164821624756	0.20975284	Yes	
row_55	XM_047163891	na	1197	0.6631309986114502	0.21326193	Yes	
row_56	XM_047166658	na	1201	0.662502110004425	0.21683298	Yes	
row_57	XM_047175343	na	1202	0.6624789834022522	0.22060052	Yes	
row_58	XM_047180338	na	1211	0.660788893699646	0.22383413	Yes	
row_59	XM_047170315	na	1221	0.6590914726257324	0.22699255	Yes	
row_60	XM_047181013	na	1233	0.6560070514678955	0.23000234	Yes	
row_61	XM_047166739	na	1252	0.6524885892868042	0.23253335	Yes	
row_62	XM_047164995	na	1306	0.6425508856773376	0.23271397	Yes	
row_63	XM_047178256	na	1327	0.6381850838661194	0.23503256	Yes	
row_64	XM_047175713	na	1402	0.625149667263031	0.23373789	Yes	
row_65	XM_047169432	na	1410	0.6237295269966125	0.23682627	Yes	
row_66	XM_047179722	na	1414	0.6233842968940735	0.24017486	Yes	
row_67	XM_047164204	na	1417	0.6229233741760254	0.24358636	Yes	
row_68	XM_047170467	na	1442	0.621092677116394	0.24554558	Yes	
row_69	XM_047177339	na	1468	0.6184578537940979	0.24742429	Yes	
row_70	XM_047164559	na	1472	0.6169169545173645	0.2507361	Yes	
row_71	XM_047185702	na	1512	0.6110966205596924	0.25165537	Yes	
row_72	XM_047164253	na	1517	0.6092128157615662	0.25485784	Yes	
row_73	XM_047168301	na	1543	0.6047724485397339	0.2566587	Yes	
row_74	XM_047185526	na	1548	0.6034491062164307	0.2598284	Yes	
row_75	XM_047182424	na	1574	0.6002833843231201	0.2616037	Yes	
row_76	XM_047175505	na	1596	0.5962498784065247	0.2636183	Yes	
row_77	XM_047182721	na	1606	0.5949200987815857	0.26641175	Yes	
row_78	XM_047178113	na	1639	0.5882454514503479	0.26765987	Yes	
row_79	XM_047180257	na	1644	0.587843120098114	0.27074078	Yes	
row_80	XM_047165007	na	1690	0.5851828455924988	0.27111948	Yes	
row_81	XM_047185403	na	1706	0.5851828455924988	0.27346432	Yes	
row_82	XM_047163362	na	1720	0.5843715667724609	0.27593565	Yes	
row_83	XM_047169265	na	1725	0.5831544399261475	0.2789899	Yes	
row_84	XM_047167029	na	1744	0.5807743668556213	0.2811131	Yes	
row_85	XM_047184483	na	1756	0.5793244242668152	0.2836868	Yes	
row_86	XM_047164745	na	1994	0.546220600605011	0.27126032	Yes	
row_87	XM_047163263	na	1999	0.5450836420059204	0.27409807	Yes	
row_88	XM_047163080	na	2024	0.5406486988067627	0.2755998	Yes	
row_89	XM_047170356	na	2026	0.5405266880989075	0.27860823	Yes	
row_90	XM_047171446	na	2034	0.5397519469261169	0.28121907	Yes	
row_91	XM_047183465	na	2041	0.5389635562896729	0.28389093	Yes	
row_92	XM_047182088	na	2050	0.5379547476768494	0.28642598	Yes	
row_93	XM_047179241	na	2055	0.5376416444778442	0.2892214	Yes	
row_94	XM_047168556	na	2076	0.5347937941551208	0.290952	Yes	
row_95	XM_047174843	na	2088	0.5324144959449768	0.2932589	Yes	
row_96	XM_047165027	na	2106	0.529775857925415	0.29515758	Yes	
row_97	XM_047170992	na	2123	0.5273889303207397	0.29710823	Yes	
row_98	XM_047168526	na	2125	0.5271971821784973	0.30004087	Yes	
row_99	XM_047170848	na	2134	0.52619469165802	0.30250904	Yes	
row_100	XM_047180554	na	2140	0.5256070494651794	0.3051705	Yes	
row_101	XM_047169978	na	2146	0.5251516103744507	0.30782935	Yes	
row_102	XM_047164207	na	2171	0.5219504237174988	0.30922475	Yes	
row_103	XM_047173968	na	2237	0.5108615756034851	0.30786997	Yes	
row_104	XM_047165827	na	2249	0.5091713666915894	0.3100447	Yes	
row_105	XM_047183714	na	2254	0.5088322758674622	0.3126763	Yes	
row_106	XM_047172074	na	2262	0.5080968737602234	0.31510708	Yes	
row_107	XM_047173704	na	2263	0.5080841183662415	0.31799656	Yes	
row_108	XM_047167176	na	2302	0.5029172897338867	0.31836617	Yes	
row_109	XM_047175468	na	2328	0.4997083246707916	0.31956956	Yes	
row_110	XM_047172217	na	2341	0.4978594183921814	0.3216144	Yes	
row_111	XM_047186263	na	2374	0.4943162500858307	0.32232833	Yes	
row_112	XM_047180210	na	2393	0.49228429794311523	0.32394826	Yes	
row_113	XM_047186071	na	2426	0.48842892050743103	0.3246287	Yes	
row_114	XM_047186242	na	2428	0.4882073700428009	0.32733962	Yes	
row_115	XM_047172913	na	2435	0.4877060651779175	0.32972	Yes	
row_116	XM_047184394	na	2485	0.48289352655410767	0.32925478	Yes	
row_117	XM_047185905	na	2491	0.4823368489742279	0.33167014	Yes	
row_118	XM_047172804	na	2520	0.47946447134017944	0.33256176	Yes	
row_119	XM_047184206	na	2524	0.4789868891239166	0.33508918	Yes	
row_120	XM_047166980	na	2594	0.4728037416934967	0.3332558	Yes	
row_121	XM_047178716	na	2599	0.472268670797348	0.33567944	Yes	
row_122	XM_047184479	na	2617	0.47055357694625854	0.33724132	Yes	
row_123	XM_047181605	na	2631	0.4693576693534851	0.33905855	Yes	
row_124	XM_047185491	na	2643	0.4684395492076874	0.34100166	Yes	
row_125	XM_047174713	na	2647	0.4681105315685272	0.3434672	Yes	
row_126	XM_047180651	na	2661	0.46610960364341736	0.34526595	Yes	
row_127	XM_047170743	na	2692	0.4621489942073822	0.34592804	Yes	
row_128	XM_047184862	na	2756	0.45392152667045593	0.34438053	Yes	
row_129	XM_047174693	na	2769	0.45298632979393005	0.3461702	Yes	
row_130	XM_047165132	na	2791	0.4511764943599701	0.34735972	Yes	
row_131	XM_047165866	na	2809	0.4487478733062744	0.3487976	Yes	
