NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047182853	na	16	1.6011898517608643	0.05972513	No	
row_1	XM_047170564	na	638	0.8104332685470581	0.050864063	No	
row_2	XM_047178345	na	861	0.734359085559845	0.06456496	No	
row_3	XM_047165496	na	997	0.7003374099731445	0.082523964	No	
row_4	XM_047173633	na	1217	0.6596236824989319	0.0935809	No	
row_5	XM_047174539	na	1885	0.562932014465332	0.07239632	No	
row_6	XM_047178339	na	2741	0.45591670274734497	0.03516126	No	
row_7	XM_047176316	na	2754	0.4541538655757904	0.051625498	No	
row_8	XM_047178335	na	3019	0.427545964717865	0.05100784	No	
row_9	XM_047181986	na	3211	0.40881866216659546	0.054335617	No	
row_10	XM_047172104	na	3221	0.40805259346961975	0.06924222	No	
row_11	XM_047178092	na	3472	0.3802787661552429	0.06772426	No	
row_12	XM_047174321	na	3636	0.37749937176704407	0.07164968	No	
row_13	XM_047166977	na	3678	0.3725876212120056	0.08316986	No	
row_14	XM_047173028	na	3755	0.36670857667922974	0.09223473	No	
row_15	XM_047176772	na	3848	0.36398983001708984	0.10017598	No	
row_16	XM_047183723	na	4062	0.34132564067840576	0.09954007	No	
row_17	XM_047162841	na	4270	0.3303196132183075	0.098869294	No	
row_18	XM_047170986	na	4578	0.30347663164138794	0.0908022	No	
row_19	XM_047166445	na	5108	0.2569440007209778	0.06681069	No	
row_20	XM_047177514	na	5313	0.2383737862110138	0.06284303	No	
row_21	XM_047163287	na	5510	0.2183036208152771	0.05862419	No	
row_22	XM_047167677	na	5592	0.20884275436401367	0.06138108	No	
row_23	XM_047165190	na	5688	0.19730737805366516	0.062807426	No	
row_24	XM_047176799	na	6210	0.14673011004924774	0.03514488	No	
row_25	XM_047185794	na	6632	0.10410863161087036	0.012243332	No	
row_26	XM_047163531	na	6836	0.08897361159324646	0.002671541	No	
row_27	XM_047183372	na	7322	0.04287223890423775	-0.026635075	No	
row_28	XM_047184153	na	7471	0.028572266921401024	-0.034990482	No	
row_29	XM_047174161	na	7643	0.0085364431142807	-0.045572937	No	
row_30	XM_047173715	na	8482	0.0	-0.09902022	No	
row_31	XM_047174466	na	8523	0.0	-0.1015714	No	
row_32	XM_047174540	na	8527	0.0	-0.10176274	No	
row_33	XM_047181762	na	9030	0.0	-0.13378009	No	
row_34	XM_047183724	na	9167	0.0	-0.14245412	No	
row_35	XM_047183760	na	9174	0.0	-0.1428368	No	
row_36	XM_047179815	na	9881	-0.018539048731327057	-0.18716183	No	
row_37	XM_047174467	na	10336	-0.05790069326758385	-0.21392114	No	
row_38	XM_047180713	na	10382	-0.06179497390985489	-0.21444686	No	
row_39	XM_047184930	na	11380	-0.13730818033218384	-0.27282593	No	
row_40	XM_047172116	na	12444	-0.2505612075328827	-0.33111787	No	
row_41	XM_047179738	na	12464	-0.2539460062980652	-0.32269552	No	
row_42	XM_047163203	na	12655	-0.27957263588905334	-0.32420728	No	
row_43	XM_047180508	na	12872	-0.31309565901756287	-0.3261055	No	
row_44	XM_047167600	na	12929	-0.32112768292427063	-0.3174943	No	
row_45	XM_047172170	na	13528	-0.3538958430290222	-0.34220845	Yes	
row_46	XM_047183812	na	13643	-0.37337592244148254	-0.33531427	Yes	
row_47	XM_047163229	na	13738	-0.39272162318229675	-0.32641056	Yes	
row_48	XM_047175094	na	14064	-0.43402278423309326	-0.33067307	Yes	
row_49	XM_047175340	na	14160	-0.45644253492355347	-0.3194157	Yes	
row_50	XM_047172202	na	14511	-0.5515789985656738	-0.32081285	Yes	
row_51	XM_047182894	na	14523	-0.5560725331306458	-0.3004183	Yes	
row_52	XM_047182599	na	14531	-0.5579795837402344	-0.27969623	Yes	
row_53	XM_047169837	na	14539	-0.5605393648147583	-0.25887704	Yes	
row_54	XM_047170959	na	14542	-0.5611783862113953	-0.23771474	Yes	
row_55	XM_047177274	na	14769	-0.6170695424079895	-0.22871867	Yes	
row_56	XM_047177905	na	14829	-0.6209948658943176	-0.20892249	Yes	
row_57	XM_047170987	na	14845	-0.6267552375793457	-0.18610148	Yes	
row_58	XM_047163061	na	15070	-0.6982837319374084	-0.17389676	Yes	
row_59	XM_047172331	na	15148	-0.7281266450881958	-0.15118428	Yes	
row_60	XM_047183475	na	15305	-0.8161022663116455	-0.13017277	Yes	
row_61	XM_047174393	na	15391	-0.8708598613739014	-0.102555536	Yes	
row_62	XM_047166791	na	15488	-0.9532302618026733	-0.07251493	Yes	
row_63	XM_047184182	na	15586	-1.0426390171051025	-0.039146125	Yes	
row_64	XM_047175966	na	15702	-1.2941097021102905	0.0026148844	Yes	
