NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047165518	na	56	1.3345853090286255	0.114904605	Yes	
row_1	XM_047166526	na	99	1.20433509349823	0.21913818	Yes	
row_2	XM_047163114	na	472	0.8897149562835693	0.2744404	Yes	
row_3	XM_047168911	na	616	0.8198363780975342	0.3381145	Yes	
row_4	XM_047180255	na	1160	0.6673123240470886	0.36279106	Yes	
row_5	XM_047178840	na	1595	0.5962852239608765	0.38810003	Yes	
row_6	XM_047167446	na	1653	0.5866616368293762	0.43654916	Yes	
row_7	XM_047170674	na	1789	0.5744072198867798	0.4789461	Yes	
row_8	XM_047184389	na	2872	0.4419974684715271	0.44931686	Yes	
row_9	XM_047177273	na	3189	0.4112323224544525	0.4657092	Yes	
row_10	XM_047164697	na	3229	0.4065932333469391	0.49931958	Yes	
row_11	XM_047174800	na	4386	0.31762638688087463	0.45394036	Yes	
row_12	XM_047182229	na	4436	0.31277862191200256	0.47858652	Yes	
row_13	XM_047169640	na	4805	0.28957226872444153	0.48086974	Yes	
row_14	XM_047170675	na	4818	0.2878650426864624	0.5056593	Yes	
row_15	XM_047176904	na	5467	0.22168393433094025	0.4840954	No	
row_16	XM_047162892	na	5534	0.2155177742242813	0.4990259	No	
row_17	XM_047166840	na	5886	0.17899884283542633	0.4925757	No	
row_18	XM_047170089	na	7039	0.06820620596408844	0.4253105	No	
row_19	XM_047162967	na	7739	0.0	0.3808222	No	
row_20	XM_047162969	na	7740	0.0	0.3808222	No	
row_21	XM_047163417	na	7775	0.0	0.37865824	No	
row_22	XM_047167395	na	8014	0.0	0.36351058	No	
row_23	XM_047182211	na	9055	0.0	0.29731914	No	
row_24	XM_047182212	na	9056	0.0	0.29731914	No	
row_25	XM_047185316	na	9270	0.0	0.28376263	No	
row_26	XM_047164634	na	10318	-0.055562131106853485	0.2220578	No	
row_27	XM_047169097	na	11096	-0.11401093006134033	0.1827257	No	
row_28	XM_047170849	na	12429	-0.24791407585144043	0.11995662	No	
row_29	XM_047178772	na	12616	-0.27325254678726196	0.13237467	No	
row_30	XM_047176654	na	13628	-0.3706934154033661	0.100934744	No	
row_31	XM_047184388	na	13677	-0.3786509931087494	0.13149193	No	
