NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047167854	na	39	1.4091988801956177	0.055046562	Yes	
row_1	XM_047175714	na	157	1.1233896017074585	0.093454696	Yes	
row_2	XM_047167752	na	168	1.108910083770752	0.13808958	Yes	
row_3	XM_047173205	na	203	1.0708470344543457	0.17964128	Yes	
row_4	XM_047185899	na	244	1.0274860858917236	0.21904041	Yes	
row_5	XM_047175712	na	301	0.9748802185058594	0.25527236	Yes	
row_6	XM_047181149	na	408	0.9182320833206177	0.2860057	Yes	
row_7	XM_047175710	na	580	0.8351537585258484	0.3092056	Yes	
row_8	XM_047173021	na	644	0.8085929155349731	0.33820271	Yes	
row_9	XM_047177583	na	719	0.777328610420227	0.36522257	Yes	
row_10	XM_047176168	na	923	0.7174181342124939	0.3815768	Yes	
row_11	XM_047177237	na	1024	0.6930698752403259	0.40350005	Yes	
row_12	XM_047175713	na	1402	0.625149667263031	0.40500033	Yes	
row_13	XM_047178113	na	1639	0.5882454514503479	0.41397828	Yes	
row_14	XM_047163080	na	2024	0.5406486988067627	0.4115827	Yes	
row_15	XM_047173204	na	2430	0.48809751868247986	0.4057036	Yes	
row_16	XM_047175046	na	2600	0.47218090295791626	0.41421232	Yes	
row_17	XM_047184862	na	2756	0.45392152667045593	0.4228676	Yes	
row_18	XM_047185344	na	2784	0.45184972882270813	0.4395943	Yes	
row_19	XM_047169027	na	3035	0.42648637294769287	0.44107628	Yes	
row_20	XM_047175353	na	3106	0.4207330048084259	0.4537927	Yes	
row_21	XM_047172543	na	3114	0.41940754652023315	0.4704693	Yes	
row_22	XM_047168344	na	3897	0.3588024079799652	0.4352897	No	
row_23	XM_047167753	na	4052	0.34184303879737854	0.43943304	No	
row_24	XM_047167363	na	4172	0.33147820830345154	0.44538337	No	
row_25	XM_047181315	na	4265	0.3306540846824646	0.45302045	No	
row_26	XM_047185546	na	4296	0.32720431685447693	0.46446726	No	
row_27	XM_047169852	na	5765	0.19004970788955688	0.37868723	No	
row_28	XM_047179713	na	5770	0.18972252309322357	0.38617793	No	
row_29	XM_047176319	na	5779	0.18850558996200562	0.39336407	No	
row_30	XM_047164003	na	5837	0.1832357943058014	0.39721283	No	
row_31	XM_047166975	na	6132	0.1538407951593399	0.38476023	No	
row_32	XM_047185419	na	6222	0.1460488885641098	0.38505182	No	
row_33	XM_047166355	na	6580	0.10869108140468597	0.3667417	No	
row_34	XM_047166012	na	7170	0.05840488150715828	0.33159584	No	
row_35	XM_047170653	na	8245	0.0	0.26316205	No	
row_36	XM_047175990	na	9921	-0.020888924598693848	0.15728615	No	
row_37	XM_047186304	na	10258	-0.05026938393712044	0.13792899	No	
row_38	XM_047177483	na	11295	-0.12968258559703827	0.07721089	No	
row_39	XM_047185539	na	11967	-0.1937253475189209	0.042364676	No	
row_40	XM_047173682	na	11983	-0.19541141390800476	0.049386714	No	
row_41	XM_047174366	na	12715	-0.2874840497970581	0.014545154	No	
row_42	XM_047168709	na	13029	-0.33907416462898254	0.008444182	No	
row_43	XM_047167962	na	13142	-0.3397531807422638	0.015178371	No	
row_44	XM_047174365	na	13508	-0.3507448434829712	0.0062404945	No	
row_45	XM_047174675	na	13700	-0.3835652470588684	0.009729574	No	
row_46	XM_047170508	na	14377	-0.5149278044700623	-0.0123219015	No	
row_47	XM_047182950	na	14833	-0.623221218585968	-0.015870403	No	
row_48	XM_047174370	na	15016	-0.6770705580711365	1.7471495E-4	No	
row_49	XM_047178125	na	15648	-1.128821849822998	0.006053257	No	
