NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047176616	na	404	0.9191403985023499	-0.008595519	No	
row_1	XM_047165057	na	561	0.8414358496665955	-0.0027475213	No	
row_2	XM_047168675	na	590	0.8299849629402161	0.01109511	No	
row_3	XM_047165060	na	658	0.8024129271507263	0.021916622	No	
row_4	XM_047184301	na	706	0.7808210253715515	0.033614174	No	
row_5	XM_047175346	na	810	0.7465518116950989	0.04107397	No	
row_6	XM_047166391	na	818	0.7432056665420532	0.054628517	No	
row_7	XM_047164393	na	1050	0.6861456036567688	0.052739747	No	
row_8	XM_047168672	na	1380	0.628793478012085	0.04348426	No	
row_9	XM_047163063	na	1400	0.6253757476806641	0.05404892	No	
row_10	XM_047175344	na	1405	0.6248993873596191	0.065566756	No	
row_11	XM_047170609	na	1419	0.6227770447731018	0.07646731	No	
row_12	XM_047170366	na	1631	0.589826762676239	0.07404657	No	
row_13	XM_047172647	na	1643	0.5880081057548523	0.084420286	No	
row_14	XM_047180257	na	1644	0.587843120098114	0.09549648	No	
row_15	XM_047177526	na	1793	0.5744072198867798	0.09682625	No	
row_16	XM_047172324	na	2054	0.5376541614532471	0.09027942	No	
row_17	XM_047164969	na	2114	0.528213381767273	0.096447594	No	
row_18	XM_047182601	na	2218	0.5141459107398987	0.09952838	No	
row_19	XM_047163648	na	2273	0.5066993236541748	0.1056119	No	
row_20	XM_047180486	na	2327	0.5000057220458984	0.111633435	No	
row_21	XM_047177195	na	2333	0.498852014541626	0.12071213	No	
row_22	XM_047177216	na	2402	0.4909893572330475	0.12560163	No	
row_23	XM_047174356	na	2578	0.47478240728378296	0.123322375	No	
row_24	XM_047178716	na	2599	0.472268670797348	0.13093804	No	
row_25	XM_047185491	na	2643	0.4684395492076874	0.13700624	No	
row_26	XM_047178321	na	2672	0.46431124210357666	0.1439588	No	
row_27	XM_047175463	na	2788	0.4513717591762543	0.14508708	No	
row_28	XM_047168642	na	2866	0.44266799092292786	0.1484888	No	
row_29	XM_047177209	na	2918	0.43536102771759033	0.15342058	No	
row_30	XM_047166168	na	2946	0.43310776352882385	0.15984936	No	
row_31	XM_047170913	na	3301	0.3986613154411316	0.14465411	No	
row_32	XM_047183938	na	3428	0.38487109541893005	0.14382379	No	
row_33	XM_047165856	na	3456	0.38172850012779236	0.14928447	No	
row_34	XM_047171257	na	3468	0.38073208928108215	0.15575269	No	
row_35	XM_047163062	na	3476	0.37981119751930237	0.16246012	No	
row_36	XM_047166128	na	3647	0.37700194120407104	0.15865919	No	
row_37	XM_047181901	na	3648	0.37686896324157715	0.16576019	No	
row_38	XM_047177199	na	3687	0.3701648414134979	0.17029741	No	
row_39	XM_047185495	na	3809	0.36670857667922974	0.16944559	No	
row_40	XM_047164665	na	3827	0.36646953225135803	0.1752602	No	
row_41	XM_047175357	na	3921	0.3555344045162201	0.17599384	No	
row_42	XM_047177989	na	4021	0.3440892994403839	0.17612699	No	
row_43	XM_047165763	na	4167	0.33147820830345154	0.17307189	No	
row_44	XM_047168756	na	4328	0.32401978969573975	0.16891411	No	
row_45	XM_047166561	na	4432	0.3132131099700928	0.16820891	No	
row_46	XM_047174581	na	4710	0.30046406388282776	0.15610248	No	
row_47	XM_047170866	na	4721	0.2986007630825043	0.1610873	No	
row_48	XM_047182298	na	4849	0.28516885638237	0.15831424	No	
row_49	XM_047177205	na	4944	0.27432695031166077	0.15745363	No	
row_50	XM_047163762	na	5037	0.2641039788722992	0.15652868	No	
row_51	XM_047169153	na	5055	0.262716144323349	0.16038835	No	
row_52	XM_047164677	na	5174	0.25107210874557495	0.15755013	No	
row_53	XM_047174757	na	5178	0.25051677227020264	0.16207795	No	
row_54	XM_047177202	na	5307	0.23911789059638977	0.15837304	No	
row_55	XM_047167419	na	5320	0.23751752078533173	0.16207865	No	
row_56	XM_047177200	na	5406	0.22765810787677765	0.16091599	No	
row_57	XM_047180597	na	5503	0.2188747078180313	0.15888226	No	
row_58	XM_047181118	na	5507	0.21845489740371704	0.16280597	No	
row_59	XM_047177228	na	5547	0.21475651860237122	0.16435082	No	
row_60	XM_047177208	na	5865	0.18134784698486328	0.14743425	No	
row_61	XM_047183973	na	5977	0.16775476932525635	0.14347516	No	
row_62	XM_047170178	na	6054	0.1616591364145279	0.14164624	No	
row_63	XM_047165764	na	6195	0.14780306816101074	0.13545103	No	
row_64	XM_047165818	na	6217	0.14643028378486633	0.13686307	No	
row_65	XM_047162869	na	6523	0.11385419964790344	0.1194445	No	
row_66	XM_047180434	na	6541	0.1126345694065094	0.12047633	No	
row_67	XM_047163226	na	6752	0.09473347663879395	0.10879113	No	
row_68	XM_047173492	na	6840	0.08895420283079147	0.10488671	No	
row_69	XM_047180487	na	6842	0.08895420283079147	0.10649865	No	
row_70	XM_047184774	na	6851	0.08808115869760513	0.10764514	No	
row_71	XM_047183046	na	6873	0.08586184680461884	0.10791594	No	
row_72	XM_047173488	na	6942	0.07907550781965256	0.10504411	No	
row_73	XM_047164297	na	7003	0.07235970348119736	0.1025589	No	
row_74	XM_047163297	na	7034	0.06870393455028534	0.10192912	No	
row_75	XM_047173905	na	7076	0.06496624648571014	0.10052332	No	
row_76	XM_047177747	na	7238	0.052611030638217926	0.09118749	No	
row_77	XM_047183949	na	7529	0.02152305655181408	0.07299136	No	
row_78	XM_047174272	na	7699	0.002052475232630968	0.062189754	No	
row_79	XM_047163847	na	7805	0.0	0.055454668	No	
row_80	XM_047164546	na	7847	0.0	0.052824777	No	
row_81	XM_047165023	na	7889	0.0	0.050194886	No	
row_82	XM_047165025	na	7890	0.0	0.050194886	No	
row_83	XM_047168123	na	8069	0.0	0.03877731	No	
row_84	XM_047168124	na	8070	0.0	0.03877731	No	
row_85	XM_047169176	na	8134	0.0	0.034736257	No	
row_86	XM_047169177	na	8135	0.0	0.034736257	No	
row_87	XM_047170641	na	8243	0.0	0.027872885	No	
row_88	XM_047170642	na	8244	0.0	0.027872885	No	
row_89	XM_047177114	na	8701	0.0	-0.0013766367	No	
row_90	XM_047177204	na	8703	0.0	-0.0014407804	No	
row_91	XM_047180120	na	8901	0.0	-0.014077086	No	
row_92	XM_047184886	na	9239	0.0	-0.035693508	No	
row_93	XM_047177749	na	10019	-0.028586160391569138	-0.085122816	No	
row_94	XM_047178324	na	10161	-0.04220833256840706	-0.093371786	No	
row_95	XM_047166517	na	10322	-0.05614245682954788	-0.102576934	No	
row_96	XM_047175345	na	10360	-0.05995643138885498	-0.10382054	No	
row_97	XM_047175776	na	10461	-0.06956803053617477	-0.108924106	No	
row_98	XM_047177988	na	10503	-0.07233399897813797	-0.11019107	No	
row_99	XM_047170396	na	10508	-0.07274284213781357	-0.10907702	No	
row_100	XM_047176877	na	10550	-0.0758485272526741	-0.110277764	No	
row_101	XM_047181931	na	10695	-0.08263188600540161	-0.117957495	No	
row_102	XM_047183391	na	10916	-0.10032141953706741	-0.13017884	No	
row_103	XM_047172416	na	10923	-0.10062125325202942	-0.12866779	No	
row_104	XM_047186189	na	11042	-0.10879649966955185	-0.13418679	No	
row_105	XM_047166402	na	11341	-0.13332012295722961	-0.15078957	No	
row_106	XM_047171937	na	11377	-0.1372743397951126	-0.15044807	No	
row_107	XM_047176952	na	11429	-0.1413206160068512	-0.15105662	No	
row_108	XM_047178320	na	11733	-0.16935241222381592	-0.16730121	No	
row_109	XM_047172951	na	11738	-0.17022962868213654	-0.1643503	No	
row_110	XM_047167709	na	11751	-0.1715785413980484	-0.16188712	No	
row_111	XM_047178037	na	11875	-0.18384398519992828	-0.16631278	No	
row_112	XM_047170527	na	12102	-0.20936459302902222	-0.1768644	No	
row_113	XM_047173597	na	12208	-0.2210315316915512	-0.17943479	No	
row_114	XM_047171671	na	12394	-0.24378065764904022	-0.18670803	No	
row_115	XM_047177625	na	12395	-0.24381901323795319	-0.18211398	No	
row_116	XM_047166562	na	12413	-0.24640494585037231	-0.17856163	No	
row_117	XM_047163260	na	12600	-0.27193543314933777	-0.18536852	No	
row_118	XM_047175356	na	12627	-0.27463290095329285	-0.1818616	No	
row_119	XM_047177207	na	12791	-0.2995336949825287	-0.18667318	No	
row_120	XM_047165308	na	12808	-0.30202198028564453	-0.18200874	No	
row_121	XM_047181117	na	12979	-0.32858899235725403	-0.18672188	Yes	
row_122	XM_047165104	na	13042	-0.3396642208099365	-0.1842988	Yes	
