NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047182411	na	1728	0.5829740762710571	-0.08227108	No	
row_1	XM_047171890	na	3510	0.37981119751930237	-0.17766207	No	
row_2	XM_047168899	na	4039	0.34311896562576294	-0.19489112	No	
row_3	XM_047185878	na	4701	0.30147451162338257	-0.2225998	No	
row_4	XM_047175689	na	5620	0.20574897527694702	-0.27128983	No	
row_5	XM_047185382	na	6205	0.1476585566997528	-0.30146092	No	
row_6	XM_047173332	na	6232	0.14488747715950012	-0.29617354	No	
row_7	XM_047185389	na	6480	0.1187121644616127	-0.3062372	No	
row_8	XM_047182901	na	6702	0.09847286343574524	-0.3156127	No	
row_9	XM_047179440	na	7413	0.03395411744713783	-0.35927138	No	
row_10	XM_047182902	na	9121	0.0	-0.46815008	No	
row_11	XM_047185387	na	9274	0.0	-0.4778452	No	
row_12	XM_047168406	na	9686	-8.132928633131087E-4	-0.5040213	No	
row_13	XM_047171006	na	9761	-0.007222047541290522	-0.5083951	No	
row_14	XM_047180081	na	9975	-0.025116438046097755	-0.5207769	No	
row_15	XM_047167308	na	10030	-0.02936227060854435	-0.5228137	No	
row_16	XM_047185287	na	10221	-0.04724126681685448	-0.5326679	No	
row_17	XM_047167179	na	10352	-0.059374820441007614	-0.53811336	No	
row_18	XM_047178211	na	10384	-0.06200505420565605	-0.5371182	No	
row_19	XM_047177481	na	10453	-0.06874797493219376	-0.5381598	No	
row_20	XM_047182451	na	10556	-0.07641224563121796	-0.54100263	No	
row_21	XM_047186134	na	10709	-0.08379914611577988	-0.5466805	No	
row_22	XM_047185082	na	10778	-0.08876512199640274	-0.5467625	No	
row_23	XM_047173278	na	10803	-0.09020933508872986	-0.5439688	No	
row_24	XM_047179193	na	10855	-0.09501725435256958	-0.54266673	No	
row_25	XM_047184786	na	11089	-0.11298857629299164	-0.5521118	No	
row_26	XM_047179484	na	11301	-0.13012464344501495	-0.55933213	Yes	
row_27	XM_047171799	na	11345	-0.13388274610042572	-0.5556567	Yes	
row_28	XM_047184640	na	11502	-0.1482786238193512	-0.5584986	Yes	
row_29	XM_047185792	na	11521	-0.14969460666179657	-0.55247056	Yes	
row_30	XM_047186265	na	11585	-0.15492935478687286	-0.5490618	Yes	
row_31	XM_047174379	na	11616	-0.1580677479505539	-0.5433977	Yes	
row_32	XM_047185091	na	11672	-0.16327643394470215	-0.53907853	Yes	
row_33	XM_047185050	na	11714	-0.1680094301700592	-0.5336395	Yes	
row_34	XM_047171089	na	11717	-0.1682811677455902	-0.52569985	Yes	
row_35	XM_047178999	na	11883	-0.18444238603115082	-0.52738225	Yes	
row_36	XM_047186259	na	11986	-0.19547995924949646	-0.5245171	Yes	
row_37	XM_047179384	na	11997	-0.1976463794708252	-0.51568	Yes	
row_38	XM_047179737	na	12288	-0.22939346730709076	-0.5231804	Yes	
row_39	XM_047178972	na	12463	-0.25393301248550415	-0.5221055	Yes	
row_40	XM_047162914	na	12509	-0.2599065899848938	-0.5125162	Yes	
row_41	XM_047170794	na	12711	-0.28691592812538147	-0.5115823	Yes	
row_42	XM_047175882	na	12982	-0.32961857318878174	-0.5130024	Yes	
row_43	XM_047176089	na	13282	-0.3407037854194641	-0.51574075	Yes	
row_44	XM_047179192	na	13464	-0.3444921374320984	-0.51077104	Yes	
row_45	XM_047180528	na	13678	-0.37888699769973755	-0.5061936	Yes	
row_46	XM_047167515	na	13694	-0.38245701789855957	-0.48881584	Yes	
row_47	XM_047169785	na	13711	-0.38600245118141174	-0.47133186	Yes	
row_48	XM_047162866	na	13771	-0.39741674065589905	-0.45604345	Yes	
row_49	XM_047176617	na	13986	-0.4234720468521118	-0.4493924	Yes	
row_50	XM_047177009	na	13990	-0.42494481801986694	-0.42921242	Yes	
row_51	XM_047179834	na	14088	-0.43925741314888	-0.41434196	Yes	
row_52	XM_047179155	na	14257	-0.47988617420196533	-0.40205246	Yes	
row_53	XM_047174440	na	14259	-0.4802555739879608	-0.37909338	Yes	
row_54	XM_047176514	na	14270	-0.48332828283309937	-0.35656103	Yes	
row_55	XM_047165083	na	14400	-0.5205722451210022	-0.33983353	Yes	
row_56	XM_047173832	na	14496	-0.5461779236793518	-0.31970987	Yes	
row_57	XM_047171758	na	14543	-0.5612296462059021	-0.29573923	Yes	
row_58	XM_047181318	na	14931	-0.6453617215156555	-0.28948566	Yes	
row_59	XM_047165484	na	14945	-0.6493568420410156	-0.25918546	Yes	
row_60	XM_047179601	na	15311	-0.8198639750480652	-0.24316321	Yes	
row_61	XM_047167735	na	15365	-0.8496622443199158	-0.20581196	Yes	
row_62	XM_047177935	na	15523	-0.9777186512947083	-0.16895536	Yes	
row_63	XM_047170313	na	15653	-1.1366864442825317	-0.12269208	Yes	
row_64	XM_047182938	na	15671	-1.1807366609573364	-0.06717332	Yes	
row_65	XM_047172141	na	15724	-1.4956989288330078	0.0012119197	Yes	
