NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047173469	na	834	0.7391529679298401	0.084210895	No	
row_1	XM_047168425	na	1286	0.6468464732170105	0.17563374	No	
row_2	XM_047176488	na	3616	0.37770435214042664	0.097689345	No	
row_3	XM_047177589	na	5533	0.2155485451221466	0.015895713	No	
row_4	XM_047163600	na	6259	0.1407589167356491	-0.0040636477	No	
row_5	XM_047165373	na	7146	0.0611489936709404	-0.04903956	No	
row_6	XM_047168307	na	10040	-0.030389538034796715	-0.2273251	No	
row_7	XM_047167181	na	10470	-0.07040415704250336	-0.24152805	No	
row_8	XM_047176909	na	11422	-0.1406107097864151	-0.2758833	No	
row_9	XM_047166646	na	11489	-0.1474037617444992	-0.2527118	No	
row_10	XM_047170552	na	12750	-0.29388412833213806	-0.27825496	No	
row_11	XM_047185394	na	14291	-0.48888731002807617	-0.28539458	Yes	
row_12	XM_047171255	na	14295	-0.49086517095565796	-0.1944494	Yes	
row_13	XM_047177863	na	15211	-0.759488046169281	-0.11161274	Yes	
row_14	XM_047166325	na	15257	-0.7829853296279907	0.03089837	Yes	
