NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047164155	na	26	1.5027668476104736	0.018018585	Yes	
row_1	XM_047166102	na	156	1.1252880096435547	0.02445369	Yes	
row_2	XM_047176733	na	176	1.098982572555542	0.03763169	Yes	
row_3	XM_047163540	na	304	0.9743322134017944	0.042217378	Yes	
row_4	XM_047175110	na	570	0.8379460573196411	0.03612396	Yes	
row_5	XM_047184472	na	690	0.7893756031990051	0.038801245	Yes	
row_6	XM_047171166	na	807	0.7473783493041992	0.041121453	Yes	
row_7	XM_047185532	na	809	0.7467492818832397	0.050843213	Yes	
row_8	XM_047175346	na	810	0.7465518116950989	0.060626812	Yes	
row_9	XM_047185049	na	815	0.7443569898605347	0.07012392	Yes	
row_10	XM_047184592	na	821	0.7430770993232727	0.07953982	Yes	
row_11	XM_047169369	na	883	0.7262823581695557	0.08512738	Yes	
row_12	XM_047170483	na	934	0.7141150832176208	0.09126425	Yes	
row_13	XM_047164272	na	994	0.7008240818977356	0.09664704	Yes	
row_14	XM_047178104	na	1011	0.6958011984825134	0.10473462	Yes	
row_15	XM_047171167	na	1315	0.6412293910980225	0.09361477	Yes	
row_16	XM_047164365	na	1331	0.6371409296989441	0.100998044	Yes	
row_17	XM_047164157	na	1348	0.634356677532196	0.1082804	Yes	
row_18	XM_047185865	na	1350	0.6340453624725342	0.116525166	Yes	
row_19	XM_047163063	na	1400	0.6253757476806641	0.12156353	Yes	
row_20	XM_047178261	na	1404	0.6249927878379822	0.1295608	Yes	
row_21	XM_047175344	na	1405	0.6248993873596191	0.13775013	Yes	
row_22	XM_047174836	na	1445	0.621092677116394	0.14337671	Yes	
row_23	XM_047186295	na	1456	0.6205195784568787	0.15086432	Yes	
row_24	XM_047170366	na	1631	0.589826762676239	0.14738269	Yes	
row_25	XM_047177554	na	1700	0.5851828455924988	0.1506701	Yes	
row_26	XM_047167367	na	1745	0.5807743668556213	0.15544613	Yes	
row_27	XM_047166465	na	1754	0.5801204442977905	0.16253318	Yes	
row_28	XM_047172605	na	1927	0.5558798313140869	0.15873553	Yes	
row_29	XM_047164549	na	1972	0.5492217540740967	0.16309807	Yes	
row_30	XM_047179963	na	2127	0.5269320011138916	0.16008085	Yes	
row_31	XM_047178944	na	2137	0.5258451700210571	0.16639219	Yes	
row_32	XM_047163648	na	2273	0.5066993236541748	0.16433406	Yes	
row_33	XM_047178613	na	2475	0.48361462354660034	0.15772082	Yes	
row_34	XM_047173177	na	2486	0.4828855097293854	0.16340473	Yes	
row_35	XM_047174356	na	2578	0.47478240728378296	0.16376337	Yes	
row_36	XM_047170395	na	2653	0.4669620990753174	0.1651149	Yes	
row_37	XM_047168645	na	2664	0.46600377559661865	0.17057757	Yes	
row_38	XM_047163904	na	2676	0.463581919670105	0.17594407	Yes	
row_39	XM_047175463	na	2788	0.4513717591762543	0.17470726	Yes	
row_40	XM_047178112	na	3018	0.427545964717865	0.16555512	Yes	
row_41	XM_047177105	na	3059	0.42408692836761475	0.16853549	Yes	
row_42	XM_047175050	na	3092	0.4227498173713684	0.17201379	Yes	
row_43	XM_047174572	na	3098	0.4214927852153778	0.17721531	Yes	
row_44	XM_047168457	na	3107	0.42058897018432617	0.1822117	Yes	
row_45	XM_047179519	na	3135	0.4168950319290161	0.18593544	Yes	
row_46	XM_047167607	na	3243	0.40410447120666504	0.18433692	Yes	
row_47	XM_047163546	na	3252	0.40372928977012634	0.18911235	Yes	
row_48	XM_047174562	na	3367	0.392547607421875	0.18691134	Yes	
row_49	XM_047163062	na	3476	0.37981119751930237	0.18493003	Yes	
row_50	XM_047173792	na	3515	0.37981119751930237	0.18745902	Yes	
row_51	XM_047164196	na	3666	0.37408649921417236	0.18269649	Yes	
row_52	XM_047173788	na	3703	0.36854225397109985	0.18520667	Yes	
row_53	XM_047169172	na	3737	0.36670857667922974	0.18788612	Yes	
row_54	XM_047182593	na	3842	0.3647267818450928	0.18596485	Yes	
row_55	XM_047167366	na	3863	0.3621828854084015	0.18942262	Yes	
row_56	XM_047175357	na	3921	0.3555344045162201	0.19040923	Yes	
row_57	XM_047170268	na	4010	0.34508249163627625	0.18926145	Yes	
row_58	XM_047172925	na	4067	0.34108680486679077	0.19012317	Yes	
row_59	XM_047177659	na	4126	0.3351641297340393	0.1907784	Yes	
row_60	XM_047164371	na	4259	0.33111637830734253	0.18661255	No	
row_61	XM_047177081	na	4385	0.3176676034927368	0.18272147	No	
row_62	XM_047167678	na	4560	0.30347663164138794	0.1754872	No	
row_63	XM_047179343	na	4706	0.30088159441947937	0.1700875	No	
row_64	XM_047185889	na	4770	0.2941683828830719	0.16988331	No	
row_65	XM_047185530	na	4850	0.28516885638237	0.16853026	No	
row_66	XM_047177174	na	4895	0.28005358576774597	0.16936532	No	
row_67	XM_047182878	na	4922	0.27719777822494507	0.17132276	No	
row_68	XM_047168990	na	4977	0.27139121294021606	0.17139997	No	
row_69	XM_047172138	na	5008	0.267081618309021	0.1729671	No	
row_70	XM_047163905	na	5035	0.2643849551677704	0.17475662	No	
row_71	XM_047163762	na	5037	0.2641039788722992	0.17815329	No	
row_72	XM_047178026	na	5038	0.2641039788722992	0.18161438	No	
row_73	XM_047169648	na	5048	0.2634423077106476	0.18448691	No	
row_74	XM_047179603	na	5056	0.26271387934684753	0.18747877	No	
row_75	XM_047166399	na	5119	0.2551327347755432	0.18682745	No	
row_76	XM_047164677	na	5174	0.25107210874557495	0.18663837	No	
row_77	XM_047185531	na	5269	0.24200062453746796	0.1837531	No	
row_78	XM_047167419	na	5320	0.23751752078533173	0.18364413	No	
