NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047167854	na	39	1.4091988801956177	0.0067421775	Yes	
row_1	XM_047163239	na	49	1.3621788024902344	0.015130844	Yes	
row_2	XM_047165039	na	78	1.2382558584213257	0.02146397	Yes	
row_3	XM_047175742	na	90	1.21969473361969	0.028783372	Yes	
row_4	XM_047184889	na	113	1.1847490072250366	0.035155196	Yes	
row_5	XM_047184784	na	137	1.1483936309814453	0.041222263	Yes	
row_6	XM_047185085	na	141	1.1416696310043335	0.048549227	Yes	
row_7	XM_047177494	na	189	1.0866553783416748	0.052644446	Yes	
row_8	XM_047170136	na	197	1.0779404640197754	0.059290655	Yes	
row_9	XM_047162853	na	219	1.0529906749725342	0.06485952	Yes	
row_10	XM_047185899	na	244	1.0274860858917236	0.0700647	Yes	
row_11	XM_047175824	na	267	1.0068888664245605	0.07526458	Yes	
row_12	XM_047163932	na	357	0.9465385675430298	0.07569772	Yes	
row_13	XM_047169159	na	415	0.9149826765060425	0.078009665	Yes	
row_14	XM_047164471	na	431	0.9105779528617859	0.083031416	Yes	
row_15	XM_047172861	na	452	0.8990533947944641	0.08765118	Yes	
row_16	XM_047176648	na	456	0.8966159224510193	0.09336346	Yes	
row_17	XM_047163635	na	467	0.8916685581207275	0.09858666	Yes	
row_18	XM_047185748	na	479	0.8849638104438782	0.10370049	Yes	
row_19	XM_047181848	na	506	0.8718389868736267	0.10774967	Yes	
row_20	XM_047175622	na	508	0.8709427714347839	0.113423206	Yes	
row_21	XM_047168345	na	529	0.858105480670929	0.11777316	Yes	
row_22	XM_047175247	na	534	0.8561205863952637	0.123153396	Yes	
row_23	XM_047163238	na	551	0.8465004563331604	0.12768772	Yes	
row_24	XM_047180013	na	559	0.8430116772651672	0.13278596	Yes	
row_25	XM_047168675	na	590	0.8299849629402161	0.13629852	Yes	
row_26	XM_047162852	na	594	0.8281320929527283	0.14155954	Yes	
row_27	XM_047184532	na	596	0.8275407552719116	0.1469471	Yes	
row_28	XM_047174005	na	621	0.8176184296607971	0.15076944	Yes	
row_29	XM_047168033	na	631	0.811771035194397	0.1555314	Yes	
row_30	XM_047168994	na	662	0.801081120967865	0.15885352	Yes	
row_31	XM_047168511	na	710	0.7797818183898926	0.1609267	Yes	
row_32	XM_047167736	na	722	0.7766236066818237	0.16532665	Yes	
row_33	XM_047180847	na	723	0.776156485080719	0.17044084	Yes	
row_34	XM_047171313	na	729	0.7731298208236694	0.17520905	Yes	
row_35	XM_047164731	na	746	0.7663134336471558	0.179215	Yes	
row_36	XM_047178401	na	754	0.7633870840072632	0.18378858	Yes	
row_37	XM_047175081	na	765	0.7606374025344849	0.18814841	Yes	
row_38	XM_047170434	na	788	0.751916229724884	0.19166824	Yes	
row_39	XM_047165040	na	796	0.7504981756210327	0.1961569	Yes	
row_40	XM_047166992	na	819	0.7431647777557373	0.19961907	Yes	
row_41	XM_047168995	na	829	0.7402404546737671	0.20390971	Yes	
row_42	XM_047184562	na	838	0.7388516068458557	0.20825641	Yes	
row_43	XM_047186157	na	840	0.7387920618057251	0.21305919	Yes	
row_44	XM_047167089	na	843	0.7386536002159119	0.21779585	Yes	
row_45	XM_047169747	na	847	0.7375499606132507	0.22246002	Yes	
row_46	XM_047172096	na	897	0.7223026752471924	0.22402406	Yes	
row_47	XM_047163057	na	908	0.72044837474823	0.22811908	Yes	
row_48	XM_047168924	na	952	0.7107347249984741	0.22999814	Yes	
row_49	XM_047178653	na	979	0.7052557468414307	0.23294969	Yes	
row_50	XM_047182061	na	981	0.7045647501945496	0.23752694	Yes	
row_51	XM_047186072	na	990	0.7011740803718567	0.24162538	Yes	
row_52	XM_047180995	na	1036	0.6884937286376953	0.24322748	Yes	
row_53	XM_047178509	na	1078	0.6782965660095215	0.24502324	Yes	
row_54	XM_047167144	na	1097	0.6767984628677368	0.24830896	Yes	
row_55	XM_047163240	na	1099	0.6763391494750977	0.25270024	Yes	
row_56	XM_047165602	na	1127	0.6706997752189636	0.25535887	Yes	
row_57	XM_047166658	na	1201	0.662502110004425	0.25496382	Yes	
row_58	XM_047165319	na	1214	0.6600362658500671	0.25853035	Yes	
row_59	XM_047176160	na	1219	0.6594642996788025	0.26261482	Yes	
row_60	XM_047166739	na	1252	0.6524885892868042	0.2648274	Yes	
row_61	XM_047176750	na	1255	0.6517735123634338	0.2689916	Yes	
row_62	XM_047169346	na	1307	0.6424686908721924	0.26989916	Yes	
row_63	XM_047165781	na	1356	0.6330457925796509	0.27094027	Yes	
row_64	XM_047178441	na	1357	0.632838785648346	0.27511013	Yes	
row_65	XM_047168672	na	1380	0.628793478012085	0.2778187	Yes	
row_66	XM_047179722	na	1414	0.6233842968940735	0.2797743	Yes	
row_67	XM_047164204	na	1417	0.6229233741760254	0.28374842	Yes	
row_68	XM_047177339	na	1468	0.6184578537940979	0.284563	Yes	
row_69	XM_047180846	na	1476	0.6164227724075317	0.2881682	Yes	
row_70	XM_047184297	na	1513	0.610371470451355	0.28984246	Yes	
row_71	XM_047164253	na	1517	0.6092128157615662	0.293661	Yes	
row_72	XM_047177823	na	1520	0.6086245179176331	0.29754087	Yes	
row_73	XM_047185526	na	1548	0.6034491062164307	0.29975638	Yes	
row_74	XM_047185264	na	1564	0.6012073159217834	0.30273965	Yes	
row_75	XM_047182424	na	1574	0.6002833843231201	0.30610812	Yes	
row_76	XM_047170504	na	1592	0.5966342687606812	0.3089308	Yes	
row_77	XM_047176602	na	1605	0.5949510335922241	0.3120685	Yes	
row_78	XM_047180257	na	1644	0.587843120098114	0.31346387	Yes	
row_79	XM_047178510	na	1675	0.5854314565658569	0.31536505	Yes	
row_80	XM_047185025	na	1680	0.5854314565658569	0.31896168	Yes	
row_81	XM_047184483	na	1756	0.5793244242668152	0.31788814	Yes	
row_82	XM_047168992	na	1759	0.5786011815071106	0.32157022	Yes	
row_83	XM_047167869	na	1774	0.576134979724884	0.32445347	Yes	
row_84	XM_047170212	na	1806	0.5738233923912048	0.32621294	Yes	
row_85	XM_047182001	na	1812	0.5725427865982056	0.32965946	Yes	
row_86	XM_047179354	na	1876	0.5642112493515015	0.32926887	Yes	
row_87	XM_047163863	na	1906	0.5585373640060425	0.33105803	Yes	
row_88	XM_047180014	na	1986	0.5472319722175598	0.32951218	Yes	
row_89	XM_047166297	na	1988	0.5469468832015991	0.33305088	Yes	
row_90	XM_047163080	na	2024	0.5406486988067627	0.33433092	Yes	
row_91	XM_047170356	na	2026	0.5405266880989075	0.3378273	Yes	
row_92	XM_047169978	na	2146	0.5251516103744507	0.33352757	Yes	
row_93	XM_047164207	na	2171	0.5219504237174988	0.3354017	Yes	
row_94	XM_047183940	na	2195	0.5173479914665222	0.33731073	Yes	
row_95	XM_047165854	na	2221	0.5137876272201538	0.33906588	Yes	
row_96	XM_047173704	na	2263	0.5080841183662415	0.3397401	Yes	
row_97	XM_047170024	na	2268	0.5072789788246155	0.34282178	Yes	
row_98	XM_047167176	na	2302	0.5029172897338867	0.34398362	Yes	
