NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047175840	na	100	1.203443169593811	0.05272801	Yes	
row_1	XM_047171490	na	177	1.0981138944625854	0.101812966	Yes	
row_2	XM_047177787	na	372	0.9410718083381653	0.13566428	Yes	
row_3	XM_047177213	na	587	0.8316600918769836	0.16286755	Yes	
row_4	XM_047168675	na	590	0.8299849629402161	0.20350118	Yes	
row_5	XM_047186072	na	990	0.7011740803718567	0.21250448	Yes	
row_6	XM_047175914	na	1122	0.6713804006576538	0.23712662	Yes	
row_7	XM_047180338	na	1211	0.660788893699646	0.2639694	Yes	
row_8	XM_047168672	na	1380	0.628793478012085	0.28414172	Yes	
row_9	XM_047177212	na	1466	0.6186438798904419	0.30910593	Yes	
row_10	XM_047180257	na	1644	0.587843120098114	0.3266935	Yes	
row_11	XM_047168556	na	2076	0.5347937941551208	0.32548612	Yes	
row_12	XM_047169978	na	2146	0.5251516103744507	0.34687868	Yes	
row_13	XM_047184938	na	2167	0.5226609706878662	0.37127212	Yes	
row_14	XM_047173704	na	2263	0.5080841183662415	0.3901693	Yes	
row_15	XM_047186071	na	2426	0.48842892050743103	0.40383065	Yes	
row_16	XM_047171860	na	2638	0.46895164251327515	0.41341227	Yes	
row_17	XM_047168336	na	2729	0.45782187581062317	0.4301597	Yes	
row_18	XM_047166638	na	2910	0.43599385023117065	0.44009864	Yes	
row_19	XM_047185142	na	2981	0.43131765723228455	0.45681924	Yes	
row_20	XM_047175106	na	3235	0.40535488724708557	0.46060053	Yes	
row_21	XM_047163660	na	3257	0.4027060568332672	0.47903916	Yes	
row_22	XM_047165856	na	3456	0.38172850012779236	0.4851658	Yes	
row_23	XM_047175916	na	3522	0.37981119751930237	0.49967557	Yes	
row_24	XM_047178277	na	3686	0.3708564043045044	0.5074991	Yes	
row_25	XM_047186490	na	3874	0.3610900938510895	0.5133133	Yes	
row_26	XM_047179420	na	4054	0.3418099582195282	0.5186906	Yes	
row_27	XM_047165566	na	4307	0.32610762119293213	0.51864374	Yes	
row_28	XM_047180052	na	4387	0.3176078796386719	0.5292063	Yes	
row_29	XM_047171696	na	4430	0.3134121894836426	0.54192114	Yes	
row_30	XM_047176732	na	4866	0.28345412015914917	0.52811533	No	
row_31	XM_047167996	na	4957	0.27323001623153687	0.53579736	No	
row_32	XM_047179713	na	5770	0.18972252309322357	0.49335873	No	
row_33	XM_047163224	na	5955	0.1702311635017395	0.48999092	No	
row_34	XM_047168538	na	6241	0.1429346650838852	0.47884497	No	
row_35	XM_047184208	na	6360	0.13014058768749237	0.47771505	No	
row_36	XM_047184134	na	6453	0.12067791074514389	0.47777766	No	
row_37	XM_047165567	na	6565	0.11064847558736801	0.47613665	No	
row_38	XM_047179134	na	7277	0.04844247177243233	0.43319732	No	
row_39	XM_047180111	na	7475	0.027541503310203552	0.42199335	No	
row_40	XM_047174683	na	7587	0.014108442701399326	0.41561118	No	
row_41	XM_047167592	na	8030	0.0	0.3874386	No	
row_42	XM_047173893	na	8492	0.0	0.35805494	No	
row_43	XM_047179421	na	8849	0.0	0.3353639	No	
row_44	XM_047182080	na	9049	0.0	0.32267985	No	
row_45	XM_047169242	na	9712	-0.0031196968629956245	0.2806379	No	
row_46	XM_047169966	na	9751	-0.006558305583894253	0.27853787	No	
row_47	XM_047186031	na	9816	-0.013039370998740196	0.27509895	No	
row_48	XM_047181797	na	11908	-0.18681015074253082	0.15099524	No	
row_49	XM_047186213	na	12035	-0.20206277072429657	0.15288758	No	
row_50	XM_047162870	na	12310	-0.23304522037506104	0.14686812	No	
row_51	XM_047166567	na	12863	-0.3109573721885681	0.12695555	No	
row_52	XM_047168674	na	13143	-0.3397531807422638	0.1258579	No	
row_53	XM_047177211	na	13808	-0.4045238494873047	0.1034017	No	
row_54	XM_047186422	na	13838	-0.4045869708061218	0.12142281	No	
