NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047170880	na	151	1.1318535804748535	0.013607958	Yes	
row_1	XM_047182527	na	276	0.9985163807868958	0.02620291	Yes	
row_2	XM_047172053	na	314	0.9701818227767944	0.043788053	Yes	
row_3	XM_047182798	na	385	0.92861008644104	0.058404226	Yes	
row_4	XM_047168323	na	413	0.9158453941345215	0.07551232	Yes	
row_5	XM_047169159	na	415	0.9149826765060425	0.09426816	Yes	
row_6	XM_047163635	na	467	0.8916685581207275	0.10934159	Yes	
row_7	XM_047169140	na	492	0.8781876564025879	0.12586729	Yes	
row_8	XM_047169139	na	713	0.7794325947761536	0.12780648	Yes	
row_9	XM_047164731	na	746	0.7663134336471558	0.14151864	Yes	
row_10	XM_047168305	na	753	0.7635365128517151	0.15683915	Yes	
row_11	XM_047178401	na	754	0.7633870840072632	0.17254095	Yes	
row_12	XM_047175081	na	765	0.7606374025344849	0.1875456	Yes	
row_13	XM_047167700	na	785	0.7524587512016296	0.20180552	Yes	
row_14	XM_047178272	na	844	0.7385589480400085	0.2132813	Yes	
row_15	XM_047169747	na	847	0.7375499606132507	0.22832355	Yes	
row_16	XM_047170673	na	948	0.7118710279464722	0.23655999	Yes	
row_17	XM_047166250	na	1062	0.6821137070655823	0.24335161	Yes	
row_18	XM_047176389	na	1119	0.6720790863037109	0.2535881	Yes	
row_19	XM_047182814	na	1192	0.6647164821624756	0.26264825	Yes	
row_20	XM_047180338	na	1211	0.660788893699646	0.27508673	Yes	
row_21	XM_047165468	na	1227	0.6574488878250122	0.28764865	Yes	
row_22	XM_047168425	na	1286	0.6468464732170105	0.29723802	Yes	
row_23	XM_047169346	na	1307	0.6424686908721924	0.30917156	Yes	
row_24	XM_047164253	na	1517	0.6092128157615662	0.3083142	Yes	
row_25	XM_047168301	na	1543	0.6047724485397339	0.3191521	Yes	
row_26	XM_047185526	na	1548	0.6034491062164307	0.33130795	Yes	
row_27	XM_047167446	na	1653	0.5866616368293762	0.33671278	Yes	
row_28	XM_047178610	na	1715	0.585061252117157	0.34483916	Yes	
