NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047166211	na	22	1.5377644300460815	0.01708712	Yes	
row_1	XM_047175840	na	100	1.203443169593811	0.026606884	Yes	
row_2	XM_047165116	na	110	1.1872749328613281	0.040314093	Yes	
row_3	XM_047172452	na	114	1.1835647821426392	0.054363303	Yes	
row_4	XM_047184131	na	122	1.173567771911621	0.06803445	Yes	
row_5	XM_047184784	na	137	1.1483936309814453	0.08095157	Yes	
row_6	XM_047170880	na	151	1.1318535804748535	0.09373409	Yes	
row_7	XM_047175779	na	214	1.0585240125656128	0.10247658	Yes	
row_8	XM_047173829	na	231	1.0415672063827515	0.11397931	Yes	
row_9	XM_047178732	na	311	0.9710943102836609	0.1205742	Yes	
row_10	XM_047182992	na	399	0.9227278828620911	0.12607154	Yes	
row_11	XM_047184864	na	411	0.9160823822021484	0.13638644	Yes	
row_12	XM_047165012	na	429	0.9108632802963257	0.1462519	Yes	
row_13	XM_047176648	na	456	0.8966159224510193	0.15536593	Yes	
row_14	XM_047178731	na	462	0.894026517868042	0.16580208	Yes	
row_15	XM_047170935	na	502	0.8739348649978638	0.17380545	Yes	
row_16	XM_047175622	na	508	0.8709427714347839	0.1839638	Yes	
row_17	XM_047167943	na	514	0.8688786625862122	0.19409733	Yes	
row_18	XM_047168410	na	517	0.8667691349983215	0.2043988	Yes	
row_19	XM_047168345	na	529	0.858105480670929	0.21401602	Yes	
row_20	XM_047162852	na	594	0.8281320929527283	0.21985719	Yes	
row_21	XM_047168033	na	631	0.811771035194397	0.22730581	Yes	
row_22	XM_047184481	na	664	0.7992465496063232	0.23486151	Yes	
row_23	XM_047171313	na	729	0.7731298208236694	0.2400408	Yes	
row_24	XM_047171819	na	822	0.743048369884491	0.24305373	Yes	
row_25	XM_047186096	na	827	0.7411399483680725	0.25171453	Yes	
row_26	XM_047184562	na	838	0.7388516068458557	0.25996116	Yes	
row_27	XM_047169747	na	847	0.7375499606132507	0.268321	Yes	
row_28	XM_047165131	na	946	0.7122074961662292	0.27057618	Yes	
row_29	XM_047177005	na	1155	0.6673123240470886	0.26520255	Yes	
row_30	XM_047173828	na	1181	0.6662077307701111	0.27160838	Yes	
row_31	XM_047165319	na	1214	0.6600362658500671	0.2774889	Yes	
row_32	XM_047172656	na	1268	0.6490750908851624	0.2818842	Yes	
