NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047185882	na	410	0.9167376756668091	0.010367406	No	
row_1	XM_047185885	na	816	0.7442615628242493	0.014183355	No	
row_2	XM_047183311	na	1043	0.6878714561462402	0.02716962	No	
row_3	XM_047167022	na	1106	0.6742809414863586	0.050074376	No	
row_4	XM_047164004	na	1514	0.6101491451263428	0.048420575	No	
row_5	XM_047170540	na	1894	0.5609025359153748	0.046590928	No	
row_6	XM_047165207	na	2155	0.5241037011146545	0.050885215	No	
row_7	XM_047178049	na	2260	0.5082653164863586	0.064498216	No	
row_8	XM_047163787	na	2290	0.5040335059165955	0.08272611	No	
row_9	XM_047176565	na	2305	0.5026710033416748	0.10185644	No	
row_10	XM_047177671	na	2622	0.47017213702201843	0.10043078	No	
row_11	XM_047166446	na	3322	0.39860692620277405	0.071726836	No	
row_12	XM_047168756	na	4328	0.32401978969573975	0.02053526	No	
row_13	XM_047184870	na	5015	0.2662769854068756	-0.012610735	No	
row_14	XM_047165778	na	5159	0.2519809305667877	-0.011693887	No	
row_15	XM_047166663	na	5754	0.191170334815979	-0.04196394	No	
row_16	XM_047183659	na	6312	0.13549202680587769	-0.07209201	No	
row_17	XM_047183970	na	6470	0.1195891946554184	-0.07734173	No	
row_18	XM_047165989	na	6568	0.11048173904418945	-0.07912745	No	
row_19	XM_047185876	na	7014	0.0715305507183075	-0.10466004	No	
row_20	XM_047179215	na	7307	0.0442226305603981	-0.12152213	No	
row_21	XM_047167116	na	8000	0.0	-0.1656576	No	
row_22	XM_047175564	na	8592	0.0	-0.20335132	No	
row_23	XM_047174505	na	9765	-0.007573846261948347	-0.27779928	No	
row_24	XM_047169081	na	10236	-0.048736877739429474	-0.30583432	No	
row_25	XM_047175563	na	10616	-0.07858830690383911	-0.3268763	No	
row_26	XM_047177329	na	10918	-0.10038548707962036	-0.34207526	No	
row_27	XM_047179595	na	11283	-0.12887617945671082	-0.3601574	No	
row_28	XM_047184536	na	11347	-0.1340499222278595	-0.35883582	No	
row_29	XM_047172247	na	11414	-0.13971278071403503	-0.35748	No	
row_30	XM_047169843	na	11705	-0.16692395508289337	-0.36932686	Yes	
row_31	XM_047185487	na	11815	-0.17717403173446655	-0.36922136	Yes	
row_32	XM_047163420	na	11821	-0.17768581211566925	-0.36246237	Yes	
row_33	XM_047184123	na	12004	-0.1981038600206375	-0.36617905	Yes	
row_34	XM_047166115	na	12049	-0.2036575973033905	-0.36087292	Yes	
row_35	XM_047182197	na	12085	-0.2073465883731842	-0.35484582	Yes	
row_36	XM_047170480	na	12179	-0.2172659933567047	-0.3521228	Yes	
row_37	XM_047183623	na	12462	-0.253863662481308	-0.35999635	Yes	
row_38	XM_047184772	na	12680	-0.28243288397789	-0.36258617	Yes	
row_39	XM_047165699	na	12694	-0.28419655561447144	-0.3520947	Yes	
row_40	XM_047167594	na	12755	-0.2944004237651825	-0.34419444	Yes	
row_41	XM_047163318	na	12817	-0.30312061309814453	-0.33601058	Yes	
row_42	XM_047184812	na	12987	-0.33024853467941284	-0.33363432	Yes	
row_43	XM_047175438	na	13025	-0.3384014368057251	-0.32251438	Yes	
row_44	XM_047175268	na	13166	-0.3397531807422638	-0.3179099	Yes	
row_45	XM_047179544	na	13342	-0.3424910306930542	-0.31542864	Yes	
row_46	XM_047179429	na	13468	-0.3450296223163605	-0.3096573	Yes	
row_47	XM_047177730	na	13685	-0.3802918493747711	-0.30828527	Yes	
row_48	XM_047166092	na	13736	-0.39257121086120605	-0.2958367	Yes	
row_49	XM_047172211	na	13740	-0.39312389492988586	-0.28036845	Yes	
row_50	XM_047165757	na	13945	-0.41501519083976746	-0.2768479	Yes	
row_51	XM_047184313	na	14073	-0.4364146888256073	-0.2675639	Yes	
row_52	XM_047183513	na	14187	-0.4626410901546478	-0.25634232	Yes	
row_53	XM_047172418	na	14374	-0.513700544834137	-0.24774273	Yes	
row_54	XM_047178498	na	14487	-0.5432506799697876	-0.23324637	Yes	
row_55	XM_047175300	na	14869	-0.6285533308982849	-0.2325088	Yes	
row_56	XM_047173050	na	14916	-0.6385279297828674	-0.21000774	Yes	
row_57	XM_047164322	na	14963	-0.657116711139679	-0.18676622	Yes	
row_58	XM_047184820	na	15006	-0.6729117035865784	-0.16264042	Yes	
row_59	XM_047178879	na	15009	-0.6750671863555908	-0.13587756	Yes	
row_60	XM_047177404	na	15080	-0.7023087739944458	-0.112366594	Yes	
row_61	XM_047176651	na	15248	-0.778214156627655	-0.09201866	Yes	
row_62	XM_047168910	na	15336	-0.8336615562438965	-0.06435967	Yes	
row_63	XM_047183515	na	15477	-0.9419273734092712	-0.03576838	Yes	
row_64	XM_047170922	na	15705	-1.3222473859786987	0.0024236327	Yes	
