NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047184897	na	287	0.9919006824493408	0.07341259	Yes	
row_1	XM_047185657	na	478	0.8851609826087952	0.14313126	Yes	
row_2	XM_047178228	na	541	0.8525041937828064	0.21797481	Yes	
row_3	XM_047178061	na	1074	0.6794495582580566	0.24692467	Yes	
row_4	XM_047185070	na	1117	0.6722967028617859	0.30638593	Yes	
row_5	XM_047170315	na	1221	0.6590914726257324	0.36074612	Yes	
row_6	XM_047171530	na	1869	0.5652728080749512	0.37182784	Yes	
row_7	XM_047167952	na	1888	0.562883734703064	0.42270404	Yes	
row_8	XM_047180586	na	2063	0.5365185141563416	0.46121928	Yes	
row_9	XM_047164207	na	2171	0.5219504237174988	0.5026505	Yes	
row_10	XM_047171517	na	2513	0.4804127514362335	0.5253564	Yes	
row_11	XM_047186403	na	2518	0.47977226972579956	0.56944215	Yes	
row_12	XM_047182767	na	2714	0.4591192305088043	0.5994683	Yes	
row_13	XM_047165705	na	3485	0.37981119751930237	0.5855849	Yes	
row_14	XM_047174567	na	4056	0.3415803611278534	0.5808916	Yes	
row_15	XM_047174659	na	4155	0.3323023319244385	0.60536826	Yes	
row_16	XM_047168575	na	4292	0.3274681568145752	0.6269807	Yes	
row_17	XM_047167080	na	4777	0.2933001220226288	0.6232965	No	
row_18	XM_047181924	na	5594	0.20870164036750793	0.59067285	No	
row_19	XM_047168538	na	6241	0.1429346650838852	0.56278604	No	
row_20	XM_047163186	na	7757	0.0	0.46640587	No	
row_21	XM_047171531	na	8318	0.0	0.43078017	No	
row_22	XM_047164173	na	10294	-0.05357658863067627	0.31008756	No	
row_23	XM_047182675	na	10568	-0.07741028815507889	0.29987425	No	
row_24	XM_047168264	na	12900	-0.3168324828147888	0.18086381	No	
