NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047171583	na	59	1.3192400932312012	0.05503416	No	
row_1	XM_047173957	na	480	0.8848795890808105	0.06771427	No	
row_2	XM_047186238	na	701	0.7826407551765442	0.08857853	No	
row_3	XM_047177387	na	1391	0.626526415348053	0.07260905	No	
row_4	XM_047172770	na	1985	0.5474700927734375	0.059231818	No	
row_5	XM_047174304	na	2216	0.5142829418182373	0.06749955	No	
row_6	XM_047179965	na	3789	0.36670857667922974	-0.016298043	No	
row_7	XM_047168756	na	4328	0.32401978969573975	-0.03612982	No	
row_8	XM_047184000	na	4405	0.31600508093833923	-0.026888276	No	
row_9	XM_047168349	na	5232	0.2456040382385254	-0.06856097	No	
row_10	XM_047177125	na	5805	0.18605759739875793	-0.09670699	No	
row_11	XM_047177386	na	5917	0.17531520128250122	-0.095964946	No	
row_12	XM_047166634	na	6362	0.13003255426883698	-0.11845384	No	
row_13	XM_047166986	na	6418	0.1241665780544281	-0.11642392	No	
row_14	XM_047183458	na	9153	0.0	-0.29058623	No	
row_15	XM_047168993	na	9723	-0.004384224768728018	-0.3266375	No	
row_16	XM_047185648	na	10200	-0.04548971727490425	-0.35493258	No	
row_17	XM_047173471	na	10315	-0.055214062333106995	-0.359734	No	
row_18	XM_047174922	na	10935	-0.10164419561624527	-0.39463595	No	
row_19	XM_047178582	na	11533	-0.15037262439727783	-0.42596483	No	
row_20	XM_047163420	na	11821	-0.17768581211566925	-0.43632877	No	
row_21	XM_047173739	na	11856	-0.18215933442115784	-0.43037662	No	
row_22	XM_047176944	na	12003	-0.1980627030134201	-0.43085042	No	
row_23	XM_047166115	na	12049	-0.2036575973033905	-0.42464092	No	
row_24	XM_047167099	na	12075	-0.20658932626247406	-0.41702673	No	
row_25	XM_047170480	na	12179	-0.2172659933567047	-0.4139055	No	
row_26	XM_047177745	na	12724	-0.28934794664382935	-0.43566465	No	
row_27	XM_047164687	na	12884	-0.314922034740448	-0.43175867	No	
row_28	XM_047175268	na	13166	-0.3397531807422638	-0.43451777	No	
row_29	XM_047167928	na	13659	-0.3753592371940613	-0.44913128	Yes	
row_30	XM_047172903	na	13739	-0.39273709058761597	-0.4366612	Yes	
row_31	XM_047168348	na	13978	-0.42213359475135803	-0.4330098	Yes	
row_32	XM_047164771	na	14151	-0.45270228385925293	-0.4237917	Yes	
row_33	XM_047166521	na	14401	-0.5206149816513062	-0.41645214	Yes	
row_34	XM_047178498	na	14487	-0.5432506799697876	-0.3976566	Yes	
row_35	XM_047164322	na	14963	-0.657116711139679	-0.39863047	Yes	
row_36	XM_047174370	na	15016	-0.6770705580711365	-0.371769	Yes	
row_37	XM_047164243	na	15247	-0.7773391604423523	-0.35177806	Yes	
row_38	XM_047168652	na	15327	-0.8287813067436218	-0.31987548	Yes	
row_39	XM_047178292	na	15471	-0.9361251592636108	-0.28726602	Yes	
row_40	XM_047166951	na	15613	-1.0706334114074707	-0.24853474	Yes	
row_41	XM_047174534	na	15631	-1.1019923686981201	-0.20050684	Yes	
row_42	XM_047167015	na	15642	-1.1193978786468506	-0.15125732	Yes	
row_43	XM_047186414	na	15655	-1.1388118267059326	-0.10127003	Yes	
row_44	XM_047186442	na	15665	-1.1721792221069336	-0.04960459	Yes	
row_45	XM_047167369	na	15683	-1.2231335639953613	0.003822034	Yes	
