NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047184235	na	227	1.0471327304840088	0.005758607	Yes	
row_1	XM_047184897	na	287	0.9919006824493408	0.021211974	Yes	
row_2	XM_047165012	na	429	0.9108632802963257	0.029839199	Yes	
row_3	XM_047178228	na	541	0.8525041937828064	0.039257225	Yes	
row_4	XM_047171316	na	694	0.7884174585342407	0.04480517	Yes	
row_5	XM_047171315	na	698	0.786521852016449	0.059864573	Yes	
row_6	XM_047167700	na	785	0.7524587512016296	0.06894465	Yes	
row_7	XM_047180263	na	842	0.7386748194694519	0.07967989	Yes	
row_8	XM_047173688	na	924	0.7164308428764343	0.088381745	Yes	
row_9	XM_047170673	na	948	0.7118710279464722	0.100711934	Yes	
row_10	XM_047178465	na	953	0.7103620171546936	0.114230424	Yes	
row_11	XM_047172013	na	976	0.7058696150779724	0.12650833	Yes	
row_12	XM_047182939	na	1018	0.6940762996673584	0.13733998	Yes	
row_13	XM_047178061	na	1074	0.6794495582580566	0.14699085	Yes	
row_14	XM_047176389	na	1119	0.6720790863037109	0.1572037	Yes	
row_15	XM_047163210	na	1204	0.6623676419258118	0.16466495	Yes	
row_16	XM_047169998	na	1248	0.6529526710510254	0.17457101	Yes	
row_17	XM_047168425	na	1286	0.6468464732170105	0.18474314	Yes	
row_18	XM_047164995	na	1306	0.6425508856773376	0.19598545	Yes	
row_19	XM_047180517	na	1436	0.6219956278800964	0.19978015	Yes	
row_20	XM_047164253	na	1517	0.6092128157615662	0.206467	Yes	
row_21	XM_047168301	na	1543	0.6047724485397339	0.21659225	Yes	
row_22	XM_047185526	na	1548	0.6034491062164307	0.22803757	Yes	
row_23	XM_047167446	na	1653	0.5866616368293762	0.23274913	Yes	
row_24	XM_047164269	na	1731	0.5821321606636047	0.23910311	Yes	
row_25	XM_047167367	na	1745	0.5807743668556213	0.24953198	Yes	
row_26	XM_047168480	na	1805	0.5739117860794067	0.25688002	Yes	
row_27	XM_047171530	na	1869	0.5652728080749512	0.2638042	Yes	
row_28	XM_047176659	na	1881	0.56343674659729	0.27402505	Yes	
row_29	XM_047167952	na	1888	0.562883734703064	0.28455558	Yes	
row_30	XM_047173585	na	1950	0.5531721711158752	0.29137328	Yes	
row_31	XM_047164688	na	2012	0.5432447791099548	0.2979985	Yes	
row_32	XM_047172239	na	2017	0.5415183901786804	0.3082429	Yes	
row_33	XM_047170356	na	2026	0.5405266880989075	0.31821173	Yes	
row_34	XM_047168556	na	2076	0.5347937941551208	0.32544205	Yes	
row_35	XM_047172074	na	2262	0.5080968737602234	0.3234395	Yes	
row_36	XM_047183655	na	2348	0.49722030758857727	0.32763425	Yes	
row_37	XM_047174295	na	2367	0.4950375258922577	0.3360802	Yes	
row_38	XM_047183654	na	2406	0.4905635118484497	0.3431577	Yes	
row_39	XM_047175644	na	2499	0.4817584753036499	0.34660408	Yes	
row_40	XM_047186403	na	2518	0.47977226972579956	0.35475397	Yes	
row_41	XM_047176754	na	2540	0.4777663052082062	0.36267275	Yes	
row_42	XM_047184601	na	2548	0.4771285951137543	0.3714763	Yes	
row_43	XM_047182767	na	2714	0.4591192305088043	0.36980566	Yes	
row_44	XM_047175353	na	3106	0.4207330048084259	0.35290813	Yes	
row_45	XM_047171191	na	3144	0.4161517024040222	0.35860682	Yes	
row_46	XM_047162985	na	3217	0.4082629680633545	0.36190966	Yes	
row_47	XM_047164994	na	3377	0.39139100909233093	0.35931018	Yes	
row_48	XM_047174801	na	3519	0.37981119751930237	0.35763964	Yes	
row_49	XM_047181357	na	3545	0.37981119751930237	0.3634026	Yes	
row_50	XM_047174291	na	3760	0.36670857667922974	0.3568	Yes	
row_51	XM_047167366	na	3863	0.3621828854084015	0.3572868	Yes	
row_52	XM_047169276	na	3963	0.34939566254615784	0.3577179	Yes	
row_53	XM_047174567	na	4056	0.3415803611278534	0.35844603	Yes	
