NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047165518	na	56	1.3345853090286255	0.13045616	Yes	
row_1	XM_047166589	na	416	0.9148783683776855	0.19949073	Yes	
row_2	XM_047172861	na	452	0.8990533947944641	0.28754684	Yes	
row_3	XM_047164455	na	905	0.7207633852958679	0.3311724	Yes	
row_4	XM_047180995	na	1036	0.6884937286376953	0.39204094	Yes	
row_5	XM_047171172	na	1649	0.5870185494422913	0.41205782	Yes	
row_6	XM_047178595	na	1831	0.5700860619544983	0.45779163	Yes	
row_7	XM_047174023	na	2403	0.4909593462944031	0.4707704	Yes	
row_8	XM_047164615	na	2724	0.45848050713539124	0.4964546	Yes	
row_9	XM_047165201	na	2954	0.43169623613357544	0.5252379	Yes	
row_10	XM_047175057	na	2998	0.42937377095222473	0.56562006	Yes	
row_11	XM_047179550	na	4075	0.3398158848285675	0.53129643	No	
row_12	XM_047179150	na	4747	0.29632091522216797	0.51836836	No	
row_13	XM_047165237	na	4867	0.28343841433525085	0.53926116	No	
row_14	XM_047164583	na	5487	0.21988776326179504	0.5219656	No	
row_15	XM_047170557	na	5885	0.1792113035917282	0.51470745	No	
row_16	XM_047184679	na	5973	0.16859228909015656	0.5261031	No	
row_17	XM_047165742	na	5983	0.16723555326461792	0.5423243	No	
row_18	XM_047166590	na	6254	0.14125724136829376	0.5393337	No	
row_19	XM_047167395	na	8014	0.0	0.42743805	No	
row_20	XM_047164454	na	10957	-0.10388950258493423	0.25072047	No	
row_21	XM_047178756	na	11044	-0.10887422412633896	0.25618282	No	
row_22	XM_047170901	na	11193	-0.1223873421549797	0.25905815	No	
row_23	XM_047165381	na	12807	-0.3019173741340637	0.18676843	No	
