NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047163066	na	9772	-0.008190784603357315	-0.6205447	No	
row_1	XM_047172900	na	9851	-0.016331784427165985	-0.6239733	No	
row_2	XM_047174317	na	11056	-0.10989265888929367	-0.69022536	No	
row_3	XM_047182671	na	11344	-0.13387297093868256	-0.6959262	No	
row_4	XM_047186217	na	14471	-0.5388898253440857	-0.8441742	Yes	
row_5	XM_047173339	na	14832	-0.6222394108772278	-0.8087458	Yes	
row_6	XM_047175126	na	14953	-0.6520484089851379	-0.7552643	Yes	
row_7	XM_047173055	na	15047	-0.6893888711929321	-0.6965664	Yes	
row_8	XM_047177404	na	15080	-0.7023087739944458	-0.6327792	Yes	
row_9	XM_047172901	na	15172	-0.7386788129806519	-0.5693346	Yes	
row_10	XM_047180628	na	15466	-0.9294958114624023	-0.50084966	Yes	
row_11	XM_047176755	na	15481	-0.9474972486495972	-0.41293845	Yes	
row_12	XM_047182056	na	15531	-0.984843373298645	-0.32375246	Yes	
row_13	XM_047186178	na	15570	-1.0239105224609375	-0.23020561	Yes	
row_14	XM_047167792	na	15644	-1.1214818954467773	-0.12973951	Yes	
row_15	XM_047172354	na	15721	-1.45078444480896	0.0013987289	Yes	
