NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047179374	na	24	1.5134142637252808	0.08236683	Yes	
row_1	XM_047170136	na	197	1.0779404640197754	0.13116409	Yes	
row_2	XM_047163933	na	247	1.025348424911499	0.1848823	Yes	
row_3	XM_047163540	na	304	0.9743322134017944	0.23532647	Yes	
row_4	XM_047184714	na	409	0.918207585811615	0.27960128	Yes	
row_5	XM_047185211	na	509	0.8708183765411377	0.3215676	Yes	
row_6	XM_047171228	na	635	0.8110883235931396	0.35856634	Yes	
row_7	XM_047185206	na	728	0.7733087539672852	0.39557323	Yes	
row_8	XM_047167110	na	1329	0.6380839943885803	0.39271903	Yes	
row_9	XM_047168556	na	2076	0.5347937941551208	0.3748372	Yes	
row_10	XM_047168526	na	2125	0.5271971821784973	0.4010042	Yes	
row_11	XM_047175644	na	2499	0.4817584753036499	0.40394637	Yes	
row_12	XM_047171860	na	2638	0.46895164251327515	0.4211506	Yes	
row_13	XM_047176533	na	3215	0.40841200947761536	0.4070936	Yes	
row_14	XM_047175106	na	3235	0.40535488724708557	0.42835388	Yes	
row_15	XM_047167253	na	3365	0.3926587402820587	0.44190222	Yes	
row_16	XM_047178277	na	3686	0.3708564043045044	0.44207323	Yes	
row_17	XM_047174990	na	4428	0.313519150018692	0.41224363	Yes	
row_18	XM_047171696	na	4430	0.3134121894836426	0.42955387	Yes	
row_19	XM_047166775	na	4705	0.3008860647678375	0.42877677	Yes	
row_20	XM_047167336	na	4798	0.29060086607933044	0.4390248	Yes	
row_21	XM_047176732	na	4866	0.28345412015914917	0.45046943	Yes	
row_22	XM_047177776	na	5014	0.2665869891643524	0.45588222	Yes	
row_23	XM_047167012	na	5112	0.2567441165447235	0.46393487	Yes	
row_24	XM_047163244	na	5910	0.17620046436786652	0.42292523	No	
row_25	XM_047179375	na	5946	0.1710742712020874	0.43017885	No	
row_26	XM_047178009	na	6149	0.15173950791358948	0.425721	No	
row_27	XM_047176734	na	6178	0.14979448914527893	0.43224093	No	
row_28	XM_047168538	na	6241	0.1429346650838852	0.43621445	No	
row_29	XM_047178171	na	6261	0.14068862795829773	0.442803	No	
row_30	XM_047177763	na	6428	0.12306063622236252	0.4390489	No	
row_31	XM_047177121	na	6606	0.10593999922275543	0.4336449	No	
row_32	XM_047180823	na	7059	0.06636727601289749	0.4085268	No	
row_33	XM_047163991	na	7389	0.03606844320893288	0.3895655	No	
row_34	XM_047178611	na	7607	0.012223715893924236	0.37641796	No	
row_35	XM_047176927	na	7664	0.005672831553965807	0.37316462	No	
row_36	XM_047181914	na	9039	0.0	0.2856264	No	
row_37	XM_047181476	na	9766	-0.007583533879369497	0.23979299	No	
row_38	XM_047176136	na	9912	-0.019829224795103073	0.2316542	No	
row_39	XM_047176128	na	10460	-0.06945721060037613	0.2006549	No	
row_40	XM_047163751	na	10989	-0.10558581352233887	0.1728689	No	
row_41	XM_047163872	na	11824	-0.17796939611434937	0.12960005	No	
row_42	XM_047163727	na	12664	-0.2802610695362091	0.091683164	No	
row_43	XM_047167328	na	12822	-0.3041614294052124	0.09854176	No	
row_44	XM_047166567	na	12863	-0.3109573721885681	0.11323121	No	
row_45	XM_047163117	na	12890	-0.3155500590801239	0.12906721	No	
row_46	XM_047178843	na	13288	-0.3407037854194641	0.122661	No	
row_47	XM_047164267	na	14694	-0.6076454520225525	0.06683248	No	
