NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047169244	na	3910	0.35727542638778687	-0.12867546	No	
row_1	XM_047176925	na	4304	0.3265179991722107	-0.044074122	No	
row_2	XM_047178667	na	6118	0.1551501303911209	-0.107266925	No	
row_3	XM_047183920	na	6659	0.10211005806922913	-0.1073279	No	
row_4	XM_047169245	na	7112	0.06261496990919113	-0.115049586	No	
row_5	XM_047168196	na	8080	0.0	-0.17652838	No	
row_6	XM_047168525	na	10410	-0.0647309422492981	-0.3028736	Yes	
row_7	XM_047178666	na	10686	-0.08200959861278534	-0.2928329	Yes	
row_8	XM_047168474	na	10821	-0.09150390326976776	-0.27064136	Yes	
row_9	XM_047185306	na	10995	-0.10609147697687149	-0.24603339	Yes	
row_10	XM_047170422	na	11586	-0.1549742966890335	-0.23153074	Yes	
row_11	XM_047170423	na	11793	-0.17511725425720215	-0.18585414	Yes	
row_12	XM_047170421	na	13993	-0.42533767223358154	-0.18290637	Yes	
row_13	XM_047184222	na	14020	-0.43055638670921326	-0.040054634	Yes	
row_14	XM_047169042	na	14113	-0.44554105401039124	0.10363024	Yes	
