NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047168061	na	15	1.6112645864486694	0.04375575	Yes	
row_1	XM_047168452	na	367	0.9446473121643066	0.04753277	Yes	
row_2	XM_047163114	na	472	0.8897149562835693	0.06557515	Yes	
row_3	XM_047181840	na	494	0.8762154579162598	0.0885488	Yes	
row_4	XM_047173100	na	689	0.7896889448165894	0.098061964	Yes	
row_5	XM_047165496	na	997	0.7003374099731445	0.097871825	Yes	
row_6	XM_047166952	na	1040	0.688362717628479	0.114289865	Yes	
row_7	XM_047172261	na	1180	0.6662077307701111	0.12389222	Yes	
row_8	XM_047173633	na	1217	0.6596236824989319	0.13989626	Yes	
row_9	XM_047178851	na	1273	0.6487324833869934	0.15438347	Yes	
row_10	XM_047168621	na	1276	0.6485583782196045	0.17225394	Yes	
row_11	XM_047186295	na	1456	0.6205195784568787	0.17803133	Yes	
row_12	XM_047174539	na	1885	0.562932014465332	0.16629294	Yes	
row_13	XM_047163263	na	1999	0.5450836420059204	0.17419602	Yes	
row_14	XM_047173150	na	2141	0.5255385637283325	0.17976677	Yes	
row_15	XM_047185107	na	2292	0.5039130449295044	0.18416205	Yes	
row_16	XM_047185760	na	2429	0.48819756507873535	0.18901616	Yes	
row_17	XM_047167941	na	2891	0.4390157461166382	0.17172936	Yes	
row_18	XM_047176021	na	2944	0.433218777179718	0.18042757	Yes	
row_19	XM_047167942	na	3056	0.4244276285171509	0.18511015	Yes	
row_20	XM_047174572	na	3098	0.4214927852153778	0.19418614	Yes	
row_21	XM_047177273	na	3189	0.4112323224544525	0.19984499	Yes	
row_22	XM_047181986	na	3211	0.40881866216659546	0.20984776	Yes	
row_23	XM_047178431	na	3288	0.3992944061756134	0.2160703	Yes	
row_24	XM_047184213	na	3348	0.39519256353378296	0.22326574	Yes	
row_25	XM_047174321	na	3636	0.37749937176704407	0.21539496	No	
row_26	XM_047184668	na	3691	0.37006673216819763	0.22221276	No	
row_27	XM_047173281	na	3955	0.34998375177383423	0.21511263	No	
row_28	XM_047183723	na	4062	0.34132564067840576	0.21780865	No	
