NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047173705	na	175	1.0999290943145752	0.09229307	No	
row_1	XM_047166328	na	364	0.9447588920593262	0.1691691	No	
row_2	XM_047173680	na	1297	0.6449494957923889	0.17053568	No	
row_3	XM_047176250	na	3097	0.4214952290058136	0.09574933	No	
row_4	XM_047172104	na	3221	0.40805259346961975	0.12629445	No	
row_5	XM_047174303	na	3434	0.3843061327934265	0.14894624	No	
row_6	XM_047185591	na	3448	0.3826825022697449	0.184102	No	
row_7	XM_047175879	na	3986	0.3471440076828003	0.18258919	No	
row_8	XM_047167262	na	4557	0.30347663164138794	0.17487162	No	
row_9	XM_047174538	na	4758	0.295028954744339	0.18989216	No	
row_10	XM_047172906	na	6459	0.12043667584657669	0.093094625	No	
row_11	XM_047185794	na	6632	0.10410863161087036	0.09194428	No	
row_12	XM_047181684	na	7104	0.06318691372871399	0.06792945	No	
row_13	XM_047166593	na	12870	-0.3125284016132355	-0.2693447	Yes	
row_14	XM_047165009	na	12965	-0.32647445797920227	-0.24462572	Yes	
row_15	XM_047177942	na	13593	-0.36508476734161377	-0.2501757	Yes	
row_16	XM_047169124	na	14120	-0.446612685918808	-0.24163613	Yes	
row_17	XM_047163922	na	14477	-0.5404412150382996	-0.21346194	Yes	
row_18	XM_047163276	na	15434	-0.907106339931488	-0.18897192	Yes	
row_19	XM_047167335	na	15607	-1.0615018606185913	-0.10010125	Yes	
row_20	XM_047182165	na	15661	-1.1559138298034668	0.005215243	Yes	
