NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047167854	na	39	1.4091988801956177	0.12778494	Yes	
row_1	XM_047171811	na	217	1.0547058582305908	0.21402143	Yes	
row_2	XM_047169678	na	600	0.8262581825256348	0.26609874	Yes	
row_3	XM_047177583	na	719	0.777328610420227	0.33044797	Yes	
row_4	XM_047173576	na	800	0.7494840621948242	0.3946407	Yes	
row_5	XM_047164559	na	1472	0.6169169545173645	0.40898117	Yes	
row_6	XM_047171596	na	1641	0.5881296396255493	0.45266005	Yes	
row_7	XM_047167886	na	1661	0.5856661796569824	0.50559014	Yes	
row_8	XM_047172879	na	1669	0.5854314565658569	0.559262	Yes	
row_9	XM_047182645	na	2062	0.536614716053009	0.5839285	Yes	
row_10	XM_047174023	na	2403	0.4909593462944031	0.6076828	Yes	
row_11	XM_047163152	na	4322	0.32471421360969543	0.5156814	No	
row_12	XM_047169830	na	4499	0.3064924478530884	0.5328168	No	
row_13	XM_047166118	na	5109	0.2569359242916107	0.517825	No	
row_14	XM_047171650	na	5397	0.22879789769649506	0.5207169	No	
row_15	XM_047185419	na	6222	0.1460488885641098	0.48179698	No	
row_16	XM_047174627	na	6309	0.13579781353473663	0.488879	No	
row_17	XM_047168531	na	6329	0.13302358984947205	0.49996695	No	
row_18	XM_047166117	na	6717	0.09692683070898056	0.48430696	No	
row_19	XM_047166887	na	7990	0.0	0.4033858	No	
row_20	XM_047173610	na	9984	-0.02542204223573208	0.27894655	No	
row_21	XM_047173611	na	10431	-0.06722365319728851	0.2567874	No	
row_22	XM_047173682	na	11983	-0.19541141390800476	0.17618077	No	
row_23	XM_047169919	na	13051	-0.3396642208099365	0.13969961	No	
row_24	XM_047169314	na	13247	-0.3407037854194641	0.15878883	No	
