NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047169225	na	893	0.7237115502357483	0.018866561	No	
row_1	XM_047176544	na	1032	0.6908520460128784	0.082325235	No	
row_2	XM_047176531	na	2245	0.5097262263298035	0.058524307	No	
row_3	XM_047167454	na	2923	0.4350125789642334	0.060944203	No	
row_4	XM_047168309	na	3400	0.38899198174476624	0.071338326	No	
row_5	XM_047177582	na	5404	0.2278399020433426	-0.03225544	No	
row_6	XM_047164433	na	6539	0.11283014714717865	-0.09259503	No	
row_7	XM_047186305	na	7097	0.06388534605503082	-0.121347584	No	
row_8	XM_047181902	na	7582	0.014943438582122326	-0.15057386	No	
row_9	XM_047167846	na	7644	0.00829465314745903	-0.15358695	No	
row_10	XM_047172178	na	8375	0.0	-0.20002462	No	
row_11	XM_047172181	na	8376	0.0	-0.20002462	No	
row_12	XM_047177013	na	10409	-0.06465587764978409	-0.32252613	No	
row_13	XM_047175214	na	12069	-0.20607057213783264	-0.40651318	No	
row_14	XM_047163628	na	12516	-0.2609492838382721	-0.40759915	No	
row_15	XM_047168638	na	12661	-0.2798802852630615	-0.38749444	No	
row_16	XM_047172595	na	12978	-0.3281551003456116	-0.37328348	No	
row_17	XM_047172323	na	14376	-0.5141288042068481	-0.4083925	Yes	
row_18	XM_047175635	na	14920	-0.6403421759605408	-0.37597862	Yes	
row_19	XM_047165650	na	15073	-0.6993844509124756	-0.31251836	Yes	
row_20	XM_047186477	na	15113	-0.7196654081344604	-0.23974918	Yes	
row_21	XM_047173042	na	15237	-0.7739089131355286	-0.16665167	Yes	
row_22	XM_047169226	na	15463	-0.9287912845611572	-0.0838478	Yes	
row_23	XM_047183139	na	15515	-0.9716270565986633	0.0145037975	Yes	
