NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047168912	na	25	1.5040936470031738	0.06778681	No	
row_1	XM_047175883	na	378	0.9354227185249329	0.08849134	No	
row_2	XM_047170010	na	439	0.9067063927650452	0.12649013	No	
row_3	XM_047167089	na	843	0.7386536002159119	0.13486616	No	
row_4	XM_047179972	na	1823	0.5711575746536255	0.09878826	No	
row_5	XM_047178339	na	2741	0.45591670274734497	0.06134785	No	
row_6	XM_047178335	na	3019	0.427545964717865	0.06340727	No	
row_7	XM_047175353	na	3106	0.4207330048084259	0.077331215	No	
row_8	XM_047162985	na	3217	0.4082629680633545	0.08914962	No	
row_9	XM_047172104	na	3221	0.40805259346961975	0.10778099	No	
row_10	XM_047174321	na	3636	0.37749937176704407	0.09879629	No	
row_11	XM_047174214	na	3758	0.36670857667922974	0.10799648	No	
row_12	XM_047176772	na	3848	0.36398983001708984	0.11911168	No	
row_13	XM_047175879	na	3986	0.3471440076828003	0.12638918	No	
row_14	XM_047165674	na	5140	0.25422433018684387	0.06459695	No	
row_15	XM_047185051	na	5589	0.20909249782562256	0.045676015	No	
row_16	XM_047175286	na	5762	0.19041971862316132	0.043492414	No	
row_17	XM_047176799	na	6210	0.14673011004924774	0.021758586	No	
row_18	XM_047176079	na	6438	0.12223485857248306	0.0129227685	No	
row_19	XM_047169044	na	6557	0.1114455908536911	0.010539465	No	
row_20	XM_047185794	na	6632	0.10410863161087036	0.010623306	No	
row_21	XM_047167656	na	7324	0.04277579486370087	-0.03146398	No	
row_22	XM_047180113	na	7497	0.024997668340802193	-0.041278176	No	
row_23	XM_047169030	na	7525	0.021690255030989647	-0.041999254	No	
row_24	XM_047169865	na	7595	0.013395514339208603	-0.045781016	No	
row_25	XM_047169411	na	7688	0.0033918239641934633	-0.051490784	No	
row_26	XM_047173592	na	7723	1.9951244757976383E-4	-0.053649534	No	
row_27	XM_047173305	na	8442	0.0	-0.09943159	No	
row_28	XM_047177914	na	8750	0.0	-0.119006924	No	
row_29	XM_047183760	na	9174	0.0	-0.14597881	No	
row_30	XM_047174717	na	9696	-0.0017758270259946585	-0.17911758	No	
row_31	XM_047185418	na	9842	-0.01562918722629547	-0.18764232	No	
row_32	XM_047173471	na	10315	-0.055214062333106995	-0.21519168	No	
row_33	XM_047185522	na	10500	-0.07207543402910233	-0.22359943	No	
row_34	XM_047167124	na	10794	-0.0896209105849266	-0.23814805	No	
row_35	XM_047184930	na	11380	-0.13730818033218384	-0.26911584	No	
row_36	XM_047176440	na	12275	-0.22841660678386688	-0.31558383	Yes	
row_37	XM_047170849	na	12429	-0.24791407585144043	-0.3139038	Yes	
row_38	XM_047177291	na	12453	-0.25288137793540955	-0.30370545	Yes	
row_39	XM_047163203	na	12655	-0.27957263588905334	-0.30362573	Yes	
row_40	XM_047168638	na	12661	-0.2798802852630615	-0.29103422	Yes	
row_41	XM_047183206	na	12721	-0.2888723611831665	-0.28147113	Yes	
row_42	XM_047170267	na	12756	-0.2953595519065857	-0.27001473	Yes	
row_43	XM_047182911	na	12772	-0.29689159989356995	-0.25727615	Yes	
row_44	XM_047180508	na	12872	-0.31309565901756287	-0.24914624	Yes	
row_45	XM_047165009	na	12965	-0.32647445797920227	-0.23995283	Yes	
row_46	XM_047183628	na	13569	-0.36034491658210754	-0.2617801	Yes	
row_47	XM_047176654	na	13628	-0.3706934154033661	-0.24837902	Yes	
row_48	XM_047175340	na	14160	-0.45644253492355347	-0.26118255	Yes	
row_49	XM_047168537	na	14253	-0.47866782546043396	-0.24496876	Yes	
row_50	XM_047169013	na	14315	-0.4967578947544098	-0.22594385	Yes	
row_51	XM_047177519	na	14337	-0.5016257166862488	-0.20414387	Yes	
row_52	XM_047169951	na	14469	-0.5388292074203491	-0.18764172	Yes	
row_53	XM_047182599	na	14531	-0.5579795837402344	-0.16579278	Yes	
row_54	XM_047179210	na	14592	-0.573521614074707	-0.14316314	Yes	
row_55	XM_047169914	na	14735	-0.6155692934989929	-0.12382253	Yes	
row_56	XM_047163061	na	15070	-0.6982837319374084	-0.11290902	Yes	
row_57	XM_047177518	na	15083	-0.7039639353752136	-0.0812017	Yes	
row_58	XM_047174393	na	15391	-0.8708598613739014	-0.060605977	Yes	
row_59	XM_047170321	na	15411	-0.8847225904464722	-0.021006957	Yes	
row_60	XM_047173372	na	15442	-0.9129458665847778	0.01919255	Yes	
