NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047174392	na	867	0.7318727970123291	-0.0041218977	No	
row_1	XM_047166482	na	1026	0.6924027800559998	0.03412734	No	
row_2	XM_047173647	na	1865	0.5657853484153748	0.020264132	No	
row_3	XM_047173646	na	2128	0.5269091725349426	0.04034862	No	
row_4	XM_047167454	na	2923	0.4350125789642334	0.020162499	No	
row_5	XM_047172924	na	4593	0.30347663164138794	-0.0648901	No	
row_6	XM_047166626	na	7977	0.0	-0.28020325	No	
row_7	XM_047170819	na	8261	0.0	-0.29821497	No	
row_8	XM_047176119	na	8629	0.0	-0.3215729	No	
row_9	XM_047176102	na	10284	-0.052850376814603806	-0.4231557	No	
row_10	XM_047177013	na	10409	-0.06465587764978409	-0.42653704	No	
row_11	XM_047164789	na	12060	-0.20479537546634674	-0.51726484	No	
row_12	XM_047175108	na	12533	-0.2636849284172058	-0.5289097	No	
row_13	XM_047179396	na	12606	-0.272413045167923	-0.5144874	No	
row_14	XM_047174491	na	12811	-0.3027292490005493	-0.5063513	No	
row_15	XM_047165417	na	13687	-0.3806709349155426	-0.53548384	Yes	
row_16	XM_047186059	na	13706	-0.3853644132614136	-0.50974464	Yes	
row_17	XM_047172769	na	13963	-0.4190891981124878	-0.49680027	Yes	
row_18	XM_047173676	na	14021	-0.4306294620037079	-0.47038537	Yes	
row_19	XM_047172323	na	14376	-0.5141288042068481	-0.45704788	Yes	
row_20	XM_047168801	na	14417	-0.5240172147750854	-0.42303583	Yes	
row_21	XM_047185425	na	14513	-0.5527021288871765	-0.39052308	Yes	
row_22	XM_047177746	na	14613	-0.5804739594459534	-0.35632744	Yes	
row_23	XM_047178210	na	14667	-0.6009994149208069	-0.31777212	Yes	
row_24	XM_047165387	na	14840	-0.6261869072914124	-0.28503346	Yes	
row_25	XM_047185043	na	14873	-0.6291539669036865	-0.2431774	Yes	
row_26	XM_047175635	na	14920	-0.6403421759605408	-0.20143184	Yes	
row_27	XM_047172541	na	14950	-0.6511569023132324	-0.15784982	Yes	
row_28	XM_047175126	na	14953	-0.6520484089851379	-0.112487175	Yes	
row_29	XM_047186477	na	15113	-0.7196654081344604	-0.072399616	Yes	
row_30	XM_047172097	na	15212	-0.7595673203468323	-0.025645928	Yes	
row_31	XM_047180315	na	15368	-0.8511176705360413	0.023866938	Yes	
