NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047164155	na	26	1.5027668476104736	0.035753313	No	
row_1	XM_047177624	na	401	0.9201962947845459	0.034764383	No	
row_2	XM_047186238	na	701	0.7826407551765442	0.035143334	No	
row_3	XM_047164272	na	994	0.7008240818977356	0.03393259	No	
row_4	XM_047176933	na	1070	0.6815639138221741	0.046109017	No	
row_5	XM_047164365	na	1331	0.6371409296989441	0.045357596	No	
row_6	XM_047164157	na	1348	0.634356677532196	0.0601289	No	
row_7	XM_047177387	na	1391	0.626526415348053	0.07304381	No	
row_8	XM_047167056	na	1467	0.6185874342918396	0.083652295	No	
row_9	XM_047171114	na	1622	0.5919846296310425	0.0885502	No	
row_10	XM_047180257	na	1644	0.587843120098114	0.10184394	No	
row_11	XM_047167599	na	1721	0.5841287970542908	0.1115306	No	
row_12	XM_047164549	na	1972	0.5492217540740967	0.10922925	No	
row_13	XM_047178748	na	2124	0.5272713303565979	0.11270768	No	
row_14	XM_047174304	na	2216	0.5142829418182373	0.11969684	No	
row_15	XM_047167086	na	2314	0.5020532608032227	0.12599811	No	
row_16	XM_047167601	na	2335	0.49834761023521423	0.13712756	No	
row_17	XM_047164464	na	3373	0.3917044699192047	0.08061371	No	
row_18	XM_047167148	na	3490	0.37981119751930237	0.082657345	No	
row_19	XM_047181666	na	3549	0.37981119751930237	0.08840729	No	
row_20	XM_047182475	na	3592	0.3788178861141205	0.09515494	No	
row_21	XM_047164196	na	3666	0.37408649921417236	0.099803835	No	
row_22	XM_047171735	na	3912	0.3570982813835144	0.09303865	No	
row_23	XM_047164371	na	4259	0.33111637830734253	0.07917249	No	
row_24	XM_047177325	na	4615	0.30347663164138794	0.064043075	No	
row_25	XM_047171113	na	4782	0.2927823066711426	0.06072484	No	
row_26	XM_047183501	na	5009	0.2670724391937256	0.052932393	No	
row_27	XM_047164677	na	5174	0.25107210874557495	0.048703495	No	
