NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047173301	na	427	0.911327064037323	0.0726822	No	
row_1	XM_047168480	na	1805	0.5739117860794067	0.047924213	No	
row_2	XM_047174200	na	2862	0.44292446970939636	0.029244555	No	
row_3	XM_047175907	na	4332	0.32375016808509827	-0.028781194	No	
row_4	XM_047177325	na	4615	0.30347663164138794	-0.013476303	No	
row_5	XM_047173691	na	4728	0.29794272780418396	0.012042644	No	
row_6	XM_047167042	na	5318	0.2377084493637085	6.0039945E-4	No	
row_7	XM_047182045	na	6448	0.1212930977344513	-0.057969127	No	
row_8	XM_047172466	na	6792	0.0927204042673111	-0.06964093	No	
row_9	XM_047182150	na	7017	0.07093599438667297	-0.076125495	No	
row_10	XM_047183603	na	7053	0.06676723062992096	-0.07103707	No	
row_11	XM_047172577	na	7074	0.06496624648571014	-0.06519125	No	
row_12	XM_047182803	na	7095	0.06415877491235733	-0.059433907	No	
row_13	XM_047177629	na	7617	0.011332983151078224	-0.09135355	No	
row_14	XM_047165414	na	7912	0.0	-0.110066555	No	
row_15	XM_047182068	na	9048	0.0	-0.18230893	No	
row_16	XM_047167043	na	10392	-0.0626520961523056	-0.2609252	No	
row_17	XM_047180516	na	11104	-0.11499978601932526	-0.29357877	No	
row_18	XM_047167076	na	11182	-0.12159817665815353	-0.28515542	No	
row_19	XM_047177952	na	11493	-0.1474844366312027	-0.28872588	No	
row_20	XM_047174729	na	11963	-0.19324253499507904	-0.29740262	No	
row_21	XM_047182067	na	12386	-0.2425314486026764	-0.29768687	Yes	
row_22	XM_047170211	na	12389	-0.24311469495296478	-0.27117437	Yes	
row_23	XM_047167218	na	12416	-0.2466353476047516	-0.24580367	Yes	
row_24	XM_047170019	na	12628	-0.27471378445625305	-0.2291314	Yes	
row_25	XM_047178122	na	12894	-0.3159862160682678	-0.2113737	Yes	
row_26	XM_047171993	na	12935	-0.32224518060684204	-0.17860898	Yes	
row_27	XM_047184647	na	13227	-0.3406069278717041	-0.15980831	Yes	
row_28	XM_047182151	na	14198	-0.46425047516822815	-0.17067726	Yes	
row_29	XM_047170959	na	14542	-0.5611783862113953	-0.13101678	Yes	
row_30	XM_047170020	na	14625	-0.5845192670822144	-0.072186105	Yes	
row_31	XM_047167045	na	14775	-0.6181595921516418	-0.013933748	Yes	
row_32	XM_047173380	na	15045	-0.6888563632965088	0.044427395	Yes	
