NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047167651	na	3156	0.4152776300907135	-0.09039057	No	
row_1	XM_047162841	na	4270	0.3303196132183075	-0.07343343	No	
row_2	XM_047171306	na	5116	0.2559758424758911	-0.059179876	No	
row_3	XM_047167109	na	5272	0.24143365025520325	-0.0049122875	No	
row_4	XM_047185416	na	6135	0.1536012887954712	-0.018930044	No	
row_5	XM_047177657	na	7012	0.0718548372387886	-0.055549596	No	
row_6	XM_047168680	na	7263	0.05016670748591423	-0.058122747	No	
row_7	XM_047164907	na	7403	0.034685347229242325	-0.057749316	No	
row_8	XM_047179600	na	7428	0.03261440619826317	-0.050613187	No	
row_9	XM_047171736	na	7613	0.011579213663935661	-0.05923816	No	
row_10	XM_047168660	na	8100	0.0	-0.09014239	No	
row_11	XM_047168082	na	10655	-0.0807187557220459	-0.23110999	Yes	
row_12	XM_047184932	na	10934	-0.1013588234782219	-0.2218672	Yes	
row_13	XM_047166528	na	11160	-0.11965370178222656	-0.20439515	Yes	
row_14	XM_047165817	na	12764	-0.29619741439819336	-0.22765931	Yes	
row_15	XM_047168084	na	13854	-0.40526020526885986	-0.1892721	Yes	
row_16	XM_047177475	na	14505	-0.5488465428352356	-0.08483333	Yes	
row_17	XM_047168661	na	14734	-0.6155692934989929	0.064161286	Yes	
