NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047186327	na	233	1.037837028503418	0.08334803	No	
row_1	XM_047175016	na	237	1.0348317623138428	0.1810419	No	
row_2	XM_047164708	na	2446	0.48695820569992065	0.08665418	No	
row_3	XM_047186403	na	2518	0.47977226972579956	0.12751956	No	
row_4	XM_047178528	na	2783	0.4518801271915436	0.15347007	No	
row_5	XM_047169263	na	2827	0.44676443934440613	0.19299431	No	
row_6	XM_047182027	na	3141	0.4162130057811737	0.2124542	No	
row_7	XM_047167510	na	3253	0.40354540944099426	0.24356493	No	
row_8	XM_047168648	na	5298	0.2395796775817871	0.13620959	No	
row_9	XM_047175015	na	6074	0.16030293703079224	0.10207552	No	
row_10	XM_047184208	na	6360	0.13014058768749237	0.09625689	No	
row_11	XM_047174342	na	6556	0.11150003969669342	0.094399884	No	
row_12	XM_047166355	na	6580	0.10869108140468597	0.10321796	No	
row_13	XM_047176763	na	9718	-0.0038727258797734976	-0.09595774	No	
row_14	XM_047174641	na	10400	-0.06349610537290573	-0.1332695	No	
row_15	XM_047178483	na	12106	-0.2095876783132553	-0.22189827	No	
row_16	XM_047174642	na	13395	-0.34401941299438477	-0.27128613	Yes	
row_17	XM_047174390	na	13466	-0.34478190541267395	-0.24312586	Yes	
row_18	XM_047177687	na	14292	-0.48983195424079895	-0.24927025	Yes	
row_19	XM_047177025	na	14339	-0.5019540786743164	-0.20471644	Yes	
row_20	XM_047184617	na	14866	-0.6283248662948608	-0.17874166	Yes	
row_21	XM_047169479	na	15443	-0.9132500886917114	-0.12899625	Yes	
row_22	XM_047165428	na	15728	-1.5648109912872314	9.541407E-4	Yes	
