NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047186327	na	233	1.037837028503418	0.07788616	Yes	
row_1	XM_047174936	na	296	0.979498028755188	0.16144013	Yes	
row_2	XM_047162852	na	594	0.8281320929527283	0.21652159	Yes	
row_3	XM_047166658	na	1201	0.662502110004425	0.23714833	Yes	
row_4	XM_047180338	na	1211	0.660788893699646	0.29560396	Yes	
row_5	XM_047169156	na	1717	0.58500736951828	0.31573388	Yes	
row_6	XM_047174768	na	1790	0.5744072198867798	0.3624649	Yes	
row_7	XM_047168480	na	1805	0.5739117860794067	0.4128417	Yes	
row_8	XM_047164352	na	1863	0.5659080743789673	0.45976785	Yes	
row_9	XM_047168556	na	2076	0.5347937941551208	0.4940532	Yes	
row_10	XM_047169978	na	2146	0.5251516103744507	0.5365751	Yes	
row_11	XM_047186191	na	2461	0.4853021502494812	0.55995	Yes	
row_12	XM_047166638	na	2910	0.43599385023117065	0.570395	Yes	
row_13	XM_047164464	na	3373	0.3917044699192047	0.5759928	Yes	
row_14	XM_047176161	na	4487	0.30792540311813354	0.5326893	No	
row_15	XM_047174766	na	4717	0.29946231842041016	0.544871	No	
row_16	XM_047169492	na	4870	0.28314924240112305	0.5604942	No	
row_17	XM_047167012	na	5112	0.2567441165447235	0.5680964	No	
row_18	XM_047170595	na	5474	0.22125118970870972	0.5648935	No	
row_19	XM_047184208	na	6360	0.13014058768749237	0.520214	No	
row_20	XM_047173794	na	8485	0.0	0.38508236	No	
row_21	XM_047174147	na	8499	0.0	0.3842553	No	
row_22	XM_047185922	na	9315	0.0	0.3324039	No	
row_23	XM_047169242	na	9712	-0.0031196968629956245	0.30748853	No	
row_24	XM_047178287	na	13408	-0.34401941299438477	0.10313898	No	
row_25	XM_047185692	na	14351	-0.5077064633369446	0.08856108	No	
