NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047171190	na	331	0.9647029638290405	0.02174738	No	
row_1	XM_047181871	na	390	0.9246959686279297	0.05912394	No	
row_2	XM_047184481	na	664	0.7992465496063232	0.07721985	No	
row_3	XM_047172503	na	973	0.7061609625816345	0.088949375	No	
row_4	XM_047166271	na	1376	0.6293560862541199	0.09127388	No	
row_5	XM_047183969	na	1432	0.6227402687072754	0.11542898	No	
row_6	XM_047184410	na	1619	0.5926803946495056	0.12989636	No	
row_7	XM_047179973	na	1841	0.5686612725257874	0.14106525	No	
row_8	XM_047168956	na	2107	0.5297639966011047	0.14770095	No	
row_9	XM_047168329	na	2186	0.5192757248878479	0.16579373	No	
row_10	XM_047184757	na	2530	0.4786003828048706	0.16518353	No	
row_11	XM_047180209	na	2786	0.45161277055740356	0.16898537	No	
row_12	XM_047171088	na	2830	0.44659075140953064	0.1860811	No	
row_13	XM_047178092	na	3472	0.3802787661552429	0.16210324	No	
row_14	XM_047183968	na	3628	0.37770435214042664	0.16899802	No	
row_15	XM_047166936	na	3725	0.36670857667922974	0.17916617	No	
row_16	XM_047166934	na	4298	0.32682234048843384	0.15721318	No	
row_17	XM_047179976	na	4317	0.3251549005508423	0.17050876	No	
row_18	XM_047183966	na	4913	0.27781781554222107	0.14491256	No	
row_19	XM_047166377	na	5349	0.23471690714359283	0.1276033	No	
row_20	XM_047173848	na	5564	0.21305562555789948	0.12342267	No	
row_21	XM_047177800	na	5868	0.18118111789226532	0.1121516	No	
row_22	XM_047166502	na	6901	0.08324576914310455	0.050049804	No	
row_23	XM_047166935	na	7992	0.0	-0.019447776	No	
row_24	XM_047179163	na	8831	0.0	-0.072878025	No	
row_25	XM_047174914	na	10099	-0.035479966551065445	-0.15208498	No	
row_26	XM_047172306	na	10172	-0.04290257766842842	-0.15476993	No	
row_27	XM_047176270	na	10344	-0.05842924490571022	-0.16307737	No	
row_28	XM_047185175	na	10380	-0.06132693961262703	-0.16258483	No	
row_29	XM_047165026	na	10446	-0.06837136298418045	-0.16369215	No	
row_30	XM_047176843	na	10473	-0.07046599686145782	-0.16221982	No	
row_31	XM_047171748	na	10486	-0.07142788916826248	-0.15981214	No	
row_32	XM_047165491	na	10837	-0.09301912784576416	-0.177996	No	
row_33	XM_047176762	na	10938	-0.10196148604154587	-0.17984283	No	
row_34	XM_047167505	na	10960	-0.10399846732616425	-0.17656222	No	
row_35	XM_047165144	na	11168	-0.12061664462089539	-0.18440264	No	
row_36	XM_047168197	na	11313	-0.13120365142822266	-0.18775596	No	
row_37	XM_047168639	na	11496	-0.1475958228111267	-0.192804	No	
row_38	XM_047170633	na	11706	-0.166960209608078	-0.19871338	No	
row_39	XM_047181797	na	11908	-0.18681015074253082	-0.20323096	No	
row_40	XM_047167727	na	12192	-0.21936221420764923	-0.21153085	No	
row_41	XM_047182177	na	12452	-0.2527589201927185	-0.21681705	No	
row_42	XM_047165105	na	12648	-0.27782142162323	-0.2169094	No	
row_43	XM_047175244	na	12708	-0.2864794433116913	-0.2079459	No	
row_44	XM_047167425	na	12939	-0.3227796256542206	-0.2082728	No	
row_45	XM_047169462	na	13577	-0.3619513213634491	-0.23280971	Yes	
row_46	XM_047168473	na	13646	-0.37346214056015015	-0.22055632	Yes	
row_47	XM_047165417	na	13687	-0.3806709349155426	-0.20619744	Yes	
row_48	XM_047184771	na	13722	-0.38867512345314026	-0.19110048	Yes	
row_49	XM_047178876	na	13981	-0.42244574427604675	-0.18878551	Yes	
row_50	XM_047164245	na	14084	-0.43835118412971497	-0.17581758	Yes	
row_51	XM_047170508	na	14377	-0.5149278044700623	-0.1715624	Yes	
row_52	XM_047186342	na	14503	-0.5481665134429932	-0.15518299	Yes	
row_53	XM_047178579	na	14632	-0.5854545831680298	-0.13733853	Yes	
row_54	XM_047174437	na	14679	-0.6054163575172424	-0.11337913	Yes	
row_55	XM_047165387	na	14840	-0.6261869072914124	-0.09576565	Yes	
row_56	XM_047169728	na	14844	-0.6267552375793457	-0.06811673	Yes	
row_57	XM_047175635	na	14920	-0.6403421759605408	-0.04445495	Yes	
row_58	XM_047180901	na	15618	-1.0754554271697998	-0.04112388	Yes	
row_59	XM_047165071	na	15634	-1.103793740272522	0.006949776	Yes	
