NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047167854	na	39	1.4091988801956177	0.02465801	Yes	
row_1	XM_047165135	na	81	1.232750654220581	0.045787115	Yes	
row_2	XM_047184889	na	113	1.1847490072250366	0.06663241	Yes	
row_3	XM_047170136	na	197	1.0779404640197754	0.08208438	Yes	
row_4	XM_047175779	na	214	1.0585240125656128	0.101458944	Yes	
row_5	XM_047175016	na	237	1.0348317623138428	0.11999211	Yes	
row_6	XM_047163933	na	247	1.025348424911499	0.1391762	Yes	
row_7	XM_047185748	na	479	0.8849638104438782	0.14141755	Yes	
row_8	XM_047174665	na	482	0.8838605880737305	0.1583237	Yes	
row_9	XM_047182062	na	542	0.851870059967041	0.17095783	Yes	
row_10	XM_047169394	na	582	0.8343495726585388	0.18453692	Yes	
row_11	XM_047173568	na	639	0.810331404209137	0.19656287	Yes	
row_12	XM_047177583	na	719	0.777328610420227	0.20647775	Yes	
row_13	XM_047186211	na	725	0.7747336030006409	0.22108833	Yes	
row_14	XM_047172988	na	899	0.7221913933753967	0.22391222	Yes	
row_15	XM_047163057	na	908	0.72044837474823	0.2372842	Yes	
row_16	XM_047172013	na	976	0.7058696150779724	0.24659145	Yes	
row_17	XM_047180995	na	1036	0.6884937286376953	0.25607687	Yes	
row_18	XM_047166952	na	1040	0.688362717628479	0.2691511	Yes	
row_19	XM_047178509	na	1078	0.6782965660095215	0.27985087	Yes	
row_20	XM_047182842	na	1177	0.6664775609970093	0.28641087	Yes	
row_21	XM_047163891	na	1197	0.6631309986114502	0.29797274	Yes	
row_22	XM_047175343	na	1202	0.6624789834022522	0.310484	Yes	
row_23	XM_047181013	na	1233	0.6560070514678955	0.3212031	Yes	
row_24	XM_047178441	na	1357	0.632838785648346	0.3255115	Yes	
row_25	XM_047185672	na	1360	0.6323996186256409	0.3375713	Yes	
row_26	XM_047185868	na	1482	0.6149017214775085	0.34166226	Yes	
row_27	XM_047181411	na	1554	0.6029213070869446	0.3487289	Yes	
row_28	XM_047178510	na	1675	0.5854314565658569	0.352316	Yes	
row_29	XM_047184483	na	1756	0.5793244242668152	0.35835066	Yes	
row_30	XM_047182001	na	1812	0.5725427865982056	0.3658579	Yes	
row_31	XM_047163863	na	1906	0.5585373640060425	0.37065825	Yes	
row_32	XM_047164745	na	1994	0.546220600605011	0.375606	Yes	
row_33	XM_047173890	na	2074	0.5348259806632996	0.3808472	Yes	
row_34	XM_047166180	na	2082	0.533777117729187	0.39068562	Yes	
row_35	XM_047170848	na	2134	0.52619469165802	0.39755613	Yes	
row_36	XM_047164304	na	2201	0.5160231590270996	0.40326864	Yes	
row_37	XM_047172074	na	2262	0.5080968737602234	0.4092132	Yes	
row_38	XM_047179977	na	2412	0.4894809126853943	0.40909126	Yes	
row_39	XM_047186242	na	2428	0.4882073700428009	0.41753837	Yes	
row_40	XM_047177696	na	2592	0.4729548990726471	0.4162001	Yes	
row_41	XM_047169340	na	2698	0.46160709857940674	0.41836277	Yes	
row_42	XM_047180616	na	2964	0.43169623613357544	0.40968794	Yes	
row_43	XM_047164697	na	3229	0.4065932333469391	0.40059343	Yes	
row_44	XM_047174657	na	3370	0.3922062814235687	0.39917392	Yes	
row_45	XM_047167824	na	3433	0.38442909717559814	0.4026068	Yes	
row_46	XM_047185662	na	3662	0.37472498416900635	0.3952068	Yes	
row_47	XM_047178277	na	3686	0.3708564043045044	0.40087923	Yes	
row_48	XM_047165624	na	3970	0.34863629937171936	0.38944924	Yes	
row_49	XM_047181410	na	4032	0.34352603554725647	0.3921579	Yes	
row_50	XM_047164754	na	4113	0.33653566241264343	0.39351338	Yes	
row_51	XM_047176925	na	4304	0.3265179991722107	0.3876213	Yes	
row_52	XM_047167376	na	4310	0.3258608877658844	0.39358088	Yes	
row_53	XM_047178508	na	4391	0.31723394989967346	0.39456436	Yes	
row_54	XM_047170700	na	4403	0.3162119388580322	0.3999532	Yes	
row_55	XM_047164366	na	4425	0.31380414962768555	0.4046543	Yes	
row_56	XM_047171696	na	4430	0.3134121894836426	0.4104381	Yes	
row_57	XM_047184482	na	4523	0.3037422001361847	0.41039196	Yes	
row_58	XM_047180815	na	4735	0.2973756194114685	0.40259147	Yes	
row_59	XM_047175719	na	4746	0.29637470841407776	0.40766212	Yes	
row_60	XM_047181061	na	4791	0.2916141152381897	0.41046053	Yes	
row_61	XM_047167336	na	4798	0.29060086607933044	0.41567644	Yes	
row_62	XM_047176732	na	4866	0.28345412015914917	0.41684258	Yes	
row_63	XM_047162889	na	4884	0.28120604157447815	0.42117196	Yes	
row_64	XM_047174171	na	5011	0.26691627502441406	0.4182356	Yes	
row_65	XM_047176280	na	5019	0.265700101852417	0.42290747	Yes	
row_66	XM_047170062	na	5049	0.26333844661712646	0.4261229	Yes	
row_67	XM_047168217	na	5099	0.2578742206096649	0.4279504	Yes	
row_68	XM_047181766	na	5156	0.2522554397583008	0.42922074	Yes	
row_69	XM_047168701	na	5388	0.23060962557792664	0.41885087	No	
row_70	XM_047165830	na	5416	0.22672483325004578	0.42148894	No	
row_71	XM_047178440	na	5469	0.2213752120733261	0.4224206	No	
row_72	XM_047168551	na	5508	0.21845455467700958	0.42419383	No	
row_73	XM_047178086	na	5565	0.21228504180908203	0.4246938	No	
row_74	XM_047173683	na	5616	0.2063068002462387	0.42546332	No	
row_75	XM_047169852	na	5765	0.19004970788955688	0.41963467	No	
row_76	XM_047170557	na	5885	0.1792113035917282	0.41545692	No	
row_77	XM_047166840	na	5886	0.17899884283542633	0.41890672	No	
row_78	XM_047177461	na	5997	0.1666230857372284	0.41506356	No	
row_79	XM_047175015	na	6074	0.16030293703079224	0.41327906	No	
row_80	XM_047175745	na	6151	0.1516735851764679	0.41132826	No	
row_81	XM_047185419	na	6222	0.1460488885641098	0.4096538	No	
row_82	XM_047168538	na	6241	0.1429346650838852	0.4112542	No	
row_83	XM_047184299	na	6268	0.1404125988483429	0.41229293	No	
row_84	XM_047186290	na	6336	0.13230222463607788	0.41054595	No	
row_85	XM_047166960	na	6378	0.12880459427833557	0.410399	No	
row_86	XM_047177763	na	6428	0.12306063622236252	0.40962827	No	
row_87	XM_047169393	na	6603	0.10607148706912994	0.4005137	No	
row_88	XM_047177121	na	6606	0.10593999922275543	0.4024272	No	
row_89	XM_047165603	na	6651	0.10301759093999863	0.40159085	No	
row_90	XM_047183920	na	6659	0.10211005806922913	0.40310988	No	
row_91	XM_047165100	na	6739	0.09635701030492783	0.39990056	No	
row_92	XM_047162881	na	6837	0.08895420283079147	0.3953942	No	
row_93	XM_047177604	na	6848	0.08855345845222473	0.39645955	No	
row_94	XM_047167887	na	6960	0.07763862609863281	0.39083728	No	
row_95	XM_047173993	na	6970	0.07630376517772675	0.3917307	No	
row_96	XM_047172236	na	7116	0.06261496990919113	0.3836384	No	
row_97	XM_047165209	na	7187	0.056719619780778885	0.38024235	No	
row_98	XM_047171680	na	7212	0.05504180118441582	0.37976402	No	
row_99	XM_047178158	na	7350	0.039530862122774124	0.3717399	No	
row_100	XM_047180852	na	7521	0.022027673199772835	0.36126208	No	
row_101	XM_047184742	na	7560	0.017784543335437775	0.35916787	No	
row_102	XM_047164374	na	7833	0.0	0.34172413	No	
row_103	XM_047164376	na	7834	0.0	0.34172413	No	
row_104	XM_047166887	na	7990	0.0	0.33178377	No	
row_105	XM_047166953	na	7994	0.0	0.3315914	No	
