NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047173705	na	175	1.0999290943145752	-4.3523003E-4	No	
row_1	XM_047165732	na	285	0.9925522208213806	0.0023254713	No	
row_2	XM_047163081	na	358	0.9460767507553101	0.00701313	No	
row_3	XM_047166328	na	364	0.9447588920593262	0.01600703	No	
row_4	XM_047168452	na	367	0.9446473121643066	0.02519323	No	
row_5	XM_047175883	na	378	0.9354227185249329	0.033772733	No	
row_6	XM_047170010	na	439	0.9067063927650452	0.03884576	No	
row_7	XM_047173520	na	535	0.8558387160301208	0.04116086	No	
row_8	XM_047180443	na	612	0.8204548954963684	0.0443519	No	
row_9	XM_047180093	na	966	0.7085302472114563	0.028582115	No	
row_10	XM_047164912	na	1060	0.6828316450119019	0.029320132	No	
row_11	XM_047173680	na	1297	0.6449494957923889	0.020465925	No	
row_12	XM_047164013	na	1313	0.6414282917976379	0.025824033	No	
row_13	XM_047184898	na	1535	0.6057349443435669	0.017550126	No	
row_14	XM_047173647	na	1865	0.5657853484153748	0.001919927	No	
row_15	XM_047163785	na	1914	0.5572450757026672	0.0043205204	No	
row_16	XM_047178463	na	1920	0.5565195679664612	0.0094860075	No	
row_17	XM_047164014	na	1983	0.5475239753723145	0.010888215	No	
row_18	XM_047163263	na	1999	0.5450836420059204	0.015296271	No	
row_19	XM_047174843	na	2088	0.5324144959449768	0.014873362	No	
row_20	XM_047164500	na	2094	0.5312147736549377	0.01978932	No	
row_21	XM_047173646	na	2128	0.5269091725349426	0.022857765	No	
row_22	XM_047170785	na	2410	0.4899665117263794	0.009574298	No	
row_23	XM_047174021	na	2439	0.48736855387687683	0.012575166	No	
row_24	XM_047174354	na	2514	0.480368971824646	0.012541565	No	
row_25	XM_047172927	na	2623	0.47012391686439514	0.010215088	No	
row_26	XM_047184811	na	2656	0.4664410948753357	0.012751726	No	
row_27	XM_047170743	na	2692	0.4621489942073822	0.015052642	No	
row_28	XM_047178339	na	2741	0.45591670274734497	0.016454041	No	
row_29	XM_047173262	na	2743	0.45559829473495483	0.020882212	No	
row_30	XM_047178335	na	3019	0.427545964717865	0.0073700147	No	
row_31	XM_047183959	na	3036	0.4264184832572937	0.010543452	No	
row_32	XM_047176250	na	3097	0.4214952290058136	0.010831826	No	
row_33	XM_047182014	na	3119	0.41870036721229553	0.013606824	No	
row_34	XM_047172104	na	3221	0.40805259346961975	0.011119527	No	
row_35	XM_047183205	na	3246	0.40399181842803955	0.013556085	No	
row_36	XM_047168421	na	3325	0.3983911871910095	0.01245624	No	
row_37	XM_047179526	na	3331	0.39745914936065674	0.016053239	No	
row_38	XM_047174303	na	3434	0.3843061327934265	0.013267311	No	
