NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047169819	na	38	1.4301785230636597	0.058524568	No	
row_1	XM_047168710	na	466	0.8933603167533875	0.069366865	No	
row_2	XM_047169863	na	920	0.7178137302398682	0.07107021	No	
row_3	XM_047168596	na	1294	0.6455565690994263	0.07479567	No	
row_4	XM_047173963	na	1718	0.5847614407539368	0.072741956	No	
row_5	XM_047169820	na	2776	0.45229172706604004	0.024614455	No	
row_6	XM_047164310	na	3482	0.37981119751930237	-0.004155716	No	
row_7	XM_047168101	na	3660	0.37483927607536316	5.314094E-4	No	
row_8	XM_047168571	na	3697	0.36941230297088623	0.013978462	No	
row_9	XM_047164484	na	3720	0.36670857667922974	0.028203037	No	
row_10	XM_047173645	na	3756	0.36670857667922974	0.041598637	No	
row_11	XM_047177572	na	4087	0.3387839198112488	0.034992836	No	
row_12	XM_047169633	na	4711	0.30035752058029175	0.008065633	No	
row_13	XM_047164311	na	4752	0.29561948776245117	0.0181129	No	
row_14	XM_047180373	na	5214	0.2467718869447708	-7.675628E-4	No	
row_15	XM_047184716	na	5215	0.2467043101787567	0.009745857	No	
row_16	XM_047180856	na	5540	0.21522200107574463	-0.0017429888	No	
row_17	XM_047176247	na	5583	0.20964743196964264	0.0045130043	No	
row_18	XM_047170374	na	5978	0.16774316132068634	-0.01346289	No	
row_19	XM_047171336	na	6174	0.14979539811611176	-0.019513927	No	
row_20	XM_047165488	na	6442	0.12180895358324051	-0.031348873	No	
row_21	XM_047169543	na	6658	0.10229969769716263	-0.04069931	No	
row_22	XM_047169950	na	6991	0.07342486083507538	-0.058741044	No	
row_23	XM_047169446	na	7113	0.06261496990919113	-0.06378853	No	
row_24	XM_047169582	na	8169	0.0	-0.13106312	No	
row_25	XM_047169584	na	8170	0.0	-0.13106312	No	
row_26	XM_047169596	na	8173	0.0	-0.13119066	No	
row_27	XM_047169959	na	8191	0.0	-0.1322747	No	
row_28	XM_047173652	na	8477	0.0	-0.1504484	No	
row_29	XM_047173964	na	8494	0.0	-0.15146868	No	
row_30	XM_047175182	na	8566	0.0	-0.15599616	No	
row_31	XM_047180760	na	8963	0.0	-0.18124805	No	
row_32	XM_047169899	na	9708	-0.0029328465461730957	-0.22856599	No	
row_33	XM_047175184	na	10389	-0.06218941509723663	-0.26927757	No	
row_34	XM_047164513	na	10520	-0.07330672442913055	-0.27444333	No	
row_35	XM_047174117	na	10532	-0.07413814216852188	-0.27198535	No	
row_36	XM_047170295	na	10811	-0.0905621275305748	-0.28585333	No	
row_37	XM_047169598	na	11406	-0.13944748044013977	-0.31778854	No	
row_38	XM_047168569	na	11572	-0.15364134311676025	-0.32176265	No	
row_39	XM_047177559	na	11782	-0.174024298787117	-0.3276739	No	
row_40	XM_047179055	na	11941	-0.19011560082435608	-0.3296473	No	
row_41	XM_047168175	na	12140	-0.21282409131526947	-0.33320364	No	
row_42	XM_047168419	na	12190	-0.2190691977739334	-0.3269925	No	
row_43	XM_047177546	na	12874	-0.3136861324310303	-0.35717773	No	
row_44	XM_047169898	na	13145	-0.3397531807422638	-0.35991618	No	
row_45	XM_047180313	na	13576	-0.3619369566440582	-0.37191206	Yes	
row_46	XM_047177535	na	13718	-0.3877432942390442	-0.3643794	Yes	
row_47	XM_047169878	na	14091	-0.4397188127040863	-0.36936203	Yes	
row_48	XM_047185236	na	14191	-0.4634200632572174	-0.35592616	Yes	
row_49	XM_047170288	na	14365	-0.5113230347633362	-0.34516764	Yes	
row_50	XM_047178591	na	14393	-0.5187681913375854	-0.3247818	Yes	
row_51	XM_047164511	na	14516	-0.5542740821838379	-0.30894077	Yes	
row_52	XM_047166558	na	14690	-0.6071604490280151	-0.2940981	Yes	
row_53	XM_047170200	na	14736	-0.6155692934989929	-0.27073485	Yes	
row_54	XM_047169860	na	14949	-0.6503028273582458	-0.2565406	Yes	
row_55	XM_047163890	na	14991	-0.6675562262535095	-0.23070683	Yes	
row_56	XM_047170384	na	15039	-0.6858672499656677	-0.20447534	Yes	
row_57	XM_047164512	na	15160	-0.7347579002380371	-0.18081537	Yes	
row_58	XM_047170336	na	15366	-0.8497684597969055	-0.1576744	Yes	
row_59	XM_047174988	na	15571	-1.0239378213882446	-0.12704736	Yes	
row_60	XM_047185134	na	15678	-1.198123574256897	-0.08274811	Yes	
row_61	XM_047173661	na	15741	-2.037503719329834	1.2748313E-4	Yes	
