NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047176784	na	27	1.4966109991073608	0.034330063	Yes	
row_1	XM_047175840	na	100	1.203443169593811	0.058722753	Yes	
row_2	XM_047185085	na	141	1.1416696310043335	0.083671466	Yes	
row_3	XM_047184636	na	149	1.1328191757202148	0.11051504	Yes	
row_4	XM_047177494	na	189	1.0866553783416748	0.13420229	Yes	
row_5	XM_047177071	na	248	1.0252304077148438	0.155196	Yes	
row_6	XM_047175224	na	260	1.0135270357131958	0.17891018	Yes	
row_7	XM_047184524	na	353	0.9480549097061157	0.1958727	Yes	
row_8	XM_047166589	na	416	0.9148783683776855	0.21395238	Yes	
row_9	XM_047179757	na	423	0.9129519462585449	0.23556302	Yes	
row_10	XM_047183987	na	440	0.9053173065185547	0.2563509	Yes	
row_11	XM_047182952	na	446	0.9023526906967163	0.2777701	Yes	
row_12	XM_047164530	na	592	0.8291046023368835	0.28848124	Yes	
row_13	XM_047185788	na	736	0.7700815796852112	0.29789823	Yes	
row_14	XM_047182730	na	775	0.7573624849319458	0.31371638	Yes	
row_15	XM_047163072	na	823	0.7423173189163208	0.3285971	Yes	
row_16	XM_047184562	na	838	0.7388516068458557	0.34550244	Yes	
row_17	XM_047173688	na	924	0.7164308428764343	0.35733208	Yes	
row_18	XM_047177303	na	996	0.7006511688232422	0.36967587	Yes	
row_19	XM_047163378	na	1022	0.693108320236206	0.3847765	Yes	
row_20	XM_047178509	na	1078	0.6782965660095215	0.39760387	Yes	
row_21	XM_047163462	na	1171	0.667056143283844	0.40779683	Yes	
row_22	XM_047170639	na	1237	0.654392659664154	0.4194095	Yes	
row_23	XM_047185294	na	1267	0.6492424607276917	0.43319786	Yes	
row_24	XM_047178441	na	1357	0.632838785648346	0.44275814	Yes	
row_25	XM_047185406	na	1374	0.6293955445289612	0.4568988	Yes	
row_26	XM_047178510	na	1675	0.5854314565658569	0.45183802	Yes	
row_27	XM_047184040	na	1832	0.5695719718933105	0.45559406	Yes	
row_28	XM_047177301	na	1916	0.5571526885032654	0.46371427	Yes	
row_29	XM_047167630	na	1940	0.5547190308570862	0.47560874	Yes	
row_30	XM_047172463	na	2279	0.5051110982894897	0.46618545	Yes	
row_31	XM_047175468	na	2328	0.4997083246707916	0.47515762	Yes	
row_32	XM_047174023	na	2403	0.4909593462944031	0.48225808	Yes	
row_33	XM_047171472	na	2440	0.4872460961341858	0.4916966	Yes	
row_34	XM_047183094	na	2471	0.4837711751461029	0.5014347	Yes	
row_35	XM_047184601	na	2548	0.4771285951137543	0.5080742	Yes	
row_36	XM_047179081	na	2640	0.46846893429756165	0.5135469	Yes	
row_37	XM_047170526	na	2715	0.4591115117073059	0.5198801	Yes	
row_38	XM_047168336	na	2729	0.45782187581062317	0.53007907	Yes	
row_39	XM_047182417	na	2737	0.4563361704349518	0.54062545	Yes	
row_40	XM_047163473	na	2822	0.4471606910228729	0.546032	Yes	
row_41	XM_047178587	na	2847	0.44434991478919983	0.5552037	Yes	
row_42	XM_047165201	na	2954	0.43169623613357544	0.5588322	Yes	
row_43	XM_047185142	na	2981	0.43131765723228455	0.56756216	Yes	
row_44	XM_047169209	na	3271	0.40093180537223816	0.55875933	No	
row_45	XM_047164450	na	3599	0.3777623474597931	0.5469707	No	
row_46	XM_047181156	na	3792	0.36670857667922974	0.5435399	No	
row_47	XM_047163542	na	3906	0.3574252426624298	0.544932	No	
row_48	XM_047176714	na	4297	0.32708579301834106	0.5278981	No	
row_49	XM_047178508	na	4391	0.31723394989967346	0.5295996	No	
row_50	XM_047172753	na	4744	0.29639458656311035	0.5142538	No	
row_51	XM_047169372	na	5201	0.24767890572547913	0.4910907	No	
row_52	XM_047177185	na	5326	0.23672130703926086	0.48887223	No	
row_53	XM_047166244	na	5384	0.23092257976531982	0.49079415	No	
row_54	XM_047178440	na	5469	0.2213752120733261	0.49076125	No	
row_55	XM_047167081	na	5669	0.19997848570346832	0.48286653	No	
row_56	XM_047166619	na	5723	0.1939433068037033	0.4841531	No	
row_57	XM_047164003	na	5837	0.1832357943058014	0.48134884	No	
row_58	XM_047164093	na	5894	0.17767523229122162	0.48205185	No	
row_59	XM_047166590	na	6254	0.14125724136829376	0.46252143	No	
row_60	XM_047176936	na	6274	0.1397675722837448	0.46467483	No	
row_61	XM_047166986	na	6418	0.1241665780544281	0.45853108	No	
row_62	XM_047173172	na	6795	0.09235894680023193	0.43673667	No	
row_63	XM_047178421	na	6899	0.08338966220617294	0.43216583	No	
row_64	XM_047178301	na	7214	0.05504180118441582	0.41343307	No	
row_65	XM_047180215	na	7481	0.026682637631893158	0.39708343	No	
row_66	XM_047165183	na	7901	0.0	0.3703171	No	
