NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047185089	na	273	1.0015108585357666	0.036239143	Yes	
row_1	XM_047183304	na	323	0.9666551947593689	0.08488288	Yes	
row_2	XM_047169375	na	522	0.8620814681053162	0.1184337	Yes	
row_3	XM_047169478	na	623	0.8167383670806885	0.15579997	Yes	
row_4	XM_047166525	na	874	0.7305067777633667	0.17899187	Yes	
row_5	XM_047178572	na	1071	0.6811046004295349	0.20297858	Yes	
row_6	XM_047181274	na	1144	0.6674462556838989	0.23413397	Yes	
row_7	XM_047171865	na	1279	0.6485380530357361	0.26032674	Yes	
row_8	XM_047171172	na	1649	0.5870185494422913	0.26825312	Yes	
row_9	XM_047181479	na	1703	0.5851828455924988	0.29621372	Yes	
row_10	XM_047166693	na	1787	0.5744072198867798	0.32168594	Yes	
row_11	XM_047178595	na	1831	0.5700860619544983	0.34947518	Yes	
row_12	XM_047169376	na	2258	0.5083630084991455	0.34955797	Yes	
row_13	XM_047169277	na	2339	0.4980551302433014	0.37113258	Yes	
row_14	XM_047181387	na	2442	0.4870368242263794	0.3907155	Yes	
row_15	XM_047164615	na	2724	0.45848050713539124	0.39736503	Yes	
row_16	XM_047173244	na	2925	0.4345952868461609	0.40789604	Yes	
row_17	XM_047164981	na	2986	0.4307936728000641	0.42714292	Yes	
row_18	XM_047184839	na	3560	0.37981119751930237	0.41097617	Yes	
row_19	XM_047173321	na	3915	0.35660746693611145	0.4075194	Yes	
row_20	XM_047170255	na	3937	0.35347577929496765	0.42511052	Yes	
row_21	XM_047185063	na	4227	0.33147820830345154	0.42444927	Yes	
row_22	XM_047169562	na	4276	0.3292188048362732	0.4390212	Yes	
row_23	XM_047167264	na	4358	0.320141077041626	0.4510046	Yes	
row_24	XM_047173243	na	4595	0.30347663164138794	0.45222047	Yes	
row_25	XM_047178661	na	4619	0.30347663164138794	0.46700665	Yes	
row_26	XM_047184770	na	4933	0.2759557366371155	0.46184304	Yes	
row_27	XM_047184840	na	5277	0.2413104772567749	0.4529128	Yes	
row_28	XM_047169089	na	5303	0.23911789059638977	0.4641251	Yes	
row_29	XM_047168522	na	5409	0.22737975418567657	0.46961194	Yes	
row_30	XM_047162922	na	5872	0.18051910400390625	0.44984472	No	
row_31	XM_047166447	na	5921	0.17464543879032135	0.4561391	No	
row_32	XM_047167503	na	6088	0.15862686932086945	0.45405778	No	
row_33	XM_047169022	na	6781	0.09294811636209488	0.41494763	No	
row_34	XM_047178573	na	7123	0.06261496990919113	0.39657545	No	
row_35	XM_047163212	na	7760	0.0	0.35605556	No	
row_36	XM_047163453	na	7777	0.0	0.3550362	No	
row_37	XM_047174981	na	8553	0.0	0.30566058	No	
row_38	XM_047175482	na	8585	0.0	0.30368555	No	
row_39	XM_047184767	na	10198	-0.04540592059493065	0.20341577	No	
row_40	XM_047164324	na	10607	-0.07858830690383911	0.18163037	No	
row_41	XM_047164451	na	10651	-0.0807187557220459	0.18321341	No	
row_42	XM_047164641	na	10758	-0.08817916363477707	0.18118219	No	
row_43	XM_047173017	na	11852	-0.1817389726638794	0.121278964	No	
row_44	XM_047183450	na	11947	-0.19157855212688446	0.12554944	No	
row_45	XM_047169108	na	12217	-0.22211122512817383	0.12030564	No	
row_46	XM_047166331	na	13819	-0.4045869708061218	0.03997125	No	
row_47	XM_047163718	na	15726	-1.5414055585861206	0.0010831637	No	
