NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047164657	na	686	0.7911201119422913	-0.014956751	No	
row_1	XM_047168918	na	1150	0.6673123240470886	-0.02017828	No	
row_2	XM_047166702	na	1231	0.6562200784683228	-0.0013150685	No	
row_3	XM_047180624	na	1249	0.6528536677360535	0.021453522	No	
row_4	XM_047171988	na	1444	0.621092677116394	0.031743694	No	
row_5	XM_047170083	na	1463	0.619027853012085	0.05321233	No	
row_6	XM_047175933	na	1550	0.6033997535705566	0.069761805	No	
row_7	XM_047172820	na	1561	0.6019805073738098	0.09111906	No	
row_8	XM_047181109	na	1679	0.5854314565658569	0.10502974	No	
row_9	XM_047166124	na	1691	0.5851828455924988	0.12570927	No	
row_10	XM_047180704	na	1701	0.5851828455924988	0.14651667	No	
row_11	XM_047181108	na	1702	0.5851828455924988	0.16789956	No	
row_12	XM_047177643	na	1997	0.5455073714256287	0.16903353	No	
row_13	XM_047175930	na	2352	0.4966527819633484	0.16454576	No	
row_14	XM_047166507	na	2629	0.46938422322273254	0.16404912	No	
row_15	XM_047180727	na	2965	0.43169623613357544	0.15840273	No	
row_16	XM_047180622	na	3021	0.427545964717865	0.17050862	No	
row_17	XM_047171612	na	3165	0.4135591983795166	0.1764765	No	
row_18	XM_047172821	na	3207	0.4090500473976135	0.18880175	No	
row_19	XM_047174350	na	3761	0.36670857667922974	0.16684115	No	
row_20	XM_047176137	na	3768	0.36670857667922974	0.17985722	No	
row_21	XM_047178791	na	4074	0.339851975440979	0.17277306	No	
row_22	XM_047164960	na	4163	0.33147820830345154	0.1792585	No	
row_23	XM_047172818	na	4341	0.3222743272781372	0.1797167	No	
row_24	XM_047171615	na	4584	0.30347663164138794	0.17533177	No	
row_25	XM_047173233	na	4594	0.30347663164138794	0.18584548	No	
row_26	XM_047172312	na	4693	0.30218276381492615	0.19062102	No	
row_27	XM_047172315	na	5435	0.22487366199493408	0.15145648	No	
row_28	XM_047172320	na	5576	0.21083621680736542	0.15020856	No	
row_29	XM_047172415	na	5813	0.18603159487247467	0.14191577	No	
row_30	XM_047164485	na	5991	0.16680298745632172	0.13669299	No	
row_31	XM_047172846	na	6499	0.116276316344738	0.10852283	No	
row_32	XM_047172313	na	6677	0.09970233589410782	0.100848146	No	
row_33	XM_047178825	na	6681	0.09920360893011093	0.10428127	No	
row_34	XM_047165516	na	7070	0.06496624648571014	0.0818454	No	
row_35	XM_047165728	na	7210	0.05504180118441582	0.07496862	No	
row_36	XM_047172388	na	7213	0.05504180118441582	0.076851994	No	
row_37	XM_047166537	na	7539	0.020401839166879654	0.056816105	No	
row_38	XM_047163917	na	7640	0.00907426793128252	0.05075341	No	
row_39	XM_047163642	na	7789	0.0	0.041289892	No	
row_40	XM_047164317	na	7829	0.0	0.038796127	No	
row_41	XM_047164319	na	7830	0.0	0.038796127	No	
row_42	XM_047164871	na	7881	0.0	0.03559899	No	
row_43	XM_047165651	na	7922	0.0	0.033041283	No	
row_44	XM_047165726	na	7925	0.0	0.032913398	No	
row_45	XM_047166123	na	7945	0.0	0.031698484	No	
row_46	XM_047166125	na	7946	0.0	0.031698484	No	
row_47	XM_047166362	na	7956	0.0	0.031123001	No	
row_48	XM_047166363	na	7957	0.0	0.031123001	No	
