NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047180967	na	1819	0.5715162754058838	-0.026974143	No	
row_1	XM_047174214	na	3758	0.36670857667922974	-0.09329345	No	
row_2	XM_047163595	na	4531	0.30347663164138794	-0.09528886	No	
row_3	XM_047176761	na	6395	0.1268959641456604	-0.19405018	No	
row_4	XM_047172906	na	6459	0.12043667584657669	-0.17936818	No	
row_5	XM_047167656	na	7324	0.04277579486370087	-0.22766475	No	
row_6	XM_047163594	na	7784	0.0	-0.25684837	No	
row_7	XM_047167124	na	10794	-0.0896209105849266	-0.43425718	No	
row_8	XM_047183206	na	12721	-0.2888723611831665	-0.511891	Yes	
row_9	XM_047165009	na	12965	-0.32647445797920227	-0.47668365	Yes	
row_10	XM_047176847	na	13172	-0.3397531807422638	-0.43706343	Yes	
row_11	XM_047183628	na	13569	-0.36034491658210754	-0.40632844	Yes	
row_12	XM_047185943	na	14302	-0.49270471930503845	-0.37641898	Yes	
row_13	XM_047183138	na	15246	-0.7772501111030579	-0.31577355	Yes	
row_14	XM_047183843	na	15310	-0.8173958659172058	-0.19294769	Yes	
row_15	XM_047182777	na	15717	-1.420515537261963	0.0016531327	Yes	
