NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047166211	na	22	1.5377644300460815	0.018575933	Yes	
row_1	XM_047176784	na	27	1.4966109991073608	0.037772633	Yes	
row_2	XM_047175840	na	100	1.203443169593811	0.048792657	Yes	
row_3	XM_047185085	na	141	1.1416696310043335	0.0610643	Yes	
row_4	XM_047184636	na	149	1.1328191757202148	0.07533968	Yes	
row_5	XM_047166102	na	156	1.1252880096435547	0.08958138	Yes	
row_6	XM_047177494	na	189	1.0866553783416748	0.101651564	Yes	
row_7	XM_047173829	na	231	1.0415672063827515	0.11255783	Yes	
row_8	XM_047177071	na	248	1.0252304077148438	0.12485688	Yes	
row_9	XM_047175224	na	260	1.0135270357131958	0.13732484	Yes	
row_10	XM_047184524	na	353	0.9480549097061157	0.14374112	Yes	
row_11	XM_047185714	na	361	0.945142924785614	0.155577	Yes	
row_12	XM_047166589	na	416	0.9148783683776855	0.16400185	Yes	
row_13	XM_047179757	na	423	0.9129519462585449	0.17548352	Yes	
row_14	XM_047183987	na	440	0.9053173065185547	0.1862239	Yes	
row_15	XM_047182952	na	446	0.9023526906967163	0.197632	Yes	
row_16	XM_047163986	na	448	0.9017216563224792	0.20928872	Yes	
row_17	XM_047184659	na	451	0.8991223573684692	0.22084744	Yes	
row_18	XM_047176284	na	562	0.8411235213279724	0.2247181	Yes	
row_19	XM_047164530	na	592	0.8291046023368835	0.23363315	Yes	
row_20	XM_047170801	na	593	0.8286324739456177	0.24440403	Yes	
row_21	XM_047181790	na	620	0.8177152872085571	0.25336367	Yes	
row_22	XM_047168033	na	631	0.811771035194397	0.26327333	Yes	
row_23	XM_047185788	na	736	0.7700815796852112	0.26660576	Yes	
row_24	XM_047164731	na	746	0.7663134336471558	0.27598876	Yes	
row_25	XM_047182730	na	775	0.7573624849319458	0.2840355	Yes	
row_26	XM_047171415	na	782	0.7536558508872986	0.29344657	Yes	
row_27	XM_047170661	na	817	0.743899941444397	0.3009331	Yes	
row_28	XM_047163072	na	823	0.7423173189163208	0.31026098	Yes	
row_29	XM_047184562	na	838	0.7388516068458557	0.31896597	Yes	
row_30	XM_047173688	na	924	0.7164308428764343	0.32282096	Yes	
row_31	XM_047177303	na	996	0.7006511688232422	0.32736972	Yes	
row_32	XM_047163378	na	1022	0.693108320236206	0.33477387	Yes	
row_33	XM_047178509	na	1078	0.6782965660095215	0.3400593	Yes	
row_34	XM_047167144	na	1097	0.6767984628677368	0.3477009	Yes	
