NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047162853	na	219	1.0529906749725342	0.09190706	Yes	
row_1	XM_047172909	na	306	0.9718708992004395	0.18411835	Yes	
row_2	XM_047179621	na	457	0.8964266777038574	0.26467726	Yes	
row_3	XM_047162852	na	594	0.8281320929527283	0.33926234	Yes	
row_4	XM_047171328	na	637	0.8104830980300903	0.41805092	Yes	
row_5	XM_047185224	na	912	0.7195423245429993	0.47294664	Yes	
row_6	XM_047178104	na	1011	0.6958011984825134	0.5366479	Yes	
row_7	XM_047176574	na	1135	0.6694157719612122	0.5961075	Yes	
row_8	XM_047179727	na	1142	0.6683159470558167	0.66289645	Yes	
row_9	XM_047182143	na	2345	0.4975469708442688	0.63646954	Yes	
row_10	XM_047186191	na	2461	0.4853021502494812	0.67793316	Yes	
row_11	XM_047171610	na	2880	0.4408671259880066	0.6956632	Yes	
row_12	XM_047179726	na	5254	0.24345406889915466	0.5692355	No	
row_13	XM_047171850	na	5328	0.23661448061466217	0.5883749	No	
row_14	XM_047176228	na	6207	0.14742927253246307	0.5473615	No	
row_15	XM_047173794	na	8485	0.0	0.40256947	No	
row_16	XM_047165858	na	11008	-0.10707066208124161	0.25295946	No	
row_17	XM_047168789	na	14251	-0.47828203439712524	0.09487481	No	
