NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047167854	na	39	1.4091988801956177	0.1442796	Yes	
row_1	XM_047170324	na	239	1.0340403318405151	0.2393117	Yes	
row_2	XM_047169678	na	600	0.8262581825256348	0.30246404	Yes	
row_3	XM_047168033	na	631	0.811771035194397	0.3850973	Yes	
row_4	XM_047177583	na	719	0.777328610420227	0.4605181	Yes	
row_5	XM_047163891	na	1197	0.6631309986114502	0.49923983	Yes	
row_6	XM_047185445	na	1753	0.5801298022270203	0.52435625	Yes	
row_7	XM_047168034	na	3360	0.3934485912322998	0.46318188	Yes	
row_8	XM_047167824	na	3433	0.38442909717559814	0.49863845	Yes	
row_9	XM_047185447	na	3443	0.3835406005382538	0.53800964	Yes	
row_10	XM_047164211	na	3642	0.37721943855285645	0.5647011	Yes	
row_11	XM_047178713	na	3891	0.35959938168525696	0.58637726	Yes	
row_12	XM_047168031	na	4809	0.2893049418926239	0.55818087	No	
row_13	XM_047162889	na	4884	0.28120604157447815	0.58276016	No	
row_14	XM_047185419	na	6222	0.1460488885641098	0.5129302	No	
row_15	XM_047181024	na	6366	0.12981896102428436	0.5173546	No	
row_16	XM_047166012	na	7170	0.05840488150715828	0.47236222	No	
row_17	XM_047164212	na	7824	0.0	0.43082806	No	
row_18	XM_047166107	na	9716	-0.0033154780976474285	0.31089604	No	
row_19	XM_047176995	na	11157	-0.11944112926721573	0.23174377	No	
row_20	XM_047181091	na	12328	-0.23475278913974762	0.18177395	No	
row_21	XM_047169919	na	13051	-0.3396642208099365	0.17122518	No	
