NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047163221	na	669	0.796044111251831	0.017352398	No	
row_1	XM_047168596	na	1294	0.6455565690994263	0.026237527	No	
row_2	XM_047184511	na	1909	0.5578069686889648	0.029151471	No	
row_3	XM_047179963	na	2127	0.5269320011138916	0.055015773	No	
row_4	XM_047183473	na	2365	0.4952414631843567	0.07722035	No	
row_5	XM_047184394	na	2485	0.48289352655410767	0.106007665	No	
row_6	XM_047168571	na	3697	0.36941230297088623	0.056726307	No	
row_7	XM_047169509	na	3704	0.3685377836227417	0.084096484	No	
row_8	XM_047184080	na	4097	0.3380078673362732	0.08459262	No	
row_9	XM_047182908	na	5088	0.25878751277923584	0.04105099	No	
row_10	XM_047165050	na	5236	0.2452264279127121	0.0501585	No	
row_11	XM_047166161	na	6615	0.10532579571008682	-0.029641684	No	
row_12	XM_047167098	na	6798	0.0922919437289238	-0.034278974	No	
row_13	XM_047174367	na	6976	0.0755155086517334	-0.039861254	No	
row_14	XM_047171026	na	7151	0.06080261245369911	-0.04636047	No	
row_15	XM_047169076	na	9700	-0.0024956893175840378	-0.2083932	No	
row_16	XM_047168683	na	9883	-0.01857474446296692	-0.21858165	No	
row_17	XM_047180417	na	10251	-0.049940675497055054	-0.23818631	No	
row_18	XM_047165675	na	10482	-0.07093262672424316	-0.247488	No	
row_19	XM_047185759	na	10780	-0.08892159163951874	-0.25970066	No	
row_20	XM_047178622	na	11014	-0.10746406018733978	-0.2664424	No	
row_21	XM_047168569	na	11572	-0.15364134311676025	-0.29033458	No	
row_22	XM_047167097	na	11987	-0.19581608474254608	-0.3019466	No	
row_23	XM_047171221	na	12385	-0.24249973893165588	-0.3089609	No	
row_24	XM_047167092	na	12862	-0.3109315037727356	-0.31585166	Yes	
row_25	XM_047179400	na	12877	-0.3140820860862732	-0.2930915	Yes	
row_26	XM_047178733	na	13667	-0.37628456950187683	-0.31498834	Yes	
row_27	XM_047185685	na	13917	-0.40907952189445496	-0.30003604	Yes	
row_28	XM_047174368	na	14117	-0.44644954800605774	-0.27908638	Yes	
row_29	XM_047174056	na	14170	-0.4579993188381195	-0.24790807	Yes	
row_30	XM_047173900	na	14235	-0.4748069643974304	-0.21622808	Yes	
row_31	XM_047170508	na	14377	-0.5149278044700623	-0.18642913	Yes	
row_32	XM_047163888	na	14529	-0.5574541687965393	-0.15406445	Yes	
row_33	XM_047170520	na	14654	-0.5956004858016968	-0.11710824	Yes	
row_34	XM_047173339	na	14832	-0.6222394108772278	-0.08152033	Yes	
row_35	XM_047166136	na	15424	-0.8969820141792297	-0.05160101	Yes	
row_36	XM_047163512	na	15490	-0.9540976881980896	0.016107555	Yes	
