NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047169375	na	522	0.8620814681053162	0.050528288	Yes	
row_1	XM_047169478	na	623	0.8167383670806885	0.123500355	Yes	
row_2	XM_047166525	na	874	0.7305067777633667	0.17855307	Yes	
row_3	XM_047178572	na	1071	0.6811046004295349	0.23224266	Yes	
row_4	XM_047181274	na	1144	0.6674462556838989	0.29249457	Yes	
row_5	XM_047171865	na	1279	0.6485380530357361	0.3469653	Yes	
row_6	XM_047181479	na	1703	0.5851828455924988	0.37689546	Yes	
row_7	XM_047169376	na	2258	0.5083630084991455	0.39102927	Yes	
row_8	XM_047169277	na	2339	0.4980551302433014	0.43431836	Yes	
row_9	XM_047181387	na	2442	0.4870368242263794	0.47513747	Yes	
row_10	XM_047173244	na	2925	0.4345952868461609	0.4866866	Yes	
row_11	XM_047173321	na	3915	0.35660746693611145	0.4584043	Yes	
row_12	XM_047170255	na	3937	0.35347577929496765	0.49140325	Yes	
row_13	XM_047169562	na	4276	0.3292188048362732	0.501878	Yes	
row_14	XM_047167264	na	4358	0.320141077041626	0.5278217	Yes	
row_15	XM_047173243	na	4595	0.30347663164138794	0.54228544	Yes	
row_16	XM_047178661	na	4619	0.30347663164138794	0.57030046	Yes	
row_17	XM_047184770	na	4933	0.2759557366371155	0.57719207	Yes	
row_18	XM_047169089	na	5303	0.23911789059638977	0.5769426	No	
row_19	XM_047162922	na	5872	0.18051910400390625	0.5583405	No	
row_20	XM_047167503	na	6088	0.15862686932086945	0.56007016	No	
row_21	XM_047178573	na	7123	0.06261496990919113	0.5003679	No	
row_22	XM_047175482	na	8585	0.0	0.40741712	No	
row_23	XM_047164641	na	10758	-0.08817916363477707	0.2777969	No	
row_24	XM_047173017	na	11852	-0.1817389726638794	0.2259121	No	
row_25	XM_047169108	na	12217	-0.22211122512817383	0.22432879	No	
