NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047166271	na	805	0.6155542731285095	-0.027492113	No	
row_1	XM_047168425	na	1122	0.5282688140869141	-0.027152052	No	
row_2	XM_047168942	na	1217	0.5064996480941772	-0.013483001	No	
row_3	XM_047168307	na	1949	0.40230390429496765	-0.04453227	No	
row_4	XM_047184410	na	2595	0.3733488619327545	-0.07121506	No	
row_5	XM_047165048	na	2727	0.3590378761291504	-0.06563537	No	
row_6	XM_047182786	na	3506	0.2869446873664856	-0.10416572	No	
row_7	XM_047177589	na	3525	0.2848743200302124	-0.09425138	No	
row_8	XM_047179054	na	3550	0.28227198123931885	-0.0848212	No	
row_9	XM_047163364	na	3690	0.2661875784397125	-0.0833583	No	
row_10	XM_047182177	na	3750	0.26064708828926086	-0.07700268	No	
row_11	XM_047171485	na	3896	0.2474585920572281	-0.07665025	No	
row_12	XM_047170072	na	4173	0.21881625056266785	-0.08577439	No	
row_13	XM_047176311	na	4355	0.19814223051071167	-0.08963581	No	
row_14	XM_047163600	na	4841	0.15619079768657684	-0.114536524	No	
row_15	XM_047174819	na	5023	0.14011558890342712	-0.12065151	No	
row_16	XM_047173469	na	5231	0.12363816052675247	-0.1290665	No	
row_17	XM_047165028	na	5281	0.11939820647239685	-0.12755805	No	
row_18	XM_047176762	na	5549	0.09725680947303772	-0.14082853	No	
row_19	XM_047177250	na	5617	0.0920470803976059	-0.14153159	No	
row_20	XM_047181913	na	6055	0.05522404611110687	-0.16728878	No	
row_21	XM_047169036	na	6248	0.037097297608852386	-0.17810702	No	
row_22	XM_047170980	na	6635	0.011469120159745216	-0.20230722	No	
row_23	XM_047169241	na	6697	0.00737436069175601	-0.20591561	No	
row_24	XM_047163674	na	6858	0.0	-0.21613142	No	
row_25	XM_047165491	na	7080	0.0	-0.230242	No	
row_26	XM_047176488	na	8214	0.0	-0.3025827	No	
row_27	XM_047183969	na	8985	0.0	-0.3517463	No	
row_28	XM_047181871	na	9711	-0.004346000496298075	-0.3978679	No	
row_29	XM_047175306	na	9905	-0.0239491555839777	-0.4092606	No	
row_30	XM_047167181	na	10329	-0.05761727690696716	-0.43403095	No	
row_31	XM_047180651	na	10350	-0.0584426112473011	-0.4330382	No	
row_32	XM_047166646	na	10519	-0.07105837762355804	-0.44100514	No	
row_33	XM_047176135	na	10527	-0.0718442052602768	-0.43866187	No	
row_34	XM_047177822	na	10647	-0.0808502584695816	-0.4431199	No	
row_35	XM_047183966	na	10839	-0.09890341013669968	-0.45147395	No	
row_36	XM_047168639	na	10911	-0.10450299829244614	-0.45194864	No	
row_37	XM_047163936	na	11307	-0.14419081807136536	-0.471569	No	
row_38	XM_047165026	na	11645	-0.17388422787189484	-0.48633295	No	
row_39	XM_047169462	na	11762	-0.1854143887758255	-0.4865385	No	
row_40	XM_047171255	na	11889	-0.1975218951702118	-0.4869123	Yes	
row_41	XM_047168329	na	11971	-0.20655211806297302	-0.48406225	Yes	
row_42	XM_047178287	na	11989	-0.20851929485797882	-0.47704944	Yes	
row_43	XM_047178876	na	12015	-0.21145859360694885	-0.4704333	Yes	
row_44	XM_047166325	na	12021	-0.21193239092826843	-0.46252176	Yes	
row_45	XM_047165270	na	12183	-0.2299284040927887	-0.46387172	Yes	
row_46	XM_047184771	na	12278	-0.23879295587539673	-0.46059954	Yes	
row_47	XM_047176909	na	12455	-0.2577834725379944	-0.46182543	Yes	
row_48	XM_047175002	na	12535	-0.2674444019794464	-0.4564828	Yes	
row_49	XM_047180903	na	12586	-0.2738405764102936	-0.44904014	Yes	
row_50	XM_047168043	na	12599	-0.2756712734699249	-0.43910015	Yes	
row_51	XM_047176843	na	12672	-0.2847821116447449	-0.4326372	Yes	
row_52	XM_047180949	na	12822	-0.30296316742897034	-0.43038455	Yes	
row_53	XM_047165373	na	13137	-0.344475120306015	-0.43705475	Yes	
row_54	XM_047173234	na	13140	-0.344686895608902	-0.4237959	Yes	
row_55	XM_047163561	na	13447	-0.3624955713748932	-0.4292555	Yes	
row_56	XM_047183968	na	13575	-0.3661865293979645	-0.42314276	Yes	
row_57	XM_047168197	na	13654	-0.3694388270378113	-0.41377512	Yes	
row_58	XM_047167505	na	13982	-0.39400115609169006	-0.41935194	Yes	
row_59	XM_047174903	na	14097	-0.40004652738571167	-0.41109416	Yes	
row_60	XM_047169832	na	14128	-0.40525099635124207	-0.39727095	Yes	
row_61	XM_047179048	na	14195	-0.4102782607078552	-0.38555107	Yes	
row_62	XM_047180159	na	14458	-0.4455600380897522	-0.3849753	Yes	
row_63	XM_047175252	na	14489	-0.4490525722503662	-0.36945102	Yes	
row_64	XM_047177911	na	14558	-0.4602421522140503	-0.35591838	Yes	
row_65	XM_047170665	na	14596	-0.4669049084186554	-0.34014767	Yes	
