NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047174730	na	149	0.9404654502868652	0.006020412	Yes	
row_1	XM_047174656	na	262	0.8139651417732239	0.012321173	Yes	
row_2	XM_047174013	na	289	0.791576087474823	0.023779	Yes	
row_3	XM_047170482	na	310	0.7759968042373657	0.03536413	Yes	
row_4	XM_047172153	na	375	0.737602949142456	0.04348396	Yes	
row_5	XM_047165556	na	393	0.7315137982368469	0.05452414	Yes	
row_6	XM_047173101	na	398	0.7291058301925659	0.06636007	Yes	
row_7	XM_047185869	na	404	0.7244943380355835	0.078055225	Yes	
row_8	XM_047181359	na	448	0.7027704119682312	0.086947285	Yes	
row_9	XM_047167695	na	464	0.6947128772735596	0.097505644	Yes	
row_10	XM_047170030	na	473	0.6893075704574585	0.108424336	Yes	
row_11	XM_047177809	na	494	0.6835979223251343	0.11847692	Yes	
row_12	XM_047174513	na	513	0.6788086295127869	0.12857865	Yes	
row_13	XM_047178897	na	545	0.6722998023033142	0.13773671	Yes	
row_14	XM_047175934	na	579	0.6694482564926147	0.14671892	Yes	
row_15	XM_047169437	na	603	0.6638349294662476	0.15625086	Yes	
row_16	XM_047168126	na	608	0.6611570715904236	0.16695978	Yes	
row_17	XM_047179139	na	629	0.6535343527793884	0.17651373	Yes	
row_18	XM_047176803	na	635	0.652265191078186	0.18701088	Yes	
row_19	XM_047170038	na	656	0.6448086500167847	0.1964201	Yes	
row_20	XM_047174316	na	698	0.6318118572235107	0.2042638	Yes	
row_21	XM_047176959	na	816	0.6120389103889465	0.20689397	Yes	
row_22	XM_047179623	na	874	0.5961739420890808	0.21311802	Yes	
row_23	XM_047167245	na	943	0.5734313726425171	0.21825774	Yes	
row_24	XM_047172041	na	1020	0.5531060695648193	0.22254607	Yes	
row_25	XM_047174354	na	1043	0.5470936298370361	0.230206	Yes	
row_26	XM_047173838	na	1141	0.5242785811424255	0.23266624	Yes	
row_27	XM_047175951	na	1152	0.5216753482818604	0.24067599	Yes	
row_28	XM_047166538	na	1188	0.5134328603744507	0.24694194	Yes	
row_29	XM_047182818	na	1190	0.5129713416099548	0.25538588	Yes	
row_30	XM_047179536	na	1240	0.4992579519748688	0.26051673	Yes	
row_31	XM_047168917	na	1252	0.49740904569625854	0.26805973	Yes	
row_32	XM_047171157	na	1287	0.49264177680015564	0.2740451	Yes	
row_33	XM_047179131	na	1292	0.49114754796028137	0.28193423	Yes	
row_34	XM_047166301	na	1305	0.48778679966926575	0.28925332	Yes	
row_35	XM_047174462	na	1332	0.4826507270336151	0.29558727	Yes	
row_36	XM_047173699	na	1352	0.4800485074520111	0.30232802	Yes	
row_37	XM_047174382	na	1385	0.4744930863380432	0.30814096	Yes	
row_38	XM_047168540	na	1472	0.460687518119812	0.3102536	Yes	
row_39	XM_047183219	na	1473	0.4606819450855255	0.31789452	Yes	
row_40	XM_047181856	na	1496	0.45600515604019165	0.32404366	Yes	
row_41	XM_047177868	na	1501	0.4549683630466461	0.3313327	Yes	
row_42	XM_047184757	na	1511	0.45402202010154724	0.3382846	Yes	
row_43	XM_047174384	na	1520	0.45321640372276306	0.34528747	Yes	
row_44	XM_047174771	na	1529	0.4511633813381195	0.35225627	Yes	
row_45	XM_047168463	na	1589	0.44547057151794434	0.35585216	Yes	
row_46	XM_047173356	na	1607	0.44234922528266907	0.36209622	Yes	
row_47	XM_047170566	na	1640	0.43812835216522217	0.367306	Yes	
row_48	XM_047173850	na	1652	0.4372081458568573	0.3738505	Yes	
row_49	XM_047180010	na	1719	0.42941880226135254	0.37673014	Yes	
row_50	XM_047162913	na	1796	0.4246380925178528	0.37888768	Yes	
row_51	XM_047171254	na	1800	0.42412349581718445	0.38572943	Yes	
row_52	XM_047169447	na	1910	0.4070086181163788	0.3854732	Yes	
row_53	XM_047173937	na	2019	0.3975086510181427	0.38512367	Yes	
row_54	XM_047180165	na	2029	0.39641356468200684	0.3911201	Yes	
row_55	XM_047167182	na	2078	0.39052069187164307	0.3945117	Yes	
row_56	XM_047177279	na	2109	0.3872060179710388	0.39900544	Yes	
row_57	XM_047168007	na	2139	0.3828372657299042	0.40349102	Yes	
row_58	XM_047174736	na	2166	0.37849828600883484	0.40809748	Yes	
row_59	XM_047165190	na	2170	0.37755435705184937	0.4141668	Yes	
row_60	XM_047180741	na	2291	0.3767966628074646	0.41270235	Yes	
row_61	XM_047164005	na	2355	0.37595996260643005	0.41488817	Yes	
row_62	XM_047171731	na	2408	0.37462109327316284	0.41775894	Yes	
row_63	XM_047169354	na	2687	0.36483773589134216	0.40593928	Yes	
row_64	XM_047165081	na	2738	0.358399897813797	0.40866956	Yes	
row_65	XM_047164161	na	2815	0.34794074296951294	0.409555	Yes	
row_66	XM_047181935	na	2818	0.34751877188682556	0.41519043	Yes	
row_67	XM_047169771	na	2837	0.3448817729949951	0.41975358	Yes	
row_68	XM_047171862	na	2863	0.34125879406929016	0.42380667	Yes	
row_69	XM_047169833	na	2868	0.3405615985393524	0.42919815	Yes	
row_70	XM_047184213	na	2912	0.33635249733924866	0.43201274	Yes	
row_71	XM_047177818	na	3033	0.3333874046802521	0.4298283	Yes	
row_72	XM_047180731	na	3051	0.3333874046802521	0.43426508	Yes	
