NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047180753	na	4438	0.19089794158935547	-0.2528891	No	
row_1	XM_047184530	na	5439	0.10693035274744034	-0.30006137	No	
row_2	XM_047180789	na	10875	-0.10196322947740555	-0.62999517	No	
row_3	XM_047184892	na	11835	-0.19225917756557465	-0.6614634	No	
row_4	XM_047166727	na	12663	-0.28411865234375	-0.670439	Yes	
row_5	XM_047163606	na	12887	-0.309987336397171	-0.6370387	Yes	
row_6	XM_047163636	na	12944	-0.31723693013191223	-0.591907	Yes	
row_7	XM_047170292	na	13840	-0.3748932480812073	-0.5912734	Yes	
row_8	XM_047176438	na	14004	-0.39400115609169006	-0.54116285	Yes	
row_9	XM_047176236	na	14108	-0.40104377269744873	-0.48615623	Yes	
row_10	XM_047166464	na	14411	-0.43706557154655457	-0.43827403	Yes	
row_11	XM_047180889	na	14471	-0.4463386833667755	-0.37351736	Yes	
row_12	XM_047176782	na	14700	-0.4858446419239044	-0.31344283	Yes	
row_13	XM_047176781	na	14793	-0.5012713074684143	-0.2423529	Yes	
row_14	XM_047176301	na	14815	-0.5039060711860657	-0.16634405	Yes	
row_15	XM_047184588	na	14988	-0.5551424622535706	-0.09207228	Yes	
row_16	XM_047180890	na	15640	-0.9122161865234375	0.0065492704	Yes	
