NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047183228	na	14	1.611391305923462	0.03738849	Yes	
row_1	XM_047167752	na	168	1.108910083770752	0.053947393	Yes	
row_2	XM_047184500	na	172	1.102895975112915	0.079958506	Yes	
row_3	XM_047180376	na	373	0.9392797350883484	0.08948081	Yes	
row_4	XM_047181871	na	390	0.9246959686279297	0.1104266	Yes	
row_5	XM_047165012	na	429	0.9108632802963257	0.12963647	Yes	
row_6	XM_047186427	na	433	0.9102346897125244	0.15107027	Yes	
row_7	XM_047168795	na	538	0.854815661907196	0.16472669	Yes	
row_8	XM_047168679	na	547	0.8489383459091187	0.18438435	Yes	
row_9	XM_047171819	na	822	0.743048369884491	0.18451093	Yes	
row_10	XM_047163057	na	908	0.72044837474823	0.1961904	Yes	
row_11	XM_047173822	na	982	0.7044467926025391	0.2082573	Yes	
row_12	XM_047177237	na	1024	0.6930698752403259	0.22210085	Yes	
row_13	XM_047163194	na	1054	0.6854740381240845	0.23653154	Yes	
row_14	XM_047186428	na	1193	0.6637526154518127	0.24347374	Yes	
row_15	XM_047186370	na	1209	0.6613990068435669	0.258228	Yes	
row_16	XM_047164995	na	1306	0.6425508856773376	0.2673531	Yes	
row_17	XM_047166271	na	1376	0.6293560862541199	0.27789184	Yes	
row_18	XM_047183969	na	1432	0.6227402687072754	0.28916892	Yes	
row_19	XM_047170467	na	1442	0.621092677116394	0.30334938	Yes	
row_20	XM_047182424	na	1574	0.6002833843231201	0.30923143	Yes	
row_21	XM_047184410	na	1619	0.5926803946495056	0.320498	Yes	
row_22	XM_047171114	na	1622	0.5919846296310425	0.33443463	Yes	
row_23	XM_047171356	na	1651	0.5868087410926819	0.34658518	Yes	
row_24	XM_047176861	na	1944	0.5539829730987549	0.34106848	Yes	
row_25	XM_047178189	na	2021	0.541072428226471	0.34906197	Yes	
row_26	XM_047163731	na	2133	0.5261948704719543	0.35446313	Yes	
row_27	XM_047177012	na	2197	0.5172719955444336	0.36272272	Yes	
row_28	XM_047180210	na	2393	0.49228429794311523	0.36194497	Yes	
row_29	XM_047171447	na	2418	0.48909294605255127	0.3720298	Yes	
row_30	XM_047167662	na	2632	0.4692615568637848	0.3695537	Yes	
row_31	XM_047165527	na	2646	0.46814030408859253	0.37984437	Yes	
row_32	XM_047175353	na	3106	0.4207330048084259	0.36047933	Yes	
row_33	XM_047173955	na	3208	0.4090380072593689	0.3637367	Yes	
row_34	XM_047170059	na	3299	0.3986613154411316	0.3674512	Yes	
row_35	XM_047164994	na	3377	0.39139100909233093	0.37182453	Yes	
row_36	XM_047185706	na	3564	0.37981119751930237	0.3689503	Yes	
row_37	XM_047176488	na	3616	0.37770435214042664	0.37466162	Yes	
row_38	XM_047183211	na	3626	0.37770435214042664	0.38305956	Yes	
row_39	XM_047183968	na	3628	0.37770435214042664	0.39196923	Yes	
row_40	XM_047186111	na	3999	0.3458060622215271	0.37651715	No	
row_41	XM_047167753	na	4052	0.34184303879737854	0.38131246	No	
row_42	XM_047184678	na	4131	0.3348207175731659	0.38427782	No	
row_43	XM_047181315	na	4265	0.3306540846824646	0.38362598	No	
row_44	XM_047171549	na	4282	0.328576922416687	0.39040896	No	
row_45	XM_047170866	na	4721	0.2986007630825043	0.36948556	No	
row_46	XM_047171113	na	4782	0.2927823066711426	0.37260357	No	
row_47	XM_047169962	na	4810	0.28918465971946716	0.377747	No	
row_48	XM_047183966	na	4913	0.27781781554222107	0.37782285	No	
row_49	XM_047183208	na	5149	0.2530530095100403	0.36880267	No	
row_50	XM_047180377	na	5184	0.24966570734977722	0.37255943	No	
row_51	XM_047169757	na	5291	0.24020880460739136	0.37148586	No	
row_52	XM_047172479	na	5389	0.23060862720012665	0.37075993	No	
row_53	XM_047177582	na	5404	0.2278399020433426	0.3752775	No	
row_54	XM_047182722	na	5450	0.2237454652786255	0.37771478	No	
row_55	XM_047174866	na	5587	0.20924881100654602	0.37398666	No	
row_56	XM_047171047	na	5588	0.20924468338489532	0.37895796	No	
row_57	XM_047174376	na	5706	0.19533827900886536	0.37611473	No	
row_58	XM_047167625	na	5788	0.18753831088542938	0.37538898	No	
row_59	XM_047165667	na	5866	0.18125085532665253	0.37476972	No	
row_60	XM_047178900	na	5937	0.17248567938804626	0.37438998	No	
row_61	XM_047183210	na	6080	0.15942829847335815	0.3690944	No	
row_62	XM_047163201	na	6116	0.15550142526626587	0.37055	No	
row_63	XM_047163410	na	6194	0.14780306816101074	0.3691361	No	
row_64	XM_047173708	na	6333	0.1323581486940384	0.3634532	No	
row_65	XM_047165444	na	6374	0.12913590669631958	0.3639626	No	
row_66	XM_047172371	na	6803	0.0916772410273552	0.3387627	No	
row_67	XM_047163854	na	6891	0.08338966220617294	0.33517876	No	
row_68	XM_047165000	na	6956	0.07808979600667953	0.33294013	No	
row_69	XM_047166012	na	7170	0.05840488150715828	0.32070273	No	
row_70	XM_047163262	na	7239	0.05260050296783447	0.31760263	No	
row_71	XM_047186288	na	7262	0.050280701369047165	0.31738997	No	
row_72	XM_047166626	na	7977	0.0	0.27171734	No	
row_73	XM_047167083	na	7997	0.0	0.27050197	No	
row_74	XM_047167663	na	8035	0.0	0.26813516	No	
row_75	XM_047167665	na	8036	0.0	0.26813516	No	
row_76	XM_047169039	na	8126	0.0	0.26244208	No	
row_77	XM_047170819	na	8261	0.0	0.2538705	No	
row_78	XM_047182425	na	9075	0.0	0.2018651	No	
row_79	XM_047182723	na	9109	0.0	0.19975418	No	
row_80	XM_047185709	na	9301	0.0	0.18753643	No	
