NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047169965	na	2004	0.7195466160774231	-0.098767474	No	
row_1	XM_047169742	na	2192	0.6658291816711426	-0.08384306	No	
row_2	XM_047182204	na	2214	0.6591514348983765	-0.058603194	No	
row_3	XM_047169741	na	2511	0.5960856080055237	-0.053441238	No	
row_4	XM_047163993	na	2809	0.5176872611045837	-0.05150429	No	
row_5	XM_047169425	na	3316	0.42019447684288025	-0.06682507	No	
row_6	XM_047167128	na	3672	0.3700920045375824	-0.074537866	No	
row_7	XM_047171850	na	4647	0.2417520135641098	-0.12689519	No	
row_8	XM_047170984	na	4762	0.22291994094848633	-0.12517543	No	
row_9	XM_047176719	na	5024	0.17708933353424072	-0.1346769	No	
row_10	XM_047175673	na	5356	0.12997561693191528	-0.15054156	No	
row_11	XM_047173604	na	5842	0.05965612828731537	-0.17906126	No	
row_12	XM_047174569	na	6051	0.02861325442790985	-0.19117026	No	
row_13	XM_047165366	na	6124	0.016204148530960083	-0.19510782	No	
row_14	XM_047177621	na	6138	0.013621056452393532	-0.1953875	No	
row_15	XM_047163594	na	6268	0.0	-0.20361297	No	
row_16	XM_047163595	na	6269	0.0	-0.20361297	No	
row_17	XM_047169039	na	6699	0.0	-0.23096743	No	
row_18	XM_047171281	na	6902	0.0	-0.24384762	No	
row_19	XM_047173892	na	7135	0.0	-0.2586407	No	
row_20	XM_047176802	na	7378	0.0	-0.27407143	No	
row_21	XM_047179469	na	7592	0.0	-0.28765303	No	
row_22	XM_047186440	na	8598	-0.0016197219956666231	-0.35166985	No	
row_23	XM_047174497	na	8628	-0.00797653291374445	-0.35319734	No	
row_24	XM_047179010	na	8633	-0.009020958095788956	-0.35308865	No	
row_25	XM_047182205	na	8734	-0.024118565022945404	-0.35849243	No	
row_26	XM_047178531	na	8835	-0.03843481466174126	-0.36331898	No	
row_27	XM_047174385	na	9120	-0.08026546984910965	-0.3781912	No	
row_28	XM_047164396	na	9168	-0.0875077173113823	-0.37765953	No	
row_29	XM_047185317	na	9278	-0.10430377721786499	-0.3804039	No	
row_30	XM_047186218	na	9501	-0.13610924780368805	-0.38907102	No	
row_31	XM_047185913	na	9771	-0.17693236470222473	-0.39908895	No	
row_32	XM_047165256	na	10245	-0.2539779245853424	-0.41900787	No	
row_33	XM_047177036	na	10977	-0.3215644359588623	-0.45265242	No	
row_34	XM_047175421	na	11773	-0.3913787007331848	-0.48756275	No	
row_35	XM_047170953	na	12105	-0.42683878540992737	-0.49145702	Yes	
row_36	XM_047171851	na	12186	-0.4372089207172394	-0.47892857	Yes	
row_37	XM_047177128	na	12230	-0.4446694850921631	-0.46374002	Yes	
row_38	XM_047166242	na	12371	-0.46183380484580994	-0.4540444	Yes	
row_39	XM_047170983	na	12374	-0.46196529269218445	-0.43554416	Yes	
row_40	XM_047180967	na	12984	-0.5284641981124878	-0.4530668	Yes	
row_41	XM_047181077	na	13171	-0.554352879524231	-0.44257367	Yes	
row_42	XM_047178345	na	13211	-0.5585470795631409	-0.4225382	Yes	
row_43	XM_047173305	na	13306	-0.5651070475578308	-0.4057452	Yes	
row_44	XM_047178461	na	13367	-0.5741145610809326	-0.38642105	Yes	
row_45	XM_047183316	na	13552	-0.5995817184448242	-0.37397662	Yes	
row_46	XM_047165096	na	13666	-0.6121037006378174	-0.3565001	Yes	
row_47	XM_047173891	na	13670	-0.6126038432121277	-0.3319894	Yes	
row_48	XM_047184154	na	13730	-0.6239907145500183	-0.31059033	Yes	
row_49	XM_047179160	na	13852	-0.645401120185852	-0.29228124	Yes	
row_50	XM_047180141	na	13909	-0.6607413291931152	-0.269209	Yes	
row_51	XM_047176863	na	14018	-0.684357762336731	-0.24850015	Yes	
row_52	XM_047185635	na	14077	-0.697993814945221	-0.2240533	Yes	
row_53	XM_047184186	na	14580	-0.8505797982215881	-0.22176464	Yes	
row_54	XM_047184086	na	14756	-0.9118330478668213	-0.19615546	Yes	
row_55	XM_047170982	na	14796	-0.9239969253540039	-0.161384	Yes	
row_56	XM_047176801	na	14865	-0.9492451548576355	-0.1274436	Yes	
row_57	XM_047167006	na	14897	-0.9671290516853333	-0.09042282	Yes	
row_58	XM_047185943	na	14910	-0.9721786379814148	-0.05198692	Yes	
row_59	XM_047174902	na	15314	-1.2296075820922852	-0.028102199	Yes	
row_60	XM_047163882	na	15437	-1.3737297058105469	0.019511433	Yes	
