NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047178430	na	154	0.7499379515647888	0.022310873	Yes	
row_1	XM_047174393	na	173	0.7236928343772888	0.052185073	Yes	
row_2	XM_047174819	na	393	0.5921351313591003	0.06357851	Yes	
row_3	XM_047179241	na	542	0.5355584621429443	0.07708242	Yes	
row_4	XM_047167009	na	556	0.5260913372039795	0.09880502	Yes	
row_5	XM_047167010	na	570	0.5197420120239258	0.12025544	Yes	
row_6	XM_047180315	na	921	0.4359123706817627	0.11658272	Yes	
row_7	XM_047163203	na	976	0.42734676599502563	0.13145292	Yes	
row_8	XM_047176102	na	980	0.42702510952949524	0.1495675	Yes	
row_9	XM_047176799	na	1054	0.41764548420906067	0.16280799	Yes	
row_10	XM_047167030	na	1119	0.40731081366539	0.17618039	Yes	
row_11	XM_047180508	na	1204	0.3914736211299896	0.18759619	Yes	
row_12	XM_047177729	na	1320	0.3798401355743408	0.19653279	Yes	
row_13	XM_047186440	na	1507	0.3657033443450928	0.2003275	Yes	
row_14	XM_047163061	na	1524	0.36327284574508667	0.21487854	Yes	
row_15	XM_047175340	na	1566	0.35708802938461304	0.22756732	Yes	
row_16	XM_047165925	na	1574	0.3563571274280548	0.24239688	Yes	
row_17	XM_047167781	na	1650	0.3455633819103241	0.25241947	Yes	
row_18	XM_047178125	na	1763	0.3432331681251526	0.25997844	Yes	
row_19	XM_047177578	na	2159	0.31264016032218933	0.2481463	Yes	
row_20	XM_047169881	na	2308	0.3025488257408142	0.25166127	Yes	
row_21	XM_047172133	na	2399	0.29210877418518066	0.25843403	Yes	
row_22	XM_047170508	na	2426	0.28979548811912537	0.26919633	Yes	
row_23	XM_047170590	na	2489	0.2836369574069977	0.2773947	Yes	
row_24	XM_047165074	na	2495	0.28336581587791443	0.28922296	Yes	
row_25	XM_047170736	na	2578	0.27492159605026245	0.29577002	Yes	
row_26	XM_047177584	na	2620	0.27012884616851807	0.30473092	Yes	
row_27	XM_047182397	na	2655	0.2664717137813568	0.31398225	Yes	
row_28	XM_047182428	na	2736	0.2575358748435974	0.31991175	Yes	
row_29	XM_047176103	na	2762	0.25414758920669556	0.32920972	Yes	
row_30	XM_047178252	na	2977	0.23212853074073792	0.32548937	Yes	
row_31	XM_047177036	na	3060	0.2247375100851059	0.3298851	Yes	
row_32	XM_047163250	na	3067	0.2241722196340561	0.33911186	Yes	
row_33	XM_047180031	na	3099	0.22126765549182892	0.34661698	Yes	
row_34	XM_047174675	na	3160	0.2169782966375351	0.35208553	Yes	
row_35	XM_047185543	na	3232	0.2110624611377716	0.35659775	Yes	
row_36	XM_047176719	na	3391	0.1974249929189682	0.3549673	Yes	
row_37	XM_047185892	na	3402	0.19669218361377716	0.36276045	Yes	
row_38	XM_047181967	na	3541	0.18231847882270813	0.3617601	No	
row_39	XM_047185932	na	3709	0.1702224165201187	0.35838854	No	
row_40	XM_047163627	na	3810	0.16304980218410492	0.3589898	No	
row_41	XM_047165009	na	3872	0.15826700627803802	0.36187756	No	
row_42	XM_047176772	na	4176	0.13395532965660095	0.34826282	No	
row_43	XM_047163201	na	4387	0.11946849524974823	0.33996838	No	
row_44	XM_047172331	na	4579	0.10526804625988007	0.332279	No	
row_45	XM_047165480	na	4749	0.09354870766401291	0.3254927	No	
row_46	XM_047170959	na	4764	0.09257424622774124	0.32856688	No	
row_47	XM_047167115	na	4953	0.08019637316465378	0.31999436	No	
row_48	XM_047173180	na	4970	0.07898851484060287	0.32235837	No	
row_49	XM_047168687	na	5205	0.06380493938922882	0.31014442	No	
row_50	XM_047179396	na	5293	0.05802398920059204	0.30707383	No	
row_51	XM_047184186	na	5450	0.04684808477759361	0.29911602	No	
row_52	XM_047173953	na	5486	0.04342661052942276	0.2987417	No	
row_53	XM_047175078	na	5682	0.031382229179143906	0.28762937	No	
row_54	XM_047177806	na	5710	0.029479438439011574	0.2871682	No	
row_55	XM_047180021	na	5745	0.025448739528656006	0.28608707	No	
row_56	XM_047178339	na	5826	0.019313914701342583	0.2818042	No	
row_57	XM_047178531	na	5831	0.018977485597133636	0.2823622	No	
row_58	XM_047168146	na	5914	0.012723992578685284	0.27766904	No	
row_59	XM_047185931	na	5993	0.006188821978867054	0.2729513	No	
row_60	XM_047175080	na	6796	0.0	0.22171511	No	
row_61	XM_047177971	na	6961	0.0	0.21123788	No	
row_62	XM_047173254	na	7985	-0.015114689245820045	0.14653096	No	
row_63	XM_047180627	na	8014	-0.017687052488327026	0.14550039	No	
row_64	XM_047166794	na	8063	-0.021211186423897743	0.1433432	No	
row_65	XM_047171319	na	8530	-0.05564168468117714	0.11595785	No	
row_66	XM_047176223	na	8736	-0.07049684971570969	0.105883464	No	
