NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047176086	na	30	1.4696813821792603	0.015244273	Yes	
row_1	XM_047163239	na	49	1.3621788024902344	0.030005358	Yes	
row_2	XM_047175742	na	90	1.21969473361969	0.041683394	Yes	
row_3	XM_047175840	na	100	1.203443169593811	0.055169165	Yes	
row_4	XM_047182652	na	169	1.1081595420837402	0.06373923	Yes	
row_5	XM_047186327	na	233	1.037837028503418	0.07180958	Yes	
row_6	XM_047163933	na	247	1.025348424911499	0.08295603	Yes	
row_7	XM_047178732	na	311	0.9710943102836609	0.0902463	Yes	
row_8	XM_047163314	na	324	0.9665701389312744	0.10077019	Yes	
row_9	XM_047177787	na	372	0.9410718083381653	0.10874062	Yes	
row_10	XM_047172861	na	452	0.8990533947944641	0.11415782	Yes	
row_11	XM_047178731	na	462	0.894026517868042	0.124027155	Yes	
row_12	XM_047174665	na	482	0.8838605880737305	0.13313326	Yes	
row_13	XM_047175622	na	508	0.8709427714347839	0.14170173	Yes	
row_14	XM_047163238	na	551	0.8465004563331604	0.14888902	Yes	
row_15	XM_047181843	na	724	0.7756025195121765	0.1468703	Yes	
row_16	XM_047171313	na	729	0.7731298208236694	0.1556488	Yes	
row_17	XM_047178401	na	754	0.7633870840072632	0.16302462	Yes	
row_18	XM_047182730	na	775	0.7573624849319458	0.17058778	Yes	
row_19	XM_047167700	na	785	0.7524587512016296	0.17880248	Yes	
row_20	XM_047170434	na	788	0.751916229724884	0.18746193	Yes	
row_21	XM_047184562	na	838	0.7388516068458557	0.19293994	Yes	
row_22	XM_047172096	na	897	0.7223026752471924	0.19764456	Yes	
row_23	XM_047164091	na	940	0.7129103541374207	0.20327047	Yes	
row_24	XM_047170673	na	948	0.7118710279464722	0.21113966	Yes	
row_25	XM_047182061	na	981	0.7045647501945496	0.21731244	Yes	
row_26	XM_047166952	na	1040	0.688362717628479	0.22162037	Yes	
row_27	XM_047163240	na	1099	0.6763391494750977	0.22578776	Yes	
row_28	XM_047175914	na	1122	0.6713804006576538	0.23221709	Yes	
row_29	XM_047183267	na	1131	0.6700505018234253	0.23953305	Yes	
row_30	XM_047180255	na	1160	0.6673123240470886	0.24552819	Yes	
row_31	XM_047172366	na	1176	0.666556179523468	0.2523522	Yes	
row_32	XM_047163210	na	1204	0.6623676419258118	0.258354	Yes	
row_33	XM_047173633	na	1217	0.6596236824989319	0.26529032	Yes	
row_34	XM_047166144	na	1226	0.6577862501144409	0.27246296	Yes	
row_35	XM_047165468	na	1227	0.6574488878250122	0.28014717	Yes	
row_36	XM_047168425	na	1286	0.6468464732170105	0.28396985	Yes	
row_37	XM_047173294	na	1293	0.6455939412117004	0.29112884	Yes	
row_38	XM_047164995	na	1306	0.6425508856773376	0.29786563	Yes	
row_39	XM_047168969	na	1388	0.6270219087600708	0.29997447	Yes	
row_40	XM_047173199	na	1390	0.6265876889228821	0.30723354	Yes	
row_41	XM_047180517	na	1436	0.6219956278800964	0.31160352	Yes	
row_42	XM_047185868	na	1482	0.6149017214775085	0.31589058	Yes	
row_43	XM_047185959	na	1496	0.6132737398147583	0.3222207	Yes	
row_44	XM_047184297	na	1513	0.610371470451355	0.32832363	Yes	
